state,mentions
Alaska,31
Alabama,130
Arkansas,22
American Samoa,1
Arizona,183
California,221
Colorado,93
Connecticut,25
District of Columbia,34
Delaware,15
Florida,449
Georgia,236
Guam,6
Hawaii,44
Iowa,372
Idaho,11
Illinois,37
Indiana,92
Kansas,40
Kentucky,87
Louisiana,114
Massachusetts,18
Maryland,34
Maine,45
Michigan,230
Minnesota,97
Missouri,52
Mississippi,57
Montana,50
North Carolina,204
North Dakota,14
Nebraska,29
New Hampshire,179
New Jersey,47
New Mexico,25
Nevada,129
New York,543
Ohio,248
Oklahoma,53
Oregon,18
Pennsylvania,351
Puerto Rico,70
Rhode Island,7
South Carolina,148
South Dakota,10
Tennessee,72
Texas,300
Utah,49
Virginia,212
Virgin Islands,3
Vermont,6
Washington,509
Wisconsin,193
West Virginia,55
Wyoming,5
