YEAR ,Bludgeoned,Break on Wheel,Burned,Electrocution,Gas,Gibbeted,Hanging,Hung in Chains,Injection,Other,Pressing,Shot
1839,,,,,,,38,,,,,
1840,,,,,,,70,,,,,2
1841,,,,,,,29,,,,,3
1842,,,,,,,24,,,,,2
1843,,,,,,,35,,,,,
1844,,,,,,,28,,,,,
1845,,,,,,,43,,,,,1
1846,,,,,,,32,,,,,
1847,,,,,,,31,,,,,2
1848,,,,,,,26,,,,,
1849,,,,,,,32,,,,,
1850,,,,,,,41,,,,,
1851,,,,,,,52,,,,,1
1852,,,,,,,70,,,,,1
1853,,,,,,,49,,,,,1
1854,,,,,,,58,,,,,
1855,,,,,,,51,,,,,
1856,,,,,,,77,,,,,
1857,,,,,,,56,,,,,
1858,,,,,,,72,,,,,
1859,,,,,,,63,,,,,
1860,,,,,,,65,,,,,
1861,,,,,,,45,,,,,1
1862,,,,,,,86,,,,,1
1863,,,,,,,59,,,,,2
1864,,,,,,,62,,,,,8
1865,,,,,,,34,,,,,
1866,,,,,,,76,,,,,
1867,,,,,,,47,,,,,
1868,,,,,,,31,,,,,
1869,,,,,,,39,,,,,1
1870,,,,,,,32,,,,,
1871,,,,,,,34,,,,,
1872,,,,,,,31,,,,,
1873,,,,,,,69,,,,,
1874,,,,,,,47,,,,,
1875,,,,,,,71,,,,,
1876,,,,,,,52,,,,,
1877,,,,,,,80,,,,,1
1878,,,,,,,107,,,,,
1879,,,,,,,106,,,,,1
1880,,,,,,,94,,,,,2
1881,,,,,,,93,,,,,
1882,,,,,,,104,,,,,3
1883,,,,,,,113,,,,,1
1884,,,,,,,132,,,,,
1885,,,,,,,106,,,,,3
1886,,,,,,,95,,,,,1
1887,,,,,,,80,,,,,3
1888,,,,,,,82,,,,,
1889,,,,,,,93,,,,,
1890,,,,1,,,92,,,,,
1891,,,,5,,,93,,,,,2
1892,,,,5,,,107,,,,,
1893,,,,10,,,110,,,,,3
1894,,,,2,,,109,,,,,4
1895,,,,6,,,109,,,,,
1896,,,,5,,,99,,,,,2
1897,,,,12,,,110,,,,,1
