,subgenre,pages
2,Contemporary,2672
10,Memoir,1818
4,Feminism,1356
7,History,1186
3,Essays,1186
20,Young Adult,1088
14,Science,912
16,Short Stories,707
19,Writing,519
1,Classics,517
9,Literature,384
11,Parenting,368
17,Swedish Lit,366
12,Pop Culture,352
18,True Crime,339
13,Religion,336
0,Business,317
15,Science ,288
6,Historical,160
5,Graphic Novel,160
8,Japanese Lit,122
