name,count,rank,pctapi,pctblack,pctaian,pctwhite,pcttworace,pcthispanic,prop100k,year
Smith,2442977,1,0.5,23.11,0.89,70.9,2.19,2.4,828.19,2010
Smith,2376206,1,0.4,22.22,0.85,73.35,1.63,1.56,880.85,2000
Johnson,1932812,2,0.54,34.63,0.94,58.97,2.56,2.36,655.24,2010
Johnson,1857160,2,0.42,33.8,0.91,61.55,1.82,1.5,688.44,2000
Williams,1625252,3,0.46,47.68,0.82,45.75,2.81,2.49,550.97,2010
Williams,1534042,3,0.37,46.72,0.78,48.52,2.01,1.6,568.66,2000
Brown,1437026,4,0.51,35.6,0.87,57.95,2.55,2.52,487.16,2010
Jones,1425470,5,0.44,38.48,1,55.19,2.61,2.29,483.24,2010
Brown,1380145,4,0.41,34.54,0.83,60.71,1.86,1.64,511.62,2000
Jones,1362755,5,0.35,37.73,0.94,57.69,1.85,1.44,505.17,2000
Garcia,1166120,6,1.41,0.45,0.47,5.38,0.26,92.03,395.32,2010
Miller,1161437,7,0.54,10.76,0.66,84.11,1.77,2.17,393.74,2010
Miller,1127803,6,0.42,10.41,0.63,85.81,1.31,1.43,418.07,2000
Davis,1116357,8,0.49,31.6,0.82,62.2,2.45,2.44,378.45,2010
Rodriguez,1094924,9,0.57,0.54,0.18,4.75,0.18,93.77,371.19,2010
Davis,1072335,7,0.4,30.77,0.79,64.73,1.73,1.58,397.51,2000
Martinez,1060159,10,0.6,0.49,0.51,5.28,0.22,92.91,359.4,2010
Hernandez,1043281,11,0.6,0.36,0.19,3.79,0.16,94.89,353.68,2010
Lopez,874523,12,1.02,0.57,0.38,4.86,0.25,92.92,296.47,2010
Garcia,858289,8,1.43,0.49,0.58,6.17,0.51,90.81,318.17,2000
Gonzalez,841025,13,0.38,0.35,0.14,4.03,0.13,94.97,285.11,2010
Rodriguez,804240,9,0.58,0.54,0.24,5.52,0.41,92.7,298.13,2000
Wilson,801882,14,0.6,25.99,1.06,67.36,2.38,2.61,271.84,2010
Anderson,784404,15,0.61,18.93,0.74,75.17,2.11,2.44,265.92,2010
Wilson,783051,10,0.46,25.32,1.03,69.72,1.74,1.73,290.27,2000
Martinez,775072,11,0.6,0.52,0.64,6.04,0.46,91.72,287.32,2000
