,generalcommodity,datetime,tons
170,Refuse,2016-06-20,3565.0
171,Refuse,2016-06-21,3305.0
172,Refuse,2016-06-22,3280.0
173,Refuse,2016-06-23,3124.0
174,Refuse,2016-06-24,3375.0
175,Refuse,2016-06-25,45.0
176,Refuse,2016-06-26,37.0
177,Refuse,2016-06-27,3585.0
178,Refuse,2016-06-28,3560.0
179,Refuse,2016-06-29,3384.0
180,Refuse,2016-06-30,3091.0
181,Refuse,2016-07-01,3215.0
182,Refuse,2016-07-02,39.0
183,Refuse,2016-07-03,29.0
184,Refuse,2016-07-04,76.0
185,Refuse,2016-07-05,3942.0
186,Refuse,2016-07-06,3941.0
187,Refuse,2016-07-07,3673.0
188,Refuse,2016-07-08,3607.0
189,Refuse,2016-07-09,3543.0
190,Refuse,2016-07-10,35.0
191,Refuse,2016-07-11,3455.0
192,Refuse,2016-07-12,3303.0
193,Refuse,2016-07-13,3060.0
194,Refuse,2016-07-14,2850.0
195,Refuse,2016-07-15,2987.0
196,Refuse,2016-07-16,44.0
197,Refuse,2016-07-17,46.0
198,Refuse,2016-07-18,3568.0
199,Refuse,2016-07-19,3348.0
200,Refuse,2016-07-20,3323.0
201,Refuse,2016-07-21,3057.0
202,Refuse,2016-07-22,3184.0
203,Refuse,2016-07-23,17.0
204,Refuse,2016-07-24,45.0
205,Refuse,2016-07-25,3473.0
206,Refuse,2016-07-26,3379.0
207,Refuse,2016-07-27,3149.0
208,Refuse,2016-07-28,3024.0
209,Refuse,2016-07-29,2954.0
210,Refuse,2016-07-30,39.0
211,Refuse,2016-07-31,53.0
212,Refuse,2016-08-01,3345.0
213,Refuse,2016-08-02,3407.0
214,Refuse,2016-08-03,3331.0
215,Refuse,2016-08-04,3116.0
216,Refuse,2016-08-05,3128.0
217,Refuse,2016-08-06,41.0
218,Refuse,2016-08-07,49.0
219,Refuse,2016-08-08,3596.0
220,Refuse,2016-08-09,3482.0
221,Refuse,2016-08-10,3454.0
222,Refuse,2016-08-11,3051.0
223,Refuse,2016-08-12,3077.0
224,Refuse,2016-08-13,42.0
225,Refuse,2016-08-14,58.0
226,Refuse,2016-08-15,3523.0
227,Refuse,2016-08-16,3265.0
228,Refuse,2016-08-17,3301.0
229,Refuse,2016-08-18,3117.0
230,Refuse,2016-08-19,2905.0
231,Refuse,2016-08-20,54.0
232,Refuse,2016-08-21,34.0
233,Refuse,2016-08-22,3625.0
234,Refuse,2016-08-23,3287.0
235,Refuse,2016-08-24,3304.0
236,Refuse,2016-08-25,2940.0
