month,date_of_month,birthsmean,birthscount,birthssum,display,default_rank,max_rank,pct_rank
1,1,7849.0,25,196215,1/1,2.0,365.0,0.00546448087431694
1,2,9437.0,25,235926,1/2,5.0,362.0,0.01366120218579235
1,3,11024.0,25,275594,1/3,148.0,219.0,0.40437158469945356
1,4,11132.0,25,278293,1/4,182.0,185.0,0.4972677595628415
1,5,10865.0,25,271618,1/5,92.5,275.0,0.2527322404371585
1,6,10791.0,25,269780,1/6,73.0,294.0,0.1994535519125683
1,7,10961.0,25,274029,1/7,125.0,242.0,0.34153005464480873
1,8,10715.0,25,267875,1/8,52.5,315.0,0.14344262295081966
1,9,10687.0,25,267176,1/9,43.0,324.0,0.11748633879781421
1,10,11229.0,25,280720,1/10,210.0,158.0,0.5737704918032787
1,11,11051.0,25,276274,1/11,158.5,209.0,0.43306010928961747
1,12,10825.0,25,270633,1/12,82.0,285.0,0.22404371584699453
1,13,10495.0,25,262378,1/13,20.0,347.0,0.0546448087431694
1,14,10997.0,25,274936,1/14,138.0,229.0,0.3770491803278688
1,15,10617.0,25,265430,1/15,29.0,338.0,0.07923497267759563
1,16,10688.0,25,267189,1/16,44.0,323.0,0.12021857923497267
1,17,11065.0,25,276617,1/17,164.0,203.0,0.44808743169398907
1,18,10969.0,25,274228,1/18,126.5,241.0,0.34562841530054644
1,19,10607.0,25,265181,1/19,27.0,340.0,0.07377049180327869
1,20,10684.0,25,267108,1/20,41.0,326.0,0.11202185792349727
1,21,10813.0,25,270318,1/21,78.5,289.0,0.21448087431693988
1,22,10756.0,25,268889,1/22,63.0,304.0,0.1721311475409836
1,23,10917.0,25,272913,1/23,108.0,259.0,0.29508196721311475
1,24,11215.0,25,280376,1/24,203.0,164.0,0.5546448087431693
1,25,11023.0,25,275574,1/25,147.0,220.0,0.4016393442622951
1,26,10718.0,25,267961,1/26,54.0,313.0,0.14754098360655737
1,27,10696.0,25,267406,1/27,49.0,318.0,0.13387978142076504
1,28,10847.0,25,271181,1/28,88.0,279.0,0.24043715846994534
1,29,10662.0,25,266549,1/29,38.0,329.0,0.10382513661202186
1,30,10819.0,25,270473,1/30,80.5,287.0,0.21994535519125682
1,31,11051.0,25,276265,1/31,158.5,209.0,0.43306010928961747
2,1,11016.0,25,275390,2/1,144.0,223.0,0.39344262295081966
2,2,10863.0,25,271568,2/2,91.0,276.0,0.24863387978142076
2,3,10694.0,25,267348,2/3,48.0,319.0,0.13114754098360656
2,4,10909.0,25,272732,2/4,104.0,263.0,0.28415300546448086
2,5,10773.0,25,269324,2/5,66.5,301.0,0.18169398907103826
2,6,10865.0,25,271631,2/6,92.5,275.0,0.2527322404371585
2,7,11316.0,25,282896,2/7,232.0,135.0,0.6338797814207651
2,8,11144.0,25,278606,2/8,185.0,182.0,0.505464480874317
2,9,10784.0,25,269596,2/9,72.0,295.0,0.19672131147540983
2,10,10891.0,25,272283,2/10,100.0,267.0,0.273224043715847
2,11,11032.0,25,275796,2/11,150.0,218.0,0.4098360655737705
2,12,10990.0,25,274746,2/12,134.0,233.0,0.366120218579235
2,13,10692.0,25,267303,2/13,46.5,321.0,0.12704918032786885
2,14,11833.0,25,295814,2/14,328.0,39.0,0.8961748633879781
2,15,11279.0,25,281985,2/15,220.0,147.0,0.6010928961748634
2,16,10846.0,25,271140,2/16,87.0,280.0,0.23770491803278687
2,17,10690.0,25,267247,2/17,45.0,322.0,0.12295081967213115
2,18,10930.0,25,273248,2/18,112.0,255.0,0.30601092896174864
2,19,10736.0,25,268401,2/19,57.0,310.0,0.1557377049180328
2,20,10971.0,25,274286,2/20,128.5,239.0,0.3510928961748634
2,21,11174.0,25,279347,2/21,187.0,180.0,0.5109289617486339
2,22,11201.0,25,280031,2/22,195.5,172.0,0.5341530054644809
