flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
717964919,4958553,TCJJY,B77W,THY9,TK9,IST,LAX,LAX,
717986524,7866598,B5902,A332,CES7577,MU7577,PVG,LAX,LAX,
717991344,7700693,RPC7777,B77W,PAL102,PR102,MNL,LAX,LAX,
717982695,7785911,9VSMW,A359,SIA38,SQ38,SIN,LAX,LAX,
717970221,10843929,N451PA,B744,GTI8028,5Y8028,LAX,ICN,ICN,
717992088,5046572,LXICL,B744,CLX37F,CV7746,LUX,LAX,LAX,
717969715,8145185,VHOQB,A388,QFA11,QF11,SYD,LAX,LAX,
717979432,4921625,HBJND,B77W,SWR40,LX40,ZRH,LAX,LAX,
717989082,11103104,N706GT,B77L,GTI097,5Y97,LAX,LEJ,LEJ,
717980942,7866140,B2083,B77L,CKK230,CK230,LAX,SZX,SZX,
717944841,7785797,9VSJE,A359,SIA37,SQ37,LAX,SIN,SIN,
718005436,4224436,GVPOP,A35K,VIR23J,VS23,LHR,LAX,LAX,
717998023,3949968,DAALP,B77L,BOX488,D0488,FRA,LAX,LAX,
717997509,7454231,HL7617,B748,KAL213,KE213,ICN,LAX,LAX,
717999596,9015327,B18006,B77W,CAL010,CI10,TPE,LAX,LAX,
718003947,5046532,LXVCD,B748,CLX4316,CV4316,HKG,LAX,ANC,
717994081,8819148,JA785A,B77W,ANA106,NH106,HND,LAX,LAX,
717999197,7867382,B2045,B77W,CCA655,CA655,PEK,LAX,LAX,
717995526,7455584,HL8360,A359,AAR2067,OZ2067,ICN,LAX,LAX,
718009104,11235944,N837AN,B789,AAL9726,AA9726,LAX,ICN,ICN,
717992361,10797101,N405KZ,B744,GTI4415,5Y4415,LAX,ICN,ICN,
717996729,4687956,LNRKS,A333,SAS931,SK931,CPH,LAX,LAX,
718001645,9015456,B18771,B77L,CAL5137,CI5137,LAX,TPE,TPE,
717999453,7867484,B2092,B77L,CAO8415,CAO8415,PVG,LAX,LAX,
718001687,4595536,OHLWI,A359,FIN1,AY1,HEL,LAX,LAX,
718012088,7866119,B7667,B789,CHH7937,HU7937,PEK,LAX,LAX,
718013958,9015322,B18055,B77W,CAL008,CI8,TPE,LAX,LAX,
718009821,434955,A7BFX,B77L,QTR8901,QR8901,LAX,NGO,NGO,
