flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
716672194,5046546,LXVCI,B748,CLX37F,CV7746,LUX,LAX,LAX,
716653302,4960580,TCLJD,B77W,THY9,TK9,IST,LAX,LAX,
716662219,10845831,N453PA,B744,PAC8603,PO8603,LAX,ICN,ICN,
716670864,7701116,RPC7772,B77W,PAL102,PR102,MNL,LAX,LAX,
716649495,7870784,B20EM,B77L,CSN472,CZ472,LAX,CAN,CAN,
716667796,7785794,9VSJB,A359,SIA38,SQ38,SIN,LAX,LAX,
716653358,8145185,VHOQB,A388,QFA11,QF11,SYD,LAX,LAX,
716661984,7868425,B7800,B789,CCA681,CA681,PEK,LAX,LAX,
716677451,7455348,HL8274,B77W,KAL8015,KE8015,ICN,LAX,LAX,
716664854,4921632,HBJNK,B77W,SWR40,LX40,ZRH,LAX,LAX,
716656826,3429845,ECMUD,A332,IBE6171,IB6171,MAD,LAX,LAX,
716663659,7866140,B2083,B77L,CKK230,CK230,LAX,SZX,SZX,
716668969,7867877,B5973,A332,CES7577,MU7577,PVG,LAX,LAX,
716690535,4219420,GSTBB,B77W,BAW269,BA269,LHR,LAX,LAX,
716681053,7869377,B1266,B77W,CCA655,CA655,PEK,LAX,LAX,
716690860,9015323,B18001,B77W,CAL008,CI8,TPE,LAX,LAX,
716679174,3949962,DAALJ,B77L,BOX488,3S488,FRA,LAX,SEA,
716689198,11229287,N830AN,B789,AAL9726,AA9726,LAX,ICN,ICN,
716687936,9015603,B16788,B77L,EVA630,BR630,TPE,LAX,LAX,
716680343,4224665,GVPRD,A35K,VIR23J,VS23,LHR,LAX,LAX,
716686761,3754473,FGSPJ,B772,AFR076,AF76,CDG,LAX,LAX,
716679137,7867791,B2094,B77L,CAO8415,CAO8415,PVG,LAX,LAX,
716695026,7869256,B1086,A359,CCA601,CA601,PEK,LAX,LAX,
716693613,10777156,N386HA,A332,HAL3,HA3,LAX,HNL,HNL,
716697745,4595539,OHLWL,A359,FIN1,AY1,HEL,LAX,LAX,
716704743,10498990,N112AN,A321,AAL238,AA238,LAX,JFK,JFK,
716699790,4689756,LNRKM,A333,SAS932,SK932,LAX,CPH,CPH,
716710066,11103104,N706GT,B77L,GTI097,5Y97,LAX,LEJ,LEJ,
716707386,10493934,N107NN,A321,AAL1379,AA1379,LAX,BOS,BOS,
716708548,8131701,VHEBR,A332,QFA94D,QF94,LAX,MEL,MEL,
716705205,8818135,JA772F,B77L,ANA9177,NH9177,LAX,NRT,NRT,
716708584,10827198,N435AN,A21N,AAL271,AA271,LAX,OGG,OGG,
716708601,8836542,JA822J,B788,TZP23,ZG23,LAX,NRT,NRT,
716709931,4222627,GCLAA,B744,CLU336,P3336,LEJ,LAX,LAX,
716714749,10955896,N561UW,A321,AAL807,AA807,LAX,CLT,CLT,
716713552,7454243,HL7623,B748,KAL213D,KE213,ICN,LAX,LAX,
716711959,11170920,N773CK,B77L,CKS246,K4246,LAX,SYD,SYD,
716712819,11271386,N8713M,B38M,SWA1333,WN1333,LAX,KOA,KOA,
716715827,11391862,N990JL,A321,JBU1700,B61700,LAX,FLL,FLL,
716718186,10834460,N442AS,B739,ASA282,AS282,LAX,LIR,LIR,
716718078,10638551,N24973,B789,UAL32,UA32,LAX,NRT,NRT,
716717996,10489179,N102NN,A321,AAL274,AA274,LAX,JFK,JFK,
716715544,10826247,N434AN,A21N,AAL2851,AA2851,LAX,TPA,TPA,
716718169,11340706,N94JL,GLF4,N94JL,,HPN,LAX,LAX,
716718627,11319332,N919AK,B39M,ASA817,AS817,LAX,HNL,HNL,
716720856,7454073,HL7579,A359,AAR201,OZ201,LAX,ICN,ICN,
716719368,7454728,HL8008,B77W,KAL018,KE18,LAX,ICN,ICN,
716722540,11120318,N723AN,B77W,AAL1536,AA1536,MIA,LAX,LAX,
716724021,10581287,N193UW,A321,AAL1085,AA1085,LAX,DFW,DFW,
716724142,10528986,N14102,B752,UAL786,UA786,LAX,EWR,EWR,
716722414,10602766,N214HA,A21N,HAL61,HA61,LAX,KOA,KOA,
716724352,10931269,N537UW,A321,AAL2354,AA2354,LAX,DFW,DFW,
716722731,10492983,N106NN,A321,AAL3,AA3,JFK,LAX,LAX,
716723458,10571176,N183UW,A321,AAL2184,AA2184,LAX,ORD,ORD,
716722765,10766582,N37514,B39M,UAL1141,UA1141,LAX,OGG,OGG,
716726198,11242521,N843MH,B764,DAL562,DL562,LAX,JFK,JFK,
716726312,10491081,N104NN,A321,AAL341,AA341,JFK,LAX,LAX,
716726468,10507316,N120FE,B763,FDX912,FX912,MEM,LAX,LAX,
716726368,8820064,JA795A,B77W,ANA5,NH5,LAX,NRT,NRT,
716726991,10964602,N570AS,B738,ASA286,AS286,LAX,CUN,CUN,
716725819,10973030,N57862,B753,UAL1221,UA1221,HNL,LAX,LAX,
716728723,8814644,JA737J,B77W,JAL061,JL61,LAX,NRT,NRT,
716727722,7871051,B220F,B77L,CKK224,CK224,LAX,PVG,PVG,
716729011,11064244,N668UA,B763,UAL751,UA751,EWR,LAX,LAX,
716730591,10490856,N104DN,A321,DAL483,DL483,LAX,ATL,ATL,
716730831,10835395,N443AA,A21N,AAL2459,AA2459,DFW,LAX,LAX,
716729235,11362487,N961JT,A321,JBU2885,B62885,LAX,MIA,MIA,
