flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
653378810,9015456,B18771,B77L,CAL5137,CI5137,LAX,TPE,TPE,
653362444,4960644,TCLLD,B789,THY9,TK9,IST,LAX,LAX,
653374849,7785911,9VSMW,A359,SIA38,SQ38,SIN,LAX,LAX,
653367071,9015461,B18773,B77L,CAL5108,CI5108,TPE,LAX,LAX,
653374988,10674196,N2846U,B77W,UAL2853,UA2853,LAX,NRT,NRT,
653373358,11235944,N837AN,B789,AAL9738,AA9738,PEK,LAX,LAX,
653360266,7701115,RPC7773,B77W,PAL102,PR102,MNL,LAX,LAX,
653349367,7866449,B6546,A332,CES7810,MU7810,LAX,SZX,SZX,
653350777,11133287,N736AT,B77W,AAL9711,AA9711,LAX,SYD,SYD,
653370227,7867261,B5937,A332,CES7303,MU7303,PVG,LAX,LAX,
653387324,7453719,HL7417,B744,AAR282,OZ282,ICN,LAX,LAX,
653384134,7454249,HL7629,B748,KAL207,KE207,ICN,LAX,LAX,
653387129,11381758,N980JT,A321,JBU224,B6224,LAX,JFK,JFK,
653382623,7454072,HL7578,A359,AAR2067,OZ2067,ICN,LAX,LAX,
653385528,4222009,GVWHO,B789,VIR23J,VS23,LHR,LAX,LAX,
653393214,4224155,GZBKR,B789,BAW269,BA269,LHR,LAX,LAX,
653391074,10647251,N258SN,B744,WGN7347,KD7347,LAX,ICN,ICN,
653390968,11117465,N720AN,B77W,AAL9714,AA9714,LHR,LAX,LAX,
653390872,10799003,N407KZ,B744,GTI7101,KZ7101,LAX,NRT,NRT,
653396312,9015322,B18055,B77W,CAL008,CI8,TPE,LAX,LAX,
653392247,7454210,HL7602,B744,KAL8280,KE8280,LAX,ICN,ICN,
653394552,5046573,LXKCL,B744,CLX83N,CV8367,LUX,LAX,LAX,
653399580,9015517,B16715,B77W,EVA016,BR16,TPE,LAX,LAX,
653398157,7901722,BLXH,A35K,CPA880,CX880,HKG,LAX,LAX,
653407091,11384611,N983JT,A321,JBU1473,B61473,EWR,LAX,LAX,
653406029,10614271,N2250U,B77W,UAL2775,UA2775,LHR,LAX,LAX,
653408624,10812332,N420AN,A21N,AAL232,AA232,OGG,LAX,LAX,
653409344,11239398,N840AN,B789,AAL9736,AA9736,PVG,LAX,LAX,
653410174,10794016,N402AS,B739,ASA283,AS283,LIR,LAX,LAX,
653407245,11170920,N773CK,B77L,CKS259,K4259,LAX,SYD,SYD,
653412615,11131383,N734AR,B77W,AAL9742,AA9742,LAX,NRT,NRT,
