flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
653240291,11101202,N704GT,B77L,SOO8028,9S8028,LAX,ICN,ICN,
653230288,4960654,TCLLN,B789,THY9,TK9,IST,LAX,LAX,
653234563,11329635,N929JB,A321,JBU323,B6323,JFK,LAX,LAX,
653238760,7785914,9VSMZ,A359,SIA38,SQ38,SIN,LAX,LAX,
653227738,11319373,N919CA,B744,NCR576,N8576,LAX,HKG,HKG,
653232640,7700719,RPC7775,B77W,PAL102,PR102,MNL,LAX,LAX,
653239286,11232128,N833AA,B789,AAL9738,AA9738,PEK,LAX,LAX,
653246476,9015460,B18772,B77L,CAL5156,CI5156,TPE,LAX,LAX,
653249617,4221770,GVOOH,B789,VIR23J,VS23,LHR,LAX,LAX,
653242405,7866300,B6138,A388,CSN327,CZ327,CAN,LAX,LAX,
653247288,7455584,HL8360,A359,AAR2067,OZ2067,ICN,LAX,LAX,
653252118,3761576,FGZNI,B77W,AFR5392,AF5392,CDG,LAX,LAX,
653254662,11131383,N734AR,B77W,AAL9714,AA9714,LHR,LAX,LAX,
653251651,7866449,B6546,A332,CES7809,MU7809,SZX,LAX,LAX,
653259132,11113107,N716CK,B744,CKS330,K4330,EMA,LAX,LAX,
653259222,9015320,B18052,B77W,CAL008,CI8,TPE,LAX,LAX,
653256032,4222837,GZBKI,B789,BAW269,BA269,LHR,LAX,LAX,
653257132,11123171,N726AN,B77W,AAL73,AA73,LAX,SYD,SYD,
653264071,9015513,B16710,B77W,EVA016,BR16,TPE,LAX,LAX,
653267378,10809829,N418AN,A21N,AAL1480,AA1480,HNL,LAX,LAX,
653271168,10904958,N511DN,A359,DAL41,DL41,LAX,SYD,SYD,
653268534,8814602,JA736A,B77W,ANA9641,NH9641,LAX,NRT,NRT,
653269583,7454217,HL7609,B748,KAL213D,KE213D,ICN,LAX,LAX,
653272326,5046535,LXVCG,B748,CLX37F,,LUX,LAX,LAX,
653272628,11220127,N821AN,B789,AAL9736,AA9736,PVG,LAX,LAX,
