flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
653076790,7785913,9VSMY,A359,SIA38,SQ38,SIN,LAX,LAX,
653051651,7866449,B6546,A332,CES7810,MU7810,LAX,SZX,SZX,
653062617,4960642,TCLLB,B789,THY9,TK9,IST,LAX,LAX,
653090562,10844880,N452PA,B744,PAC717,PO717,LAX,NRT,NRT,
653082123,5046568,LXSCV,B744,CLX46V,CV7745,LUX,LAX,LAX,
653084644,7701115,RPC7773,B77W,PAL102,PR102,MNL,LAX,LAX,
653095467,4222284,GVCRU,B789,VIR23J,VS23,LHR,LAX,LAX,
653089883,8680727,JA17KZ,B748,NCA101,KZ101,LAX,NRT,NRT,
653096528,10647251,N258SN,B744,WGN7345,KD7345,LAX,ICN,ICN,
653096585,7867188,B5931,A332,CES7809,MU7809,SZX,LAX,LAX,
653099048,11360737,N96AV,BE99,AMF1150,A81150,RNO,LAX,LAX,
653096274,8819250,JA788A,B77W,ANA106,NH106,HND,LAX,LAX,
653104272,9015517,B16715,B77W,EVA016,BR16,TPE,LAX,LAX,
653103361,9015328,B18007,B77W,CAL008,CI8,TPE,LAX,LAX,
653098722,4222838,GZBKJ,B789,BAW269,BA269,LHR,LAX,LAX,
653109616,11171871,N774CK,B77L,CKS259,K4259,LAX,SYD,SYD,
653107001,10843929,N451PA,B744,PAC715,PO715,LAX,NRT,NRT,
653105443,7454231,HL7617,B748,KAL213,KE213,ICN,LAX,LAX,
653111278,15205387,CCCXI,B763,LPE2477,LA2477,LAX,,,
653111479,11139636,N742CK,B744,CKS330,K4330,EMA,LAX,LAX,
653113399,11323929,N923JB,A321,JBU1473,B61473,EWR,LAX,LAX,
653116395,9015460,B18772,B77L,CAL5155,CI5155,LAX,KIX,KIX,
653114786,434478,A7ANR,A35K,QTR3178,QR3178,LAX,DOH,DOH,
653118217,10664190,N2749U,B77W,UAL2775,UA2775,LHR,LAX,LAX,
653120196,10904958,N511DN,A359,N511DN,,LAX,,,
653119587,7455365,HL8285,B77L,KAL224,KE224,LAX,NRT,NRT,
653123356,11240349,N841AN,B789,AAL9736,AA9736,PVG,LAX,LAX,
653132134,10815189,N423AS,B739,ASA282,AS282,LAX,LIR,LIR,
653129763,7453188,HL7204,B77W,KAL018,KE18,LAX,ICN,ICN,
653130702,10990530,N596AS,B738,ASA298,AS298,LAX,SJO,SJO,
653128908,11174677,N777AN,B772,AAL2283,AA2283,MIA,LAX,LAX,
653131736,10550003,N162UW,A321,AAL270,AA270,LAX,CLT,CLT,
653131482,15205455,CCBGI,B789,LAN9571,LA9571,LAX,SCL,SCL,
