flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
717581819,4221706,GSTBK,B77W,BAW281,BA281,LHR,LAX,LAX,
717555076,8145185,VHOQB,A388,QFA11,QF11,SYD,LAX,LAX,
717586533,8819250,JA788A,B77W,ANA106,NH106,HND,LAX,LAX,
717570173,4921633,HBJNL,B77W,SWR40,LX40,ZRH,LAX,LAX,
717579511,7701484,RPC7779,B77W,PAL102,PR102,MNL,LAX,LAX,
717563142,7865542,B2071,B77L,CSN444,CZ444,LAX,PVG,PVG,
717574893,7785911,9VSMW,A359,SIA38,SQ38,SIN,LAX,LAX,
717588286,3949963,DAALK,B77L,BOX340,3S340,EMA,LAX,LAX,
717577743,434955,A7BFX,B77L,QTR8910,QR8910,LAX,LGG,LGG,
717586297,7454840,HL8078,A359,AAR2067,OZ2067,ICN,LAX,LAX,
717585372,11103104,N706GT,B77L,GTI097,5Y97,LAX,LEJ,LEJ,
717578963,7865278,B6545,A332,CES7577,MU7577,PVG,LAX,LAX,
717562501,4960583,TCLJG,B77W,THY9,TK9,IST,LAX,LAX,
717588889,4224794,GVDOT,A35K,VIR23J,VS23,LHR,LAX,LAX,
717601241,8679811,JA16KZ,B748,NCA101,KZ101,LAX,NRT,NRT,
717597403,10964397,N57SN,FA8X,N57SN,,LAX,LTN,LTN,
717589081,7866772,B6140,A388,CSN327,CZ327,CAN,LAX,LAX,
717604833,4220305,GSTBE,B77W,BAW269,BA269,LHR,LAX,LAX,
717595319,7869378,B1282,B77W,CCA655,CA655,PEK,LAX,LAX,
717593238,9015322,B18055,B77W,CAL010,CI10,TPE,LAX,LAX,
717593091,5046530,LXVCC,B748,CLX59A,,LUX,LAX,LAX,
717594030,7454265,HL7639,B748,KAL213,KE213,ICN,LAX,LAX,
717591443,8819182,JA786A,B77W,ANA9642,NH9642,NRT,LAX,LAX,
717611717,11220127,N821AN,B789,AAL9726,AA9726,LAX,ICN,ICN,
717609430,9015329,B18051,B77W,CAL008,CI8,TPE,LAX,LAX,
717613764,9015513,B16710,B77W,EVA016,BR16,TPE,LAX,LAX,
717619563,11169969,N772CK,B77L,CKS259,K4259,LAX,SYD,SYD,
