flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
717781098,7785797,9VSJE,A359,SIA38,SQ38,SIN,LAX,LAX,
717789979,9015461,B18773,B77L,CAL5155,CI5155,LAX,KIX,KIX,
717776235,8159338,VHZNG,B789,QFA93,QF93,MEL,LAX,LAX,
717788469,4595538,OHLWK,A359,FIN3,AY3,ARN,LAX,LAX,
717796200,5046549,LXECV,B744,CLX46V,CV7745,LUX,LAX,LAX,
717791430,7454072,HL7578,A359,AAR2067,OZ2067,ICN,LAX,LAX,
717794016,8820132,JA797A,B77W,ANA106,NH106,HND,LAX,LAX,
717793793,7867319,B2096,B77L,CAO1059,CA1059,PVG,LAX,LAX,
717781788,7867098,B5926,A332,CES7577,MU7577,PVG,LAX,LAX,
717785042,7701115,RPC7773,B77W,PAL102,PR102,MNL,LAX,LAX,
717779644,4901032,SEREH,A333,SAS931,SK931,CPH,LAX,LAX,
717761363,4960579,TCLJC,B77W,THY9,TK9,IST,LAX,LAX,
717810053,11381758,N980JT,A321,JBU687,B6687,BOS,LAX,LAX,
717799339,4224435,GVLUX,A35K,VIR23J,VS23,LHR,LAX,LAX,
717810507,9015326,B18005,B77W,CAL010,CI10,TPE,LAX,LAX,
717809108,11234981,N836AA,B789,AAL9726,AA9726,LAX,ICN,ICN,
717803390,11172822,N775CK,B77L,CKS258D,,NGO,LAX,LAX,
717797519,7866219,B2085,B77W,CCA655,CA655,PEK,LAX,LAX,
717807600,7454249,HL7629,B748,KAL213D,KE213,ICN,LAX,LAX,
717810523,4221701,GSTBL,B77W,BAW269,BA269,LHR,LAX,LAX,
717815354,10576882,N189UW,A321,AAL2947,AA2947,CLT,LAX,LAX,
717820994,10881822,N489MC,B744,GTI8762,5Y8762,LAX,ICN,ICN,
717813979,9015321,B18053,B77W,CAL008,CI8,TPE,LAX,LAX,
717821774,10982506,N588JB,A320,JBU536,B6536,LAX,SFO,SFO,
717828224,4687956,LNRKS,A333,SAS932,SK932,LAX,CPH,CPH,
717824130,11173773,N776CK,B77L,CKS232,K4232,LAX,SYD,SYD,
717829158,10499941,N113AN,A321,AAL1379,AA1379,LAX,BOS,BOS,
717825044,9015604,B16785,B77L,EVA619,BR619,LAX,TPE,TPE,
717833763,10831002,N439AN,A21N,AAL271,AA271,LAX,OGG,OGG,
717833748,10846782,N454PA,B744,PAC233,PO233,LAX,NRT,NRT,
