flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
652101354,4960650,TCLLJ,B789,THY9,TK9,IST,LAX,LAX,
652117615,3428875,ECMLB,A332,IBE6177,IB6177,MAD,LAX,LAX,
652114885,7701797,RPC3501,A359,PAL102,PR102,MNL,LAX,LAX,
652115990,7785913,9VSMY,A359,SIA38,SQ38,SIN,LAX,LAX,
652103921,11101202,N704GT,B77L,SOO8028,9S8028,LAX,ICN,ICN,
652132078,11385546,N984JB,A321,JBU224,B6224,LAX,JFK,JFK,
652121054,7866166,B6136,A388,CSN327,CZ327,CAN,LAX,LAX,
652118278,5046544,LXRCV,B744,CLX37F,CV7746,LUX,LAX,LAX,
652121076,10507291,N120EE,A321,AAL1228,AA1228,MIA,LAX,LAX,
652128951,9015456,B18771,B77L,CAL5156,CI5156,TPE,LAX,LAX,
652129530,3754515,FGSQT,B77W,AFR5392,AF5392,CDG,LAX,LAX,
652133133,7867188,B5931,A332,CES7809,MU7809,SZX,LAX,LAX,
652124321,7455586,HL8362,A359,AAR2067,OZ2067,ICN,LAX,LAX,
652140198,11113107,N716CK,B744,CKS330,K4330,EMA,LAX,LAX,
652138008,11123171,N726AN,B77W,AAL9714,AA9714,LHR,LAX,LAX,
652140075,9015512,B16709,B77W,EVA016,BR16,TPE,LAX,LAX,
652134687,4221770,GVOOH,B789,VIR23J,VS23,LHR,LAX,LAX,
652140336,10783463,N392HA,A332,HAL3,HA3,LAX,HNL,HNL,
652142595,4222839,GZBKK,B789,BAW269,BA269,LHR,LAX,LAX,
652147408,7454231,HL7617,B748,KAL213D,,ICN,LAX,LAX,
652150441,11173163,N775SA,B77L,SOO097,9S97,LAX,LEJ,LEJ,
652151852,7453728,HL7420,B744,AAR286,OZ286,ICN,LAX,LAX,
652156305,11223919,N825AA,B789,AAL9736,AA9736,PVG,LAX,LAX,
652162855,10984937,N590FE,MD11,FDX3013,FX3013,EWR,LAX,LAX,
652163086,10642842,N2534U,B77W,UAL2804,UA2804,LAX,TPE,TPE,
652164648,7871007,B220E,B77L,CKK222,CK222,LAX,PVG,PVG,
652165509,10837574,N445MC,B744,PAC716,PO716,ANC,LAX,LAX,
652165844,10906789,N513AS,B738,ASA298,AS298,LAX,SJO,SJO,
652166949,11226772,N828AA,B789,AAL9706,AA9706,PVG,LAX,LAX,
652166035,10792110,N400AN,A21N,AAL2459,AA2459,DFW,LAX,LAX,
652165324,7455585,HL8361,A359,AAR201,OZ201,LAX,ICN,ICN,
652166406,5046529,LXVCB,B748,CLX4316,CV4316,HKG,LAX,ANC,
652167797,10818038,N426AN,A21N,AAL1572,AA1572,LAX,PHL,PHL,
652167933,10819944,N428AS,B739,ASA282,AS282,LAX,LIR,LIR,
652167319,10930314,N536US,B752,DAL335,DL335,ATL,LAX,LAX,
652171396,7785673,9VSFI,B744,SIA7303,SQ7303,LAX,BRU,BRU,
652170955,8820132,JA797A,B77W,ANA5,NH5,LAX,NRT,NRT,
652173228,10529024,N14115,B752,UAL751,UA751,EWR,LAX,LAX,
652175249,7865769,B2073,B77L,CSN444,CZ444,LAX,PVG,PVG,
652173998,8814610,JA736J,B77W,JAL061,JL61,LAX,NRT,NRT,
652173353,11380206,N979JT,A321,JBU2800,B62800,LAX,FLL,FLL,
652175226,11171871,N774CK,B77L,CKS249,K4249,LAX,SYD,SYD,
652173794,10513844,N127AA,A321,AAL2549,AA2549,DFW,LAX,LAX,
652174338,10804581,N412UW,A21N,AAL143,AA143,LAX,HNL,HNL,
652174320,10998682,N603NK,A320,NKS185,NK185,CLE,LAX,LAX,
652174936,10946736,N552UW,A321,AAL2604,AA2604,CLT,LAX,LAX,
652176211,11133287,N736AT,B77W,AAL9730,AA9730,LAX,NRT,NRT,
