flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
652548863,4960647,TCLLG,B789,THY9,TK9,IST,LAX,LAX,
652561122,434663,A7BFJ,B77L,QTR8141,QR8141,LGG,LAX,LAX,
652562439,7785793,9VSJA,A359,SIA38,SQ38,SIN,LAX,LAX,
652548064,11101202,N704GT,B77L,SOO8028,9S8028,LAX,ICN,ICN,
652572920,8678895,JA15KZ,B748,NCA101,KZ101,LAX,NRT,NRT,
652575415,7454240,HL7620,B744,AAR286,OZ286,ICN,LAX,LAX,
652571364,7701116,RPC7772,B77W,PAL102,PR102,MNL,LAX,LAX,
652570389,7867818,B2028,B77L,CSN472,CZ472,LAX,CAN,CAN,
652572617,7455584,HL8360,A359,AAR2067,OZ2067,ICN,LAX,LAX,
652579675,7866449,B6546,A332,CES7809,MU7809,SZX,LAX,LAX,
652576479,4223281,GVBOW,B789,VIR23J,VS23,LHR,LAX,LAX,
652569478,7865543,B2072,B77L,CSN5212,CZ5212,LAX,PVG,PVG,
652580131,7455557,HL8345,B789,KAL8015,KE8015,ICN,LAX,LAX,
652580637,11133287,N736AT,B77W,AAL9714,AA9714,LHR,LAX,LAX,
652585744,11360737,N96AV,BE99,AMF1150,A81150,RNO,LAX,LAX,
652581550,10647251,N258SN,B744,WGN7342,KD7342,LAX,ICN,ICN,
652586153,4222844,GZBKP,B789,BAW269,BA269,LHR,LAX,LAX,
652581362,11236883,N838AA,B789,AAL9738,AA9738,PEK,LAX,LAX,
652581142,7455313,HL8251,B77L,KAL8204,KE8204,LAX,ICN,ICN,
652588879,9015323,B18001,B77W,CAL008,CI8,TPE,LAX,LAX,
652590791,9015513,B16710,B77W,EVA016,BR16,TPE,LAX,LAX,
652595539,11122220,N725AN,B77W,AAL744D,AA9744,LAX,NRT,NRT,
652592734,15205387,CCCXI,B763,LPE2477,LA2477,LAX,,,
652591802,7901765,BLXM,A35K,CPA880,CX880,HKG,LAX,LAX,
652596038,11171871,N774CK,B77L,CKS259,K4259,LAX,SYD,SYD,
652601647,10602538,N2138U,B77W,UAL2775,UA2775,LHR,LAX,LAX,
652595678,7865770,B2075,B77L,CSN441,CZ441,PVG,LAX,LAX,
652606633,11234042,N835AN,B789,AAL9736,AA9736,PVG,LAX,LAX,
