year,state_zone,count,days,name,state,pop_share
2008,AL001,1,0.02,Lauderdale,AL,94535.0
2008,AL002,1,0.02,Colbert,AL,56523.0
2008,AL003,1,0.02,Franklin,AL,31586.0
2008,AL004,1,0.02,Lawrence,AL,34680.0
2008,AL005,1,0.02,Limestone,AL,96933.0
2008,AL006,1,0.02,Madison,AL,380512.0
2008,AL007,1,0.02,Morgan,AL,121507.0
2008,AL008,1,0.02,Marshall,AL,97653.0
2008,AL009,1,0.02,Jackson,AL,53751.0
2008,AL010,1,0.02,DeKalb,AL,73273.0
2008,AL016,1,0.02,Cullman,AL,85722.0
2008,AR008,2,1.42,Randolph,AR,18351.0
2008,AR009,2,1.42,Clay,AR,15332.0
2008,AR017,2,1.42,Lawrence,AR,17218.0
2008,AR018,2,1.42,Greene,AR,45883.0
2008,AR019,2,5.52,Crawford,AR,66396.0
2008,AR020,1,1.42,Franklin,AR,18913.0
2008,AR026,2,1.42,Craighead,AR,113593.0
2008,AR027,2,1.42,Poinsett,AR,24458.0
2008,AR028,2,1.42,Mississippi,AR,44005.0
2008,AR029,2,5.71,Sebastian,AR,131600.0
2008,AR035,2,1.42,Cross,AR,17302.0
2008,AR036,2,1.42,Crittenden,AR,48749.0
2008,AR048,2,1.42,St. Francis,AR,27726.0
2008,AR049,2,1.42,Lee,AR,10124.0
2008,AR058,2,1.42,Phillips,AR,20773.0
2008,AR074,2,3.5300000000000002,Ashley,AR,20809.0
2008,AR075,2,3.5300000000000002,Chicot,AR,11265.0
2008,AZ002,12,12.24,Lake Havasu and Fort Mohave,AZ,9169.0
2008,AZ003,10,11.38,Northwest Deserts,AZ,112138.0
2008,AZ036,12,12.24,Lake Mead National Recreation Area,AZ,29854.0
2008,CA006,3,5.64,San Francisco,CA,871536.0
2008,CA013,2,3.05,Shasta Lake Area / Northern Shasta County,CA,67269.0
2008,CA015,2,3.05,Northern Sacramento Valley,CA,54428.0
2008,CA038,4,4.51,Cuyama Valley,CA,31107.0
2008,CA048,2,2.3099999999999996,San Bernardino and Riverside County Valleys-The Inland Empire,CA,503253.0
2008,CA050,2,2.3099999999999996,San Diego County Inland Valleys,CA,1184691.0
2008,CA053,5,9.129999999999999,Ventura County Mountains,CA,433717.0
2008,CA054,5,9.129999999999999,Los Angeles County Mountains,CA,3120952.0
2008,CA061,3,3.4699999999999998,Coachella Valley,CA,259834.0
2008,CA062,3,3.4699999999999998,San Diego County Deserts,CA,743069.0
2008,CA063,2,3.05,Mountains Southwestern Shasta County to Western Colusa County,CA,45103.0
2008,CA066,2,3.05,Northeast Foothills/Sacramento Valley,CA,83788.0
2008,CA067,2,3.05,Motherlode,CA,243388.0
2008,CA088,3,2.8899999999999997,Santa Clarita Valley,CA,475120.0
2008,CA505,2,1.52,Coastal North Bay Including Point Reyes National Seashore,CA,153204.0
2008,CA506,4,6.95,North Bay Interior Valleys,CA,348933.0
2008,CA508,3,4.609999999999999,San Francisco Bay Shoreline,CA,1001208.0
2008,CA509,2,1.52,San Fransisco Peninsula Coast,CA,256178.0
2008,CA510,5,7.95,East Bay Interior Valleys,CA,1142990.0
2008,CA512,4,6.95,Santa Cruz Mountains,CA,720186.0
2008,CA513,7,11.37,Santa Clara Valley Including San Jose,CA,539031.0
2008,CA516,5,7.94,Southern Salinas Valley/Arroyo Seco and Lake San Antonio,CA,53914.0
2008,CA517,5,8.49,Santa Lucia Mountains and Los Padres National Forest,CA,179874.0
2008,CA518,5,8.49,Mountains Of San Benito County And Interior Monterey County Including Pinnacles National Monument,CA,174124.0
2008,CA520,3,1.11,Owens Valley,CA,2825.0
2008,CA522,12,12.24,Death Valley National Park,CA,12894.0
2008,CA523,12,12.24,Western Mojave Desert,CA,535599.0
2008,CA524,12,12.24,"Eastern Mojave Desert, Including the Mojave National Preserve",CA,665578.0
2008,CA525,12,12.24,Morongo Basin,CA,186916.0
2008,CA526,12,12.24,Cadiz Basin,CA,283473.0
2008,CA527,12,12.24,San Bernardino County-Upper Colorado River Valley,CA,100492.0
2008,CA528,4,6.85,Northern Salinas Valley/Hollister Valley and Carmel Valley,CA,50476.0
2008,CA529,2,1.52,Northern Monterey Bay,CA,106032.0
2008,CA530,2,1.52,Southern Monterey Bay and Big Sur Coast,CA,35234.0
2008,CT002,2,1.42,Hartford,CT,903527.0
2008,CT003,2,1.42,Tolland,CT,155123.0
2008,CT004,1,0.96,Windham,CT,120359.0
2008,DC001,1,2.01,District of Columbia,DC,700751.0
2008,DE001,4,14.77,New Castle,DE,569031.0
2008,DE002,1,0.51,Kent,DE,183142.0
2008,DE003,1,0.51,Inland Sussex,DE,237530.0
2008,IL100,1,1.17,Madison,IL,269139.0
2008,IL101,1,1.17,St. Clair,IL,264488.0
2008,IL102,1,1.17,Monroe,IL,35469.0
2008,KS022,1,1.38,Riley,KS,75527.0
2008,KS023,1,1.38,Pottawatomie,KS,25768.0
2008,KS024,1,1.38,Jackson,KS,13633.0
2008,KS025,1,1.35,Atchison,KS,16495.0
2008,KS026,1,1.38,Jefferson,KS,19771.0
2008,KS035,1,1.38,Dickinson,KS,19267.0
2008,KS036,1,1.38,Geary,KS,32889.0
2008,KS037,1,1.38,Morris,KS,5621.0
2008,KS038,1,1.38,Wabaunsee,KS,7215.0
2008,KS039,1,1.38,Shawnee,KS,177531.0
2008,KS040,1,2.3,Douglas,KS,122309.0
2008,KS049,1,1.38,Saline,KS,54460.0
2008,KS051,1,1.38,McPherson,KS,29712.0
2008,KS052,2,3.09,Marion,KS,12332.0
