date,total,pop,pop_share
2022-08-28,0,331449281,0.0
2022-08-27,0,331449281,0.0
2022-08-26,0,331449281,0.0
2022-08-25,5375660,331449281,1.62
2022-08-24,5375660,331449281,1.62
2022-08-23,20628410,331449281,6.22
2022-08-22,16252556,331449281,4.9
2022-08-21,0,331449281,0.0
2022-08-20,13770647,331449281,4.15
2022-08-19,22941787,331449281,6.92
2022-08-18,27213269,331449281,8.21
2022-08-17,59090284,331449281,17.83
2022-08-16,64451349,331449281,19.45
2022-08-15,62090898,331449281,18.73
2022-08-14,24239930,331449281,7.31
2022-08-13,34906040,331449281,10.53
2022-08-12,21135393,331449281,6.38
2022-08-11,23099920,331449281,6.97
2022-08-10,25748842,331449281,7.77
2022-08-09,54645491,331449281,16.49
2022-08-08,68915710,331449281,20.79
2022-08-07,105382879,331449281,31.79
2022-08-06,89683265,331449281,27.06
2022-08-05,77778731,331449281,23.47
2022-08-04,93154753,331449281,28.11
2022-08-03,124245979,331449281,37.49
2022-08-02,108908604,331449281,32.86
2022-08-01,30801095,331449281,9.29
2022-07-31,19096459,331449281,5.76
2022-07-30,16744199,331449281,5.05
2022-07-29,28382035,331449281,8.56
2022-07-28,49909119,331449281,15.06
2022-07-27,48478553,331449281,14.63
2022-07-26,39462743,331449281,11.91
2022-07-25,74332197,331449281,22.43
2022-07-24,109966901,331449281,33.18
2022-07-23,108571057,331449281,32.76
2022-07-22,104504877,331449281,31.53
2022-07-21,139042902,331449281,41.95
2022-07-20,154646517,331449281,46.66
2022-07-19,105668812,331449281,31.88
2022-07-18,65694765,331449281,19.82
2022-07-17,51148288,331449281,15.43
2022-07-16,55978632,331449281,16.89
