year,pop_share
2008,79168364.0
2009,32842278.0
2010,92483110.0
2011,173765617.0
2012,139423802.0
2013,79776371.0
2014,24161054.0
2015,56824297.0
2016,124612827.0
2017,77454164.0
2018,158014705.0
2019,187683201.0
2020,124122592.0
2021,130189548.0
2022,170016959.0
