date,total,pop,pop_share
8/3/23,55125917,331449281,16.63
8/2/23,54434130,331449281,16.42
8/1/23,50355166,331449281,15.19
7/31/23,47177160,331449281,14.23
7/30/23,76516033,331449281,23.09
7/29/23,119589951,331449281,36.08
7/28/23,156225629,331449281,47.13
7/27/23,172896955,331449281,52.16
7/26/23,46092617,331449281,13.91
7/25/23,46092617,331449281,13.91
7/24/23,81442482,331449281,24.57
7/23/23,77554946,331449281,23.4
7/22/23,100659397,331449281,30.37
7/21/23,117716350,331449281,35.52
7/20/23,123391988,331449281,37.23
7/19/23,114877646,331449281,34.66
7/18/23,102184491,331449281,30.83
7/17/23,104334379,331449281,31.48
7/16/23,110983346,331449281,33.48
7/15/23,113989502,331449281,34.39
7/14/23,113880561,331449281,34.36
7/13/23,115310263,331449281,34.79
7/12/23,112227515,331449281,33.86
7/11/23,104497920,331449281,31.53
7/10/23,91171721,331449281,27.51
7/9/23,69368380,331449281,20.93
7/8/23,56310124,331449281,16.99
7/7/23,42845825,331449281,12.93
7/6/23,36957568,331449281,11.15
7/5/23,49417893,331449281,14.91
7/4/23,48730941,331449281,14.7
7/3/23,65874799,331449281,19.87
7/2/23,102502948,331449281,30.93
7/1/23,101053882,331449281,30.49
6/30/23,108883329,331449281,32.85
6/29/23,109773756,331449281,33.12
6/28/23,120494854,331449281,36.35
6/27/23,91911312,331449281,27.73
6/26/23,46229578,331449281,13.95
6/25/23,54138705,331449281,16.33
6/24/23,51248412,331449281,15.46
6/23/23,37876926,331449281,11.43
6/22/23,28781482,331449281,8.68
6/21/23,34630382,331449281,10.45
6/20/23,38476466,331449281,11.61
6/19/23,41211569,331449281,12.43
6/18/23,41879232,331449281,12.64
6/17/23,43996111,331449281,13.27
6/16/23,42477806,331449281,12.82
6/15/23,42417669,331449281,12.8
6/14/23,36978598,331449281,11.16
6/13/23,16761109,331449281,5.06
6/12/23,7992793,331449281,2.41
6/11/23,7193772,331449281,2.17
6/10/23,3894496,331449281,1.17
6/9/23,4077464,331449281,1.23
6/8/23,3311274,331449281,1
6/7/23,3311274,331449281,1
6/6/23,2869858,331449281,0.87
6/5/23,2952539,331449281,0.89
6/4/23,3311274,331449281,1
6/3/23,3311274,331449281,1
6/2/23,3311274,331449281,1
6/1/23,3214358,331449281,0.97
5/31/23,0,331449281,0
5/30/23,0,331449281,0
5/29/23,0,331449281,0
5/28/23,0,331449281,0
5/27/23,2806849,331449281,0.85
5/26/23,580492,331449281,0.18
5/25/23,580492,331449281,0.18
