date,total
2022-08-13,21135393
2022-08-12,21135393
2022-08-11,23099920
2022-08-10,25748842
2022-08-09,54645491
2022-08-08,68915710
2022-08-07,105382879
2022-08-06,89683265
2022-08-05,77778731
2022-08-04,93154753
2022-08-03,124245979
2022-08-02,108908604
2022-08-01,30801095
2022-07-31,19096459
2022-07-30,16744199
2022-07-29,28382035
2022-07-28,49909119
2022-07-27,48478553
2022-07-26,39462743
2022-07-25,74332197
2022-07-24,109966901
2022-07-23,108571057
2022-07-22,104504877
2022-07-21,139042902
2022-07-20,154646517
2022-07-19,105668812
2022-07-18,65694765
2022-07-17,51148288
2022-07-16,55978632
2022-07-15,32747919
