main_category,sub_category,category_detail,product_name,product_form,display_order,product_number,product_type,path,sizes
Drinks,Oleato™,,Oleato Golden Foam™ Iced Shaken Espresso with Toffeenut,Iced,1,2123803,Beverage,/product/2123803/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Oleato™,,Oleato™ Caffé Latte with Oatmilk,Hot,4,2123744,Beverage,/product/2123744/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Oleato™,,Iced Chai Tea Latte with Oleato Golden Foam™,Iced,6,2123780,Beverage,/product/2123780/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Oleato™,,Iced Matcha Tea Latte with Oleato Golden Foam™,Iced,7,2123781,Beverage,/product/2123781/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Oleato™,,Paradise Drink Starbucks Refreshers® Beverage with Oleato Golden Foam™,Iced,8,2123779,Beverage,/product/2123779/iced,"['Tall', 'Grande', 'Venti', 'Trenta']"
Drinks,Oleato™,,Dragon Drink® Starbucks Refreshers® Beverage with Oleato Golden Foam™,Iced,9,2123782,Beverage,/product/2123782/iced,"['Tall', 'Grande', 'Venti', 'Trenta']"
Drinks,Hot Coffees,Americanos,Caffè Americano,Hot,1,406,Beverage,/product/406/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Brewed Coffees,Featured Blonde Roast,Hot,1,873068625,Beverage,/product/873068625/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Brewed Coffees,Featured Medium Roast Pike Place® Roast,Hot,2,480,Beverage,/product/480/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Brewed Coffees,Featured Dark Roast,Hot,3,479,Beverage,/product/479/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Brewed Coffees,Featured Decaf Roast Decaf Pike Place® Roast,Hot,4,481,Beverage,/product/481/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Brewed Coffees,Veranda Blend® Clover Vertica™,Hot,5,2123770,Beverage,/product/2123770/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Brewed Coffees,Featured Medium Roast Pike Place® Roast,Hot,6,2123738,Beverage,/product/2123738/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Brewed Coffees,Featured Dark Roast Caffè Verona®,Hot,7,2123740,Beverage,/product/2123740/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Brewed Coffees,Clover Vertica Starbucks Reserve® Sun-Dried Ethiopia Kayon Mountain Farm,Hot,9,2123811,Beverage,/product/2123811/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Brewed Coffees,Clover Vertica Anniversary Blend,Hot,10,2123826,Beverage,/product/2123826/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Brewed Coffees,Featured Decaf Roast Decaf Pike Place® Roast,Hot,11,2123739,Beverage,/product/2123739/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Brewed Coffees,Caffè Misto,Hot,12,478,Beverage,/product/478/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Brewed Coffees,Sun-Dried Ethiopia Kayon Mountain Farm Clover® Starbucks Reserve®,Hot,13,2122576,Beverage,/product/2122576/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Brewed Coffees,Clover® Malawi Sable Farms Starbucks Reserve®,Hot,14,2121958,Beverage,/product/2121958/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Brewed Coffees,Clover® Starbucks Reserve® Vietnam Da Lat,Hot,14,2121563,Beverage,/product/2121563/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Brewed Coffees,Guatemala Huehuetenango Clover® Starbucks Reserve®,Hot,16,2123363,Beverage,/product/2123363/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Cappuccinos,Cappuccino,Hot,1,409,Beverage,/product/409/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Espresso Shots,Espresso,Hot,2,410,Beverage,/product/410/hot,"['Single', 'Double', 'Triple', 'Quad']"
Drinks,Hot Coffees,Espresso Shots,Espresso Con Panna,Hot,3,411,Beverage,/product/411/hot,"['Single', 'Double', 'Triple', 'Quad']"
Drinks,Hot Coffees,Flat Whites,Flat White,Hot,1,565,Beverage,/product/565/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Flat Whites,Honey Almondmilk Flat White,Hot,4,2123158,Beverage,/product/2123158/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Lattes,Lavender Oatmilk Latte,Hot,1,2123829,Beverage,/product/2123829/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Lattes,Pistachio Latte,Hot,2,2123404,Beverage,/product/2123404/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Lattes,Oleato™ Caffé Latte with Oatmilk,Hot,7,2123744,Beverage,/product/2123744/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Lattes,Caffè Latte,Hot,40,407,Beverage,/product/407/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Lattes,Cinnamon Dolce Latte,Hot,44,414,Beverage,/product/414/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Lattes,Starbucks® Blonde Vanilla Latte,Hot,49,2122164,Beverage,/product/2122164/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Macchiatos,Caramel Macchiato,Hot,9,413,Beverage,/product/413/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Macchiatos,Espresso Macchiato,Hot,12,412,Beverage,/product/412/hot,"['Single', 'Double', 'Triple', 'Quad']"
Drinks,Hot Coffees,Mochas,Caffè Mocha,Hot,17,408,Beverage,/product/408/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Mochas,White Chocolate Mocha,Hot,23,420,Beverage,/product/420/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Coffees,Coffee Travelers,Coffee Traveler - Veranda Blend®,Hot,1,873068654,Beverage,/product/873068654/hot,['Short']
Drinks,Hot Coffees,Coffee Travelers,Coffee Traveler - Dark Roast,Hot,2,873068656,Beverage,/product/873068656/hot,['Short']
Drinks,Hot Coffees,Coffee Travelers,Coffee Traveler - Pike Place® Roast,Hot,3,873068655,Beverage,/product/873068655/hot,['Short']
Drinks,Hot Coffees,Coffee Travelers,Coffee Traveler - Decaf Pike Place® Roast,Hot,4,873068657,Beverage,/product/873068657/hot,['Short']
Drinks,Hot Teas,Chai Teas,Chai Tea Latte,Hot,3,466,Beverage,/product/466/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Teas,Chai Teas,Chai Tea,Hot,6,2122273,Beverage,/product/2122273/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Teas,Black Teas,Earl Grey Tea,Hot,1,450,Beverage,/product/450/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Teas,Black Teas,Teavana® London Fog Tea Latte,Hot,3,477,Beverage,/product/477/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Teas,Black Teas,Royal English Breakfast Tea,Hot,4,446,Beverage,/product/446/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Teas,Black Teas,Royal English Breakfast Tea Latte,Hot,5,465,Beverage,/product/465/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Teas,Green Teas,Emperor’s Clouds & Mist®,Hot,1,873068751,Beverage,/product/873068751/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Teas,Green Teas,Matcha Tea Latte,Hot,2,468,Beverage,/product/468/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Teas,Green Teas,Honey Citrus Mint Tea,Hot,3,2122274,Beverage,/product/2122274/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Teas,Herbal Teas,Mint Majesty®,Hot,1,873068754,Beverage,/product/873068754/hot,"['Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Drinks,Hot Chocolates,Hot Chocolate,Hot,12,471,Beverage,/product/471/hot,"['Kids', 'Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Drinks,Hot Chocolates,White Hot Chocolate,Hot,20,472,Beverage,/product/472/hot,"['Kids', 'Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Drinks,Juice,Caramel Apple Spice,Hot,1,475,Beverage,/product/475/hot,"['Kids', 'Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Drinks,Juice,Steamed Apple Juice,Hot,2,489,Beverage,/product/489/hot,"['Kids', 'Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Drinks,Steamers,Pistachio Crème,Hot,1,2123366,Beverage,/product/2123366/hot,"['Kids', 'Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Drinks,Steamers,Steamed Milk,Hot,27,747,Beverage,/product/747/hot,"['Kids', 'Short', 'Tall', 'Grande', 'Venti']"
Drinks,Hot Drinks,Steamers,Vanilla Crème,Hot,28,873068652,Beverage,/product/873068652/hot,"['Kids', 'Short', 'Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Pistachio Frappuccino® Blended Beverage,Iced,1,2123364,Beverage,/product/2123364/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Mocha Cookie Crumble Frappuccino®,Iced,20,956,Beverage,/product/956/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Caramel Ribbon Crunch Frappuccino® Blended Beverage,Iced,29,1044,Beverage,/product/1044/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Espresso Frappuccino® Blended Beverage,Iced,30,500,Beverage,/product/500/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Caffè Vanilla Frappuccino® Blended Beverage,Iced,31,423,Beverage,/product/423/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Caramel Frappuccino® Blended Beverage,Iced,31,424,Beverage,/product/424/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Coffee Frappuccino® Blended Beverage,Iced,31,483,Beverage,/product/483/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Mocha Frappuccino® Blended Beverage,Iced,33,426,Beverage,/product/426/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,Java Chip Frappuccino® Blended Beverage,Iced,63,425,Beverage,/product/425/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Coffee Frappuccino®,White Chocolate Mocha Frappuccino® Blended Beverage,Iced,78,428,Beverage,/product/428/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,Lavender Crème Frappuccino® Blended Beverage,Iced,2,2123827,Beverage,/product/2123827/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,Pistachio Crème Frappuccino® Blended Beverage,Iced,4,2123365,Beverage,/product/2123365/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,Chocolate Cookie Crumble Crème Frappuccino®,Iced,10,957,Beverage,/product/957/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,Caramel Ribbon Crunch Crème Frappuccino® Blended Beverage,Iced,11,1062,Beverage,/product/1062/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,Strawberry Crème Frappuccino® Blended Beverage,Iced,12,2122724,Beverage,/product/2122724/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,Chai Crème Frappuccino®,Iced,13,438,Beverage,/product/438/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,Double Chocolaty Chip Crème Frappuccino® Blended Beverage,Iced,14,435,Beverage,/product/435/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,Matcha Crème Frappuccino® Blended Beverage,Iced,15,439,Beverage,/product/439/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,Vanilla Bean Crème Frappuccino® Blended Crème,Iced,16,440,Beverage,/product/440/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Frappuccino® Blended Beverages,Creme Frappuccino®,White Chocolate Crème Frappuccino® Blended Beverage,Iced,17,441,Beverage,/product/441/iced,"['Tall', 'Grande', 'Venti']"
Drinks,Cold Coffees,Cold Brews,Pistachio Cream Cold Brew,Iced,2,2123702,Beverage,/product/2123702/iced,"['Tall', 'Grande', 'Venti', 'Trenta']"
Drinks,Cold Coffees,Cold Brews,Cinnamon Caramel Cream Cold Brew,Iced,3,2123736,Beverage,/product/2123736/iced,"['Tall', 'Grande', 'Venti', 'Trenta']"
Drinks,Cold Coffees,Cold Brews,Salted Caramel Cream Cold Brew,Iced,4,2122795,Beverage,/product/2122795/iced,"['Tall', 'Grande', 'Venti', 'Trenta']"
Drinks,Cold Coffees,Cold Brews,Chocolate Cream Cold Brew,Iced,6,2123644,Beverage,/product/2123644/iced,"['Tall', 'Grande', 'Venti', 'Trenta']"
Drinks,Cold Coffees,Cold Brews,Starbucks® Cold Brew Coffee,Iced,8,2121255,Beverage,/product/2121255/iced,"['Tall', 'Grande', 'Venti', 'Trenta']"
Drinks,Cold Coffees,Cold Brews,Vanilla Sweet Cream Cold Brew,Iced,9,2121859,Beverage,/product/2121859/iced,"['Tall', 'Grande', 'Venti', 'Trenta']"
Drinks,Cold Coffees,Cold Brews,Starbucks® Cold Brew Coffee with Milk,Iced,10,2121343,Beverage,/product/2121343/iced,"['Tall', 'Grande', 'Venti', 'Trenta']"
