fips_code,county_name,state,estimated_hesitant,estimated_strongly_hesitant,social_vulnerability_index_(svi),svi_category,ability_to_handle_a_covid-19_outbreak_(cvac),cvac_category,percent_adults_fully_vaccinated_against_covid-19,percent_hispanic,percent_non-hispanic_american_indian_alaska_native,percent_non-hispanic_asian,percent_non-hispanic_black,percent_non-hispanic_native_hawaiian_pacific_islander,percent_non-hispanic_white,state_code,state_name,county_fips,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,winner,name
06075,San Francisco County,CALIFORNIA,0.07,0.03,0.39,Low Vulnerability,0.52,Moderate Vulnerability,0.237,0.1524,0.0019,0.3407,0.05,0.0034,0.4051,CA,California,06075,56417.0,378156.0,443458.0,-321739.0,0.1272206162,0.8527436646000001,0.7255230484,Biden,San Francisco County
06041,Marin County,CALIFORNIA,0.08,0.03,0.27,Low Vulnerability,0.31,Low Vulnerability,0.33299999999999996,0.1598,0.0017,0.0581,0.0213,0.001,0.7115,CA,California,06041,24612.0,128288.0,155801.0,-103676.0,0.1579707447,0.8234093491000001,0.6654386044,Biden,Marin County
06081,San Mateo County,CALIFORNIA,0.08,0.03,0.26,Low Vulnerability,0.4,Moderate Vulnerability,0.264,0.244,0.0015,0.2831,0.0218,0.0132,0.3924,CA,California,06081,75563.0,291410.0,374138.0,-215847.0,0.2019655849,0.7788837274,0.5769181425000001,Biden,San Mateo County
06085,Santa Clara County,CALIFORNIA,0.08,0.03,0.36,Low Vulnerability,0.42,Moderate Vulnerability,0.21600000000000003,0.2547,0.0017,0.3628,0.0235,0.0032,0.3154,CA,California,06085,214612.0,617967.0,850522.0,-403355.0,0.2523297457,0.7265737982,0.4742440525,Biden,Santa Clara County
06013,Contra Costa County,CALIFORNIA,0.09,0.04,0.41,Moderate Vulnerability,0.47,Moderate Vulnerability,0.261,0.2559,0.002,0.1648,0.084,0.0046,0.4383,CA,California,06013,152877.0,416386.0,581230.0,-263509.0,0.26302324380000003,0.7163876607,0.4533644168,Biden,Contra Costa County
06059,Orange County,CALIFORNIA,0.09,0.04,0.42,Moderate Vulnerability,0.43,Moderate Vulnerability,0.19399999999999998,0.3405,0.0019,0.2029,0.0162,0.0028,0.4059,CA,California,06059,676498.0,814009.0,1521725.0,-137511.0,0.44455995660000003,0.5349251672,0.0903652105,Biden,Orange County
06001,Alameda County,CALIFORNIA,0.09,0.03,0.47,Moderate Vulnerability,0.53,Moderate Vulnerability,0.248,0.2239,0.0031,0.2994,0.1033,0.008,0.3141,CA,California,06001,136309.0,617659.0,769864.0,-481350.0,0.1770559475,0.8022962497,0.6252403022,Biden,Alameda County
06111,Ventura County,CALIFORNIA,0.1,0.04,0.48,Moderate Vulnerability,0.46,Moderate Vulnerability,0.215,0.4268,0.0024,0.0717,0.0169,0.0017,0.4542,CA,California,06111,162207.0,251388.0,422698.0,-89181.0,0.383742057,0.5947224733,0.2109804163,Biden,Ventura County
06055,Napa County,CALIFORNIA,0.1,0.04,0.51,Moderate Vulnerability,0.47,Moderate Vulnerability,0.27899999999999997,0.3405,0.0029,0.0802,0.0199,0.002,0.5243,CA,California,06055,20676.0,49817.0,72122.0,-29141.0,0.2866809018,0.6907323702,0.4040514683,Biden,Napa County
06017,El Dorado County,CALIFORNIA,0.1,0.04,0.18,Very Low Vulnerability,0.43,Moderate Vulnerability,0.209,0.1283,0.0055,0.045,0.0076,0.0025,0.7782,CA,California,06017,61838.0,51621.0,116138.0,10217.0,0.5324527717,0.44447984290000003,0.0879729288,Trump,El Dorado County
06061,Placer County,CALIFORNIA,0.1,0.04,0.15,Very Low Vulnerability,0.35,Low Vulnerability,0.248,0.14,0.0036,0.0741,0.0165,0.0015,0.7266,CA,California,06061,122488.0,106869.0,235017.0,15619.0,0.521187829,0.4547288069,0.0664590221,Trump,Placer County
06087,Santa Cruz County,CALIFORNIA,0.1,0.04,0.54,Moderate Vulnerability,0.48,Moderate Vulnerability,0.244,0.3357,0.0015,0.0456,0.0091,0.0007,0.5727,CA,California,06087,26937.0,114246.0,144796.0,-87309.0,0.1860341446,0.7890135087,0.6029793641,Biden,Santa Cruz County
