fips_code,county_name,estimated_hesitant,winner
06075,San Francisco County,0.07,Biden
06041,Marin County,0.08,Biden
06081,San Mateo County,0.08,Biden
06085,Santa Clara County,0.08,Biden
06013,Contra Costa County,0.09,Biden
06059,Orange County,0.09,Biden
06001,Alameda County,0.09,Biden
06111,Ventura County,0.1,Biden
06055,Napa County,0.1,Biden
06017,El Dorado County,0.1,Trump
06061,Placer County,0.1,Trump
06087,Santa Cruz County,0.1,Biden
06097,Sonoma County,0.1,Biden
06037,Los Angeles County,0.11,Biden
06095,Solano County,0.11,Biden
06079,San Luis Obispo County,0.11,Biden
06113,Yolo County,0.11,Biden
06091,Sierra County,0.11,Trump
06073,San Diego County,0.11,Biden
06057,Nevada County,0.11,Biden
06109,Tuolumne County,0.12,Trump
06065,Riverside County,0.12,Biden
06009,Calaveras County,0.12,Trump
06083,Santa Barbara County,0.12,Biden
06003,Alpine County,0.12,Biden
06067,Sacramento County,0.12,Biden
06051,Mono County,0.12,Biden
06027,Inyo County,0.12,Biden
06043,Mariposa County,0.12,Trump
06077,San Joaquin County,0.12,Biden
06053,Monterey County,0.12,Biden
06005,Amador County,0.12,Trump
06099,Stanislaus County,0.13,Biden
06069,San Benito County,0.13,Biden
06019,Fresno County,0.13,Biden
06007,Butte County,0.13,Biden
06071,San Bernardino County,0.13,Biden
06023,Humboldt County,0.13,Biden
06089,Shasta County,0.13,Trump
06045,Mendocino County,0.14,Biden
06025,Imperial County,0.14,Biden
06011,Colusa County,0.14,Trump
06029,Kern County,0.14,Trump
06107,Tulare County,0.14,Trump
06033,Lake County,0.14,Biden
06047,Merced County,0.14,Biden
06105,Trinity County,0.14,Trump
06039,Madera County,0.14,Trump
06021,Glenn County,0.14,Trump
06101,Sutter County,0.14,Trump
06103,Tehama County,0.14,Trump
06115,Yuba County,0.14,Trump
06015,Del Norte County,0.15,Trump
06063,Plumas County,0.15,Trump
06049,Modoc County,0.15,Trump
06093,Siskiyou County,0.15,Trump
06035,Lassen County,0.15,Trump
06031,Kings County,0.16,Trump
