snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1644117977,0,261,33.93694,-118.42197,14200,13,0000
1644117984,0,261,33.93690,-118.42242,14200,13,0000
1644117990,0,264,33.93690,-118.42287,14200,13,0000
1644117994,0,255,33.93679,-118.42326,14200,13,0000
1644118001,0,258,33.93677,-118.42349,14200,3,0000
1644118010,0,264,33.93675,-118.42405,14200,15,0000
1644118016,0,261,33.93669,-118.42451,14200,13,0000
1644118022,0,261,33.93664,-118.42498,14200,13,0000
1644118029,0,261,33.93659,-118.42542,14200,13,0000
