snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1614202951,1925,268,33.68725,-112.09380,1967,173,0000
1614202956,2200,271,33.68720,-112.09883,1967,181,0000
1614202957,2275,273,33.68729,-112.10007,1967,182,0000
1614202960,2475,279,33.68779,-112.10326,4091,184,0000
1614202964,2700,291,33.68902,-112.10695,1571,191,0000
1614202965,2750,296,33.68943,-112.10792,1967,195,0000
1614202966,2850,299,33.69018,-112.10941,4091,196,0000
1614202967,2875,302,33.69044,-112.10987,1571,198,0000
1614202971,3150,312,33.69328,-112.11385,2250,206,0000
1614202973,3225,317,33.69437,-112.11502,1571,210,0774
1614202974,3325,319,33.69553,-112.11610,1967,211,0774
1614202976,3350,322,33.69617,-112.11665,4091,211,0774
1614202978,3475,330,33.69796,-112.11794,2250,212,0774
1614202981,3625,334,33.70070,-112.11951,2250,212,0774
1614202982,3700,338,33.70205,-112.12017,1571,213,0774
1614202989,4000,353,33.70802,-112.12164,1571,216,0774
1614202990,4075,356,33.70967,-112.12164,2250,217,0774
1614202993,4200,2,33.71228,-112.12148,1967,219,0774
1614202994,4250,5,33.71360,-112.12126,1571,220,0774
1614202996,4350,13,33.71560,-112.12074,2250,220,0774
1614202997,4400,15,33.71699,-112.12028,1571,221,0774
1614202999,4500,18,33.71841,-112.11963,2250,221,0774
1614203000,4550,22,33.71997,-112.11884,1120,222,0774
1614203002,4625,27,33.72133,-112.11800,2250,222,0774
1614203003,4700,30,33.72267,-112.11705,1571,223,0774
1614203005,4775,32,33.72386,-112.11603,1967,223,0774
1614203006,4850,37,33.72509,-112.11491,1571,223,0774
1614203007,4925,39,33.72624,-112.11369,1967,223,0774
1614203009,4975,44,33.72691,-112.11290,4091,223,0774
1614203010,5025,44,33.72789,-112.11159,40942,223,0774
1614203011,5050,46,33.72821,-112.11111,1967,223,0774
1614203014,5200,56,33.73018,-112.10791,1967,224,0774
1614203017,5325,61,33.73169,-112.10461,1967,225,0774
1614203020,5475,70,33.73291,-112.10100,1967,227,0774
1614203023,5625,77,33.73370,-112.09721,1967,227,0774
1614203026,5775,84,33.73408,-112.09334,1967,227,0774
1614203027,5850,87,33.73413,-112.09156,40942,228,0774
1614203029,5900,91,33.73407,-112.08964,1967,229,0774
1614203032,6050,96,33.73370,-112.08588,1967,228,0774
1614203033,6075,101,33.73352,-112.08475,4091,227,0774
1614203035,6175,105,33.73296,-112.08235,1967,226,0774
1614203038,6325,113,33.73180,-112.07880,1967,225,0774
1614203043,6600,125,33.72863,-112.07268,4055,223,0774
1614203047,6750,132,33.72647,-112.06991,4055,222,0774
1614203049,6900,140,33.72414,-112.06750,1967,221,0774
1614203053,7025,149,33.72153,-112.06554,40942,221,0774
1614203056,7150,153,33.71878,-112.06391,4055,222,0774
1614203057,7200,158,33.71732,-112.06318,1571,223,0774
1614203061,7300,162,33.71285,-112.06181,40942,225,0774
1614203062,7325,169,33.71225,-112.06169,2250,227,0774
1614203063,7325,171,33.71127,-112.06155,4091,229,0774
1614203065,7350,174,33.70967,-112.06145,4055,231,0774
1614203068,7400,180,33.70642,-112.06145,4055,235,0774
1614203070,7425,185,33.70331,-112.06172,1967,240,0774
1614203072,7450,186,33.70106,-112.06206,1571,243,0774
1614203077,7525,189,33.69603,-112.06301,4055,250,0774
1614203078,7525,187,33.69534,-112.06313,1120,244,0774
1614203080,7575,189,33.69270,-112.06369,1967,253,0774
1614203083,7650,190,33.68903,-112.06453,4055,257,0774
1614203084,7700,190,33.68753,-112.06490,4091,257,0774
1614203089,7825,190,33.68211,-112.06609,4055,262,0774
1614203092,7925,190,33.67863,-112.06690,4055,264,0774
1614203093,8000,190,33.67645,-112.06741,4091,266,0774
1614203095,8050,190,33.67496,-112.06770,4055,266,0774
1614203107,8550,189,33.66005,-112.07091,4055,272,0774
1614203120,9075,188,33.64339,-112.07411,40942,277,0774
1614203131,9525,188,33.62952,-112.07664,4055,282,0774
1614203144,10000,189,33.61281,-112.07972,41769,287,0774
1614203154,10225,198,33.59917,-112.08392,1120,295,0774
