,Year,Overtime,BaseWages,naWages,naOvertime,OT_Share_Wages
0,2011,823947630.8425663,3284339056.774021,3680159849.091398,738083590.3980999,20.05574813768828
1,2012,934994754.6539919,3244335887.7053747,3821276346.3458,854891284.1936978,22.37187805093476
2,2013,1003171053.8630993,3185910144.540414,3886294642.2699986,930661905.8600035,23.947281190095264
3,2014,1075066121.6527004,3117678129.714069,3952791053.5810003,1013539460.7699996,25.641108953932473
4,2015,1199673471.2507517,3337353600.222976,4282447504.049999,1132357947.5499983,26.44184071092766
5,2016,1247353780.4971669,3438516459.5705967,4478734797.15,1192215425.2799997,26.619469097358806
6,2017,1330159011.922603,3488223138.2030396,4703500231.530002,1298444794.4599998,27.605926024109678
7,2018,1364028798.7400093,3536243646.070005,4900272444.810001,1364028798.7400093,27.83577472686617
