,employerfull,type,employercounty,year,adjusted_overtime,adjusted_wages,adjusted_basewages,overtime,wages,ot_share_wages
0,ALAMEDA_CITY,CITY,ALAMEDA,2011,803203.4430312217,14023071.556444181,13219868.113412969,706696.0,12338155.0,5.73
1,ALAMEDA_CITY,CITY,ALAMEDA,2012,557326.7814925474,13023897.646793902,12466570.865301358,500510.0,11696174.0,4.28
2,ALAMEDA_CITY,CITY,ALAMEDA,2013,638282.6535068704,13825347.203264985,13187064.549758116,581609.0,12597783.0,4.62
3,ALAMEDA_CITY,CITY,ALAMEDA,2014,1259159.537586172,14540815.852341844,13281656.314755686,1165970.0,13464660.0,8.66
4,ALAMEDA_CITY,CITY,ALAMEDA,2015,2342254.194256108,15850866.673230186,13508612.478974082,2171480.0,14695177.0,14.78
5,ALAMEDA_CITY,CITY,ALAMEDA,2016,1370063.1861362373,15271332.004899861,13901268.818763621,1286195.0,14336500.0,8.97
6,ALAMEDA_CITY,CITY,ALAMEDA,2017,1443484.7710794702,15862180.783514196,14418696.012434721,1383991.0,15208415.0,9.1
7,ALAMEDA_CITY,CITY,ALAMEDA,2018,2032824.757661078,16445137.772196718,14412313.014535632,1996646.0,16152459.0,12.36
8,ALAMEDA_CITY,CITY,ALAMEDA,2019,2676033.0,16465240.0,13789207.0,2676033.0,16465240.0,16.25
9,ALAMEDA_COUNTY,COUNTY,ALAMEDA,2011,0.0,292.096297218357,292.096297218357,0.0,257.0,0.0
10,ALAMEDA_COUNTY,COUNTY,ALAMEDA,2012,0.0,25672.152299276117,25672.152299276117,0.0,23055.0,0.0
11,ALAMEDA_COUNTY,COUNTY,ALAMEDA,2015,14208990.146571781,57514651.03464731,43305660.88807557,13173010.0,53321247.0,24.7
12,ALAMEDA_COUNTY,COUNTY,ALAMEDA,2016,16152871.282637598,60757311.5467091,44604440.26407146,15164076.0,57038063.0,26.59
13,ALAMEDA_COUNTY,COUNTY,ALAMEDA,2017,3503457.3191783614,13334761.230205614,9831303.911027247,3359061.0,12785164.0,26.27
14,ALAMEDA_COUNTY,COUNTY,ALAMEDA,2018,17187371.51625005,60657981.2635172,43470609.7472671,16881483.0,59578434.0,28.33
15,ALAMEDA_COUNTY,COUNTY,ALAMEDA,2019,16327468.0,61140636.0,44813168.0,16327468.0,61140636.0,26.7
