,type,2011,2014,2019,increase_adjusted_pct
0,CITY,23962.428216040884,33081.41140255833,35372.789098158544,47
1,COUNTY,33913.146926622794,38580.92683748415,45746.085701191565,34
2,SPECIAL DISTRICT,14663.862707702963,17292.21617882344,22005.236437617892,50
3,STATE,12786.884409708575,21571.795789802298,19356.56149001955,51
