,year,type,count
0,2011,CITY,21
1,2011,COUNTY,20
2,2012,CITY,49
3,2012,COUNTY,58
4,2013,CITY,155
5,2013,COUNTY,161
6,2014,CITY,277
7,2014,COUNTY,220
8,2015,CITY,416
9,2015,COUNTY,408
10,2016,CITY,435
11,2016,COUNTY,577
12,2017,CITY,509
13,2017,COUNTY,631
14,2018,CITY,474
15,2018,COUNTY,611
