,employerfull,type,2011,2012,2013,2014,2015,2016,2017,2018,2019,ot_pct_change
0,LOS ANGELES CITY,CITY,109199314.19713807,125749782.79086527,154272930.19269264,174201837.0068176,199022321.9622182,198223609.73198718,204805434.48415828,198411725.6474411,207856755.0,81.69686055834326
1,LOS ANGELES COUNTY,COUNTY,143138158.00140473,147633266.58040735,162505149.90284473,165835905.09880647,178752293.3608558,200750586.16690773,206097766.4345344,203838869.05497244,206244625.0,42.40707851848422
