year,area,incident_id
2017,77th Street,4708
2017,Central,1573
2017,Devonshire,1341
2017,Foothill,1797
2017,Harbor,2422
2017,Hollenbeck,1976
2017,Hollywood,1407
2017,Mission,2522
2017,N Hollywood,1812
2017,Newton,2985
2017,Northeast,1571
2017,Olympic,1833
2017,Pacific,1279
2017,Rampart,2222
2017,Southeast,3905
2017,Southwest,3486
2017,Topanga,1695
2017,Van Nuys,1849
2017,West LA,824
2017,West Valley,1445
2017,Wilshire,1214
2018,77th Street,4708
2018,Central,1429
2018,Devonshire,1271
2018,Foothill,1821
2018,Harbor,2341
2018,Hollenbeck,1999
2018,Hollywood,1388
2018,Mission,2481
2018,N Hollywood,1700
2018,Newton,2898
2018,Northeast,1551
2018,Olympic,1957
2018,Pacific,1270
2018,Rampart,2040
2018,Southeast,3992
2018,Southwest,3076
2018,Topanga,1513
2018,Van Nuys,1734
2018,West LA,776
2018,West Valley,1432
2018,Wilshire,1277
2019,77th Street,4438
2019,Central,1586
2019,Devonshire,1281
2019,Foothill,1822
2019,Harbor,2214
2019,Hollenbeck,2032
2019,Hollywood,1348
2019,Mission,2328
2019,N Hollywood,1560
2019,Newton,2828
2019,Northeast,1383
2019,Olympic,1795
2019,Outside,94
2019,Pacific,1213
2019,Rampart,2108
2019,Southeast,3620
2019,Southwest,2993
2019,Topanga,1408
2019,Van Nuys,1670
2019,West LA,763
2019,West Valley,1440
2019,Wilshire,1291
2020,77th Street,4679
2020,Central,1631
2020,Devonshire,1322
2020,Foothill,1786
2020,Harbor,2334
2020,Hollenbeck,2113
2020,Hollywood,1347
2020,Mission,2358
2020,N Hollywood,1806
2020,Newton,2871
2020,Northeast,1453
2020,Olympic,1889
2020,Outside,59
2020,Pacific,1249
2020,Rampart,2463
2020,Southeast,3680
2020,Southwest,2774
2020,Topanga,1593
2020,Van Nuys,1704
2020,West LA,766
2020,West Valley,1517
2020,Wilshire,1193
2021,77th Street,3238
2021,Central,1396
2021,Devonshire,1069
2021,Foothill,1226
2021,Harbor,1690
2021,Hollenbeck,1342
2021,Hollywood,1139
2021,Mission,1741
2021,N Hollywood,1286
2021,Newton,2021
2021,Northeast,969
2021,Olympic,1609
2021,Outside,56
2021,Pacific,1054
2021,Rampart,1719
2021,Southeast,2625
2021,Southwest,1910
2021,Topanga,1127
2021,Van Nuys,1213
2021,West LA,600
2021,West Valley,1125
2021,Wilshire,879
