year,all_calls_count,call_per_day,dom_count,dom_calls_per_day,dom_count_rate_all_calls
2012,923246,2528.0,46709,128.0,5.06
2013,901401,2468.0,46113,126.0,5.12
2014,932781,2554.0,46016,126.0,4.93
2015,961870,2633.0,46478,127.0,4.83
2016,1016874,2784.0,46647,128.0,4.59
2017,1048989,2872.0,43866,120.0,4.18
2018,1114791,3052.0,42654,117.0,3.83
2019,1095430,2999.0,41121,113.0,3.75
2020,1084550,2969.0,42528,116.0,3.92
2021,791341,2757.0,31779,111.0,4.02
