year,dom_count,dom_calls_per_day
2012,46709,128.0
2013,46113,126.0
2014,46016,126.0
2015,46478,127.0
2016,46647,128.0
2017,43866,120.0
2018,42654,117.0
2019,41121,113.0
2020,42528,116.0
2021,31779,111.0
