monthday,calls
01/01/2020,248
01/02/2020,301
01/03/2020,322
01/04/2020,292
01/05/2020,269
01/06/2020,299
01/07/2020,304
01/08/2020,303
01/09/2020,303
01/10/2020,302
01/11/2020,298
01/12/2020,277
01/13/2020,263
01/14/2020,300
01/15/2020,338
01/16/2020,329
01/17/2020,335
01/18/2020,321
01/19/2020,270
01/20/2020,296
01/21/2020,277
01/22/2020,324
01/23/2020,299
01/24/2020,295
01/25/2020,254
01/26/2020,236
01/27/2020,299
01/28/2020,304
01/29/2020,325
01/30/2020,293
01/31/2020,329
02/01/2020,328
02/02/2020,259
02/03/2020,342
02/04/2020,326
02/05/2020,307
02/06/2020,328
02/07/2020,310
02/08/2020,318
02/09/2020,277
02/10/2020,283
02/11/2020,331
02/12/2020,296
02/13/2020,309
02/14/2020,341
02/15/2020,329
02/16/2020,279
02/17/2020,294
02/18/2020,319
02/19/2020,295
02/20/2020,303
02/21/2020,302
02/22/2020,277
02/23/2020,299
02/24/2020,280
02/25/2020,333
02/26/2020,301
02/27/2020,301
02/28/2020,332
02/29/2020,300
03/01/2020,267
03/02/2020,333
03/03/2020,334
03/04/2020,332
03/05/2020,341
03/06/2020,361
03/07/2020,277
03/08/2020,277
03/09/2020,301
03/10/2020,311
03/11/2020,316
03/12/2020,267
03/13/2020,238
03/14/2020,249
03/15/2020,233
03/16/2020,194
03/17/2020,215
03/18/2020,217
03/19/2020,214
03/20/2020,201
03/21/2020,193
03/22/2020,202
03/23/2020,198
03/24/2020,194
03/25/2020,218
03/26/2020,218
03/27/2020,226
03/28/2020,190
03/29/2020,212
03/30/2020,215
03/31/2020,171
04/01/2020,267
04/02/2020,213
04/03/2020,214
04/04/2020,218
04/05/2020,159
04/06/2020,185
04/07/2020,166
04/08/2020,196
04/09/2020,178
04/10/2020,166
04/11/2020,178
04/12/2020,175
04/13/2020,195
04/14/2020,237
04/15/2020,215
04/16/2020,205
04/17/2020,255
04/18/2020,183
04/19/2020,210
04/20/2020,199
04/21/2020,213
04/22/2020,241
04/23/2020,254
04/24/2020,253
04/25/2020,225
04/26/2020,202
04/27/2020,240
04/28/2020,239
04/29/2020,237
04/30/2020,249
05/01/2020,247
05/02/2020,230
05/03/2020,231
05/04/2020,221
05/05/2020,250
05/06/2020,245
05/07/2020,295
05/08/2020,255
05/09/2020,227
05/10/2020,200
05/11/2020,250
05/12/2020,256
05/13/2020,224
05/14/2020,258
05/15/2020,247
05/16/2020,235
05/17/2020,249
05/18/2020,203
05/19/2020,277
05/20/2020,232
05/21/2020,233
05/22/2020,264
05/23/2020,265
05/24/2020,293
05/25/2020,247
05/26/2020,282
05/27/2020,243
05/28/2020,264
05/29/2020,252
05/30/2020,256
05/31/2020,705
06/01/2020,383
06/02/2020,345
06/03/2020,333
06/04/2020,250
06/05/2020,353
06/06/2020,314
06/07/2020,281
06/08/2020,357
06/09/2020,308
06/10/2020,261
06/11/2020,242
06/12/2020,245
06/13/2020,242
06/14/2020,231
06/15/2020,240
06/16/2020,259
06/17/2020,228
06/18/2020,245
06/19/2020,265
06/20/2020,235
06/21/2020,228
06/22/2020,230
06/23/2020,225
06/24/2020,35
