,county,icu_days,icu_bed_days,icu_beds,icu_occupancy_rate,geoid,name,population,state,icus_per1000
42,Santa Cruz,3350.0,4745.0,13.0,59.5,06087,"Santa Cruz County, California",273765.0,06,4.748598250324183
43,Shasta,11566.0,25915.0,71.0,45.5,06089,"Shasta County, California",179085.0,06,39.645978166792304
44,Siskiyou,1180.0,2920.0,8.0,40.5,06093,"Siskiyou County, California",43540.0,06,18.373909049150207
45,Solano,14928.0,29930.0,82.0,53.6,06095,"Solano County, California",438530.0,06,18.698834743347092
46,Sonoma,17448.0,26280.0,72.0,57.0,06097,"Sonoma County, California",501317.0,06,14.36217004410383
47,Stanislaus,22232.0,33580.0,92.0,55.0,06099,"Stanislaus County, California",539301.0,06,17.059119119007754
48,Sutter,0.0,0.0,0.0,,06101,"Sutter County, California",95872.0,06,0.0
49,Tehama,239.0,2920.0,8.0,8.0,06103,"Tehama County, California",63373.0,06,12.623672541934262
50,Trinity,0.0,0.0,0.0,,06105,"Trinity County, California",12862.0,06,0.0
51,Tulare,5892.0,19707.0,65.0,24.0,06107,"Tulare County, California",460477.0,06,14.115797314523853
52,Tuolumne,1441.0,2190.0,6.0,66.0,06109,"Tuolumne County, California",53932.0,06,11.12512052213899
53,Ventura,20708.0,46419.0,131.0,56.5,06111,"Ventura County, California",848112.0,06,15.446073160148659
54,Yolo,3061.0,5110.0,14.0,60.0,06113,"Yolo County, California",214977.0,06,6.512324574256781
55,Yuba,5873.0,8760.0,24.0,67.0,06115,"Yuba County, California",75493.0,06,31.79102698263415
