,fips,name,healthcareworker,hc_per_100k_pop,hc_per_100_hosp_beds,hc_per_100_hosp_beds,longitude,latitude
0,06059,Orange,146.0,4.61,1.82,1.82,-117.76059910088966,33.703166014288215
1,06103,Tehama,,,,,-122.23388486629894,40.125736173030994
2,06011,Colusa,,,,,-122.23702847330239,39.17757314117727
3,06083,Santa Barbara,37.0,8.34,3.4,3.4,-120.01656414975817,34.67317684551138
4,06051,Mono,5.0,35.28,29.41,29.41,-118.88670927645329,37.93899035206281
5,06053,Monterey,12.0,2.77,1.5,1.5,-121.23845734866781,36.2165233004096
6,06061,Placer,25.0,6.58,3.34,3.34,-120.71774303360498,39.06341907859605
7,06005,Amador,,,,,-120.65111562736055,38.4463895164229
8,06009,Calaveras,5.0,11.05,20.0,20.0,-120.55413218695787,38.20460640163854
9,06025,Imperial,5.0,2.77,1.87,1.87,-115.36531973002222,33.03950599470158
10,06093,Siskiyou,,,,,-122.5403742136373,41.59264996632642
11,06097,Sonoma,18.0,3.59,0.95,0.95,-122.88711415058353,38.528489429918416
12,06085,Santa Clara,109.0,5.67,2.91,2.91,-121.69456883955478,37.23137454830767
13,06029,Kern,6.0,0.68,0.31,0.31,-118.72990001710113,35.342848717952975
14,06113,Yolo,5.0,2.33,3.21,3.21,-121.90162044594234,38.68664649354087
15,06045,Mendocino,,,,,-123.39126807950267,39.44027939506305
16,06067,Sacramento,78.0,5.17,2.25,2.25,-121.33892812087214,38.454484400900874
17,06039,Madera,,,,,-119.76264585146161,37.21803587038824
18,06115,Yuba,5.0,6.62,2.26,2.26,-121.35124593928218,39.26908997185925
19,06107,Tulare,20.0,4.34,0.96,0.96,-118.80047284369026,36.220156778872145
20,06073,San Diego,246.0,7.45,3.34,3.34,-116.73302115933524,33.03584530832738
21,06063,Plumas,,,,,-120.83859760104197,40.00468248443222
22,06069,San Benito,5.0,8.42,2.98,2.98,-121.0749955847014,36.605705920728326
23,06089,Shasta,5.0,2.79,0.69,0.69,-122.04052155027364,40.763766591016406
24,06099,Stanislaus,5.0,0.93,0.32,0.32,-120.99774156574237,37.5591654062609
25,06043,Mariposa,,,,,-119.90551726806106,37.581521879246374
26,06019,Fresno,27.0,2.76,0.76,0.76,-119.64932124370915,36.7581795068284
27,06003,Alpine,,,,,-119.82065303166888,38.59725063024501
28,06041,Marin,5.0,1.92,1.09,1.09,-122.71953086590645,38.07262844187174
29,06021,Glenn,,,,,-122.39220680431816,39.5984047750636
30,06035,Lassen,,,,,-120.594332854654,40.67359039329949
31,06015,Del Norte,,,,,-123.89666122208807,41.74314104257225
32,06055,Napa,5.0,3.56,0.28,0.28,-122.33053319564227,38.5064736573129
33,06079,San Luis Obispo,11.0,3.91,0.63,0.63,-120.40387346254018,35.38709910138689
34,06081,San Mateo,46.0,6.01,2.67,2.67,-122.32924111305184,37.421680664472674
35,06057,Nevada,6.0,6.05,3.41,3.41,-120.76875183282134,39.301369596357866
36,06077,San Joaquin,41.0,5.6,3.3,3.3,-121.27016732150216,37.934389594125406
37,06071,San Bernardino,53.0,2.48,0.89,0.89,-116.17845588321363,34.84143467938157
38,06101,Sutter,,,,,-121.69484223375377,39.034522774034
39,06065,Riverside,34.0,1.43,0.84,0.84,-115.9938588669448,33.7436760398704
40,06105,Trinity,,,,,-123.11262773337874,40.65069355846795
41,06013,Contra Costa,56.0,4.94,3.11,3.11,-121.93106705349665,37.91431342619204
42,06111,Ventura,31.0,3.66,1.91,1.91,-119.08352782877157,34.45676251030189
43,06109,Tuolumne,,,,,-119.95475299755972,38.027601086186415
44,06007,Butte,5.0,2.2,0.77,0.77,-121.60067174843527,39.66692937679618
45,06091,Sierra,,,,,-120.51599638468514,39.580400101542395
46,06033,Lake,5.0,7.79,8.06,8.06,-122.7531840864567,39.09964670114236
47,06049,Modoc,,,,,-120.72496738884301,41.589847874695565
48,06017,El Dorado,,,,,-120.52464692805555,38.778737966889494
49,06037,Los Angeles,596.0,5.9,2.2,2.2,-118.22453057453075,34.32313568177483
50,06001,Alameda,81.0,4.93,2.16,2.16,-121.88548387409448,37.646899083079155
51,06027,Inyo,,,,,-117.41078970333243,36.51112681410209
52,06075,San Francisco,65.0,7.47,1.39,1.39,-122.44301908174643,37.75569012932769
53,06087,Santa Cruz,13.0,4.75,3.49,3.49,-122.0017407032747,37.05628627602661
54,06031,Kings,,,,,-119.81550247702602,36.07536100517569
55,06023,Humboldt,10.0,7.37,3.34,3.34,-123.87328111310107,40.6987343902251
56,06095,Solano,5.0,1.14,0.66,0.66,-121.92831022845955,38.279203441796284
57,06047,Merced,5.0,1.86,2.07,2.07,-120.71766862423361,37.191856945535584
