id,county,total_beds,icu_days,icu_bed_days,icu_beds,icu_occupancy_rate_2018
0,Alameda,3746.0,55392.0,96360.0,264.0,58.13333333333333
1,Amador,52.0,1464.0,2190.0,6.0,67.0
2,Butte,653.0,8504.0,17155.0,59.0,48.666666666666664
3,Calaveras,25.0,791.0,2920.0,8.0,27.0
4,Colusa,48.0,20.0,2190.0,6.0,1.0
5,Contra Costa,1803.0,42042.0,61902.0,169.0,67.25
6,Del Norte,49.0,1755.0,2190.0,6.0,80.0
7,El Dorado,252.0,3738.0,10220.0,28.0,36.0
8,Fresno,3572.0,35313.0,54385.0,149.0,65.75
9,Glenn,47.0,0.0,0.0,0.0,
10,Humboldt,299.0,5522.0,9490.0,26.0,61.333333333333336
11,Imperial,268.0,3716.0,10220.0,28.0,41.0
12,Inyo,62.0,191.0,1460.0,4.0,13.0
13,Kern,1928.0,24309.0,50548.0,148.0,37.111111111111114
14,Kings,173.0,0.0,8030.0,22.0,
15,Lake,62.0,2133.0,2920.0,8.0,73.0
16,Lassen,38.0,0.0,0.0,0.0,
17,Los Angeles,27111.0,462032.0,780420.0,2174.0,66.24418604651163
18,Madera,464.0,9598.0,18980.0,52.0,51.0
19,Marin,458.0,6931.0,10950.0,30.0,67.66666666666667
20,Mariposa,34.0,0.0,0.0,0.0,
21,Mendocino,142.0,3139.0,5110.0,14.0,60.0
22,Merced,242.0,4556.0,8760.0,24.0,45.0
23,Modoc,113.0,0.0,0.0,0.0,
24,Mono,17.0,75.0,730.0,2.0,10.0
25,Monterey,801.0,6197.0,10950.0,30.0,53.5
26,Napa,1777.0,6158.0,17520.0,48.0,42.0
27,Nevada,176.0,1882.0,2920.0,8.0,74.0
28,Orange,8016.0,127304.0,232259.0,631.0,57.275862068965516
29,Placer,748.0,14238.0,21170.0,58.0,69.0
30,Plumas,126.0,0.0,0.0,0.0,
31,Riverside,4068.0,75210.0,136506.0,378.0,56.166666666666664
32,Sacramento,3465.0,102886.0,137434.0,376.0,74.4
33,San Benito,168.0,956.0,2920.0,8.0,33.0
34,San Bernardino,5988.0,126567.0,181040.0,496.0,62.15
35,San Diego,7361.0,126475.0,212362.0,540.0,62.6
36,San Francisco,4670.0,63036.0,122925.0,347.0,51.083333333333336
37,San Joaquin,1243.0,18893.0,29200.0,80.0,59.142857142857146
38,San Luis Obispo,1740.0,3968.0,17520.0,48.0,36.333333333333336
39,San Mateo,1720.0,17945.0,35040.0,96.0,51.666666666666664
40,Santa Barbara,1089.0,14030.0,26467.0,79.0,38.666666666666664
41,Santa Clara,3740.0,84576.0,140160.0,370.0,54.54545454545455
42,Santa Cruz,372.0,3350.0,4745.0,13.0,59.5
43,Shasta,722.0,11566.0,25915.0,71.0,45.5
44,Siskiyou,61.0,1180.0,2920.0,8.0,40.5
45,Solano,755.0,14928.0,29930.0,82.0,53.6
46,Sonoma,1902.0,17448.0,26280.0,72.0,57.0
47,Stanislaus,1580.0,22232.0,33580.0,92.0,55.0
48,Sutter,46.0,0.0,0.0,0.0,
49,Tehama,92.0,239.0,2920.0,8.0,8.0
50,Trinity,48.0,0.0,0.0,0.0,
51,Tulare,2086.0,5892.0,19707.0,65.0,24.0
52,Tuolumne,152.0,1441.0,2190.0,6.0,66.0
53,Ventura,1623.0,20708.0,46419.0,131.0,56.5
54,Yolo,156.0,3061.0,5110.0,14.0,60.0
55,Yuba,221.0,5873.0,8760.0,24.0,67.0
