,fips,name,total_beds,population,confirmed_cases,healthcareworker,deaths,hc_cases_share,hc_per_100k_pop,hc_per_100_hosp_beds,longitude,latitude
39,06065,Riverside,4068.0,2383286.0,2105.0,34.0,54.0,1.62,1.43,0.84,-115.9938588669448,33.7436760398704
40,06105,Trinity,48.0,12862.0,,,,,,,-123.11262773337874,40.65069355846795
41,06013,Contra Costa,1803.0,1133247.0,631.0,56.0,16.0,8.87,4.94,3.11,-121.93106705349665,37.91431342619204
42,06111,Ventura,1623.0,848112.0,365.0,31.0,13.0,8.49,3.66,1.91,-119.08352782877157,34.45676251030189
43,06109,Tuolumne,152.0,53932.0,2.0,,0.0,,,,-119.95475299755972,38.027601086186415
44,06007,Butte,653.0,227075.0,16.0,5.0,0.0,31.25,2.2,0.77,-121.60067174843527,39.66692937679618
45,06091,Sierra,,,,,,,,,-120.51599638468514,39.580400101542395
46,06033,Lake,62.0,64148.0,6.0,5.0,0.0,83.33,7.79,8.06,-122.7531840864567,39.09964670114236
47,06049,Modoc,113.0,8938.0,,,,,,,-120.72496738884301,41.589847874695565
48,06017,El Dorado,252.0,186661.0,35.0,,0.0,,,,-120.52464692805555,38.778737966889494
49,06037,Los Angeles,27111.0,10098052.0,10854.0,596.0,457.0,5.49,5.9,2.2,-118.22453057453075,34.32313568177483
50,06001,Alameda,3746.0,1643700.0,965.0,81.0,36.0,8.39,4.93,2.16,-121.88548387409448,37.646899083079155
51,06027,Inyo,62.0,18085.0,17.0,,0.0,,,,-117.41078970333243,36.51112681410209
52,06075,San Francisco,4670.0,870044.0,1019.0,65.0,17.0,6.38,7.47,1.39,-122.44301908174643,37.75569012932769
53,06087,Santa Cruz,372.0,273765.0,96.0,13.0,2.0,13.54,4.75,3.49,-122.0017407032747,37.05628627602661
54,06031,Kings,173.0,150075.0,13.0,,1.0,,,,-119.81550247702602,36.07536100517569
55,06023,Humboldt,299.0,135768.0,52.0,10.0,0.0,19.23,7.37,3.34,-123.87328111310107,40.6987343902251
56,06095,Solano,755.0,438530.0,141.0,5.0,2.0,3.55,1.14,0.66,-121.92831022845955,38.279203441796284
57,06047,Merced,242.0,269075.0,79.0,5.0,3.0,6.33,1.86,2.07,-120.71766862423361,37.191856945535584
