name,mid_november,mid_january,pct_change
Unincorporated - Monrovia,25.77,747.23,2799.61
West Rancho Dominguez,73.58,1986.75,2600.12
San Marino,15.06,316.34,2000.53
El Camino Village,45.5,898.65,1875.05
La Rambla,48.19,819.28,1600.1
Wellington Square,81.38,1281.79,1475.07
View Heights,54.14,757.99,1300.06
Leimert Park,59.07,774.53,1211.21
Toluca Terrace,76.57,995.41,1200.0
Kagel/Lopez Canyons,70.82,849.86,1100.03
Angelino Heights,79.94,959.23,1099.94
Gramercy Place,92.9,1096.25,1080.03
Vermont Square,156.72,1828.39,1066.66
South San Gabriel,90.42,1039.78,1049.94
Hyde Park,101.61,1152.73,1034.47
Santa Fe Springs,119.8,1236.11,931.81
Beverlywood,53.14,538.98,914.26
Avocado Heights,118.08,1195.57,912.51
Hidden Hills,52.91,529.1,900.0
Palms,82.05,818.2,897.2
Little Bangladesh,112.9,1104.33,878.15
Faircrest Heights,83.33,805.56,866.71
East Whittier,94.23,904.64,860.03
Harbor Gateway,107.8,1034.4,859.55
Walnut Park,192.03,1827.42,851.63
Reynier Village,47.3,449.39,850.08
Rosewood/East Gardena,167.64,1592.62,850.02
Lakewood,79.64,752.84,845.3
West Vernon,175.23,1636.72,834.04
Harbor City,75.68,705.19,831.8
Little Tokyo,127.67,1180.98,825.03
West Puente Valley,162.68,1504.83,825.02
Unincorporated - Hawthorne,119.33,1073.99,800.02
Athens-Westmont,155.51,1387.78,792.41
Maywood,164.0,1436.77,776.08
Hancock Park,58.69,510.59,769.98
Vernon Central,194.24,1688.53,769.3
Unincorporated - Whittier,79.28,687.1,766.68
Harvard Heights,149.71,1297.48,766.66
Watts,173.41,1478.65,752.69
Harvard Park,176.62,1502.57,750.74
Shadow Hills,90.05,765.42,749.99
Koreatown,133.48,1133.62,749.28
Gardena,101.13,856.3,746.73
Regent Square,107.91,899.28,733.36
Arcadia,41.56,346.3,733.25
Lafayette Square,153.54,1272.21,728.59
Reseda Ranch,172.56,1423.64,725.01
Vermont Vista,184.53,1522.36,724.99
Bel Air,47.46,391.51,724.93
Pico-Union,198.37,1629.94,721.67
Littlerock/Pearblossom,196.13,1597.09,714.3
Elizabeth Lake,60.2,481.64,700.07
Wilshire Center,143.51,1130.16,687.51
Exposition Park,149.16,1173.28,686.59
Bellflower,144.08,1130.76,684.81
Carson,109.75,853.53,677.7
Country Club Park,112.19,864.52,670.59
San Pedro,87.14,668.9,667.62
Exposition,90.2,691.52,666.65
Baldwin Hills,96.39,738.96,666.64
West Carson,99.61,756.14,659.1
Cheviot Hills,65.42,490.68,650.05
Harbor Pines,83.02,622.67,650.02
La Canada Flintridge,38.66,289.95,650.0
Bassett,202.47,1505.03,643.33
South Park,194.94,1448.86,643.23
Green Meadows,213.9,1581.03,639.14
Alhambra,96.86,712.61,635.71
West Hills,76.46,562.34,635.47
Eagle Rock,108.62,795.68,632.54
South Gate,224.14,1622.94,624.07
Rancho Palos Verdes,30.41,217.56,615.42
Inglewood,144.39,1020.41,606.7
Lawndale,136.85,963.88,604.33
Unincorporated - Azusa,188.41,1325.13,603.32
Lennox,204.06,1432.88,602.19
Hawthorne,153.18,1073.36,600.72
Norwalk,198.84,1391.91,600.02
Pearblossom/Llano,102.25,715.75,600.0
Jefferson Park,136.26,953.8,599.99
Valencia,97.66,683.59,599.97
Canoga Park,170.01,1183.97,596.41
Willowbrook,197.63,1371.98,594.22
Bell,222.94,1546.85,593.84
Glassell Park,145.55,1003.04,589.14
Elysian Valley,176.97,1219.15,588.9
Century Palms/Cove,236.92,1631.82,588.76
Hawaiian Gardens,204.42,1403.65,586.65
Wilmington,164.64,1129.46,586.02
Valley Village,84.95,582.52,585.72
Lomita,96.48,660.91,585.02
Unincorporated - Florence-Firestone,239.55,1639.75,584.51
Torrance,59.62,407.99,584.32
Lynwood,215.14,1469.87,583.22
Compton,197.19,1340.29,579.69
Calabasas,57.56,386.47,571.42
Porter Ranch,89.92,601.33,568.74
University Hills,87.49,583.26,566.66
Littlerock,149.22,994.78,566.65
El Segundo,65.53,434.89,563.65
Vermont Knolls,186.05,1226.74,559.36
Central,220.56,1443.89,554.65
Cerritos,79.89,521.3,552.52
Monterey Park,99.58,647.26,549.99
East Los Angeles,235.49,1524.72,547.47
Temple City,71.32,460.84,546.16
Mt. Washington,165.67,1068.54,544.98
Tujunga,136.64,880.98,544.75
La Mirada,96.78,623.0,543.73
Rosewood/West Rancho Dominguez,208.27,1338.89,542.86
Echo Park,147.31,939.96,538.08
East Hollywood,150.24,956.06,536.36
North Hills,191.64,1211.53,532.19
Florence-Firestone,225.52,1416.38,528.05
Rosemead,130.08,816.62,527.78
Westlake,170.16,1068.15,527.73
Mid-city,99.8,625.42,526.67
Covina (Charter Oak),144.55,905.36,526.33
Lincoln Heights,217.81,1362.09,525.36
Ladera Heights,56.57,353.56,525.0
Bell Gardens,234.5,1455.74,520.78
Huntington Park,238.72,1476.03,518.31
Desert View Highlands,240.67,1484.16,516.68
Canyon Country,155.28,957.56,516.67
Longwood,139.41,859.67,516.65
Rowland Heights,96.04,591.9,516.31
Baldwin Park,239.68,1474.55,515.22
Historic Filipinotown,173.04,1059.84,512.48
Duarte,158.98,972.02,511.41
La Puente,201.49,1231.05,510.97
Cloverdale/Cochran,164.91,996.36,504.18
