city/community,number_of_persons_vaccinated,population_2019,percentage_of_people_vaccinated
Los Angeles - Toluca Lake,2487,7548,32.9
Los Angeles - Toluca Terrace,348,977,35.6
Los Angeles - Toluca Woods,548,1562,35.1
Los Angeles - Tujunga,6176,22814,27.1
Los Angeles - University Hills,688,2819,24.4
Los Angeles - University Park,4726,23588,20
Los Angeles - Valley Glen,5812,23760,24.5
Los Angeles - Valley Village,6530,20238,32.3
Los Angeles - Van Nuys,15182,69836,21.7
Los Angeles - Venice,8802,28262,31.1
Los Angeles - Vermont Knolls,2578,12638,20.4
Los Angeles - Vermont Square,1450,5658,25.6
Los Angeles - Vermont Vista,4466,28185,15.8
Los Angeles - Vernon Central,6252,35744,17.5
Los Angeles - Victoria Park,1601,6416,25
Los Angeles - View Heights,965,3038,31.8
Los Angeles - Watts,4762,28307,16.8
Los Angeles - Wellington Square,1036,3743,27.7
Los Angeles - West Adams,6091,21042,28.9
Los Angeles - West Hills,13842,33945,40.8
Los Angeles - West Los Angeles,11071,32337,34.2
Los Angeles - West Vernon,8575,39282,21.8
Los Angeles - Westchester,14297,42616,33.5
Los Angeles - Westlake,8467,46290,18.3
Los Angeles - Westwood,14784,48461,30.5
Los Angeles - Wholesale District,9425,31989,29.5
Los Angeles - Wilmington,8743,40636,21.5
Los Angeles - Wilshire Center,10203,39616,25.8
Los Angeles - Winnetka,12624,40246,31.4
Los Angeles - Woodland Hills,22010,55829,39.4
Unincorporated - Acton,1354,6783,20
Unincorporated - Agua Dulce,816,3648,22.4
Unincorporated - Altadena,14144,35764,39.5
Unincorporated - Anaverde,277,1238,22.4
Unincorporated - Angeles National Forest,229,1075,21.3
Unincorporated - Arcadia,2633,6424,41
Unincorporated - Athens Village,990,3643,27.2
Unincorporated - Athens-Westmont,6170,31407,19.6
Unincorporated - Avocado Heights,1327,5184,25.6
Unincorporated - Azusa,3054,11706,26.1
Unincorporated - Bandini Islands,Unreliable Data,0,Unreliable Data
Unincorporated - Bassett,3580,11310,31.7
Unincorporated - Bouquet Canyon,176,882,20
Unincorporated - Bradbury,262,280,93.6
Unincorporated - Canyon Country,382,1522,25.1
Unincorporated - Castaic,5299,22023,24.1
Unincorporated - Cerritos,155,450,34.4
Unincorporated - Charter Oak,6,19,31.6
Unincorporated - Claremont,148,536,27.6
Unincorporated - Covina,4392,13359,32.9
Unincorporated - Covina (Charter Oak),3156,10639,29.7
Unincorporated - Del Aire,1147,3491,32.9
Unincorporated - Del Rey,121,364,33.2
Unincorporated - Del Sur,385,2078,18.5
Unincorporated - Desert View Highlands,385,1943,19.8
Unincorporated - Duarte,945,3315,28.5
Unincorporated - East Covina,114,305,37.4
Unincorporated - East La Mirada,1412,4324,32.7
Unincorporated - East Lancaster,14,90,15.6
Unincorporated - East Los Angeles,24050,90890,26.5
Unincorporated - East Pasadena,2601,6254,41.6
Unincorporated - East Rancho Dominguez,2127,10660,20
Unincorporated - East Whittier,1154,4179,27.6
Unincorporated - El Camino Village,2222,6573,33.8
Unincorporated - El Monte,22,98,22.4
Unincorporated - Elizabeth Lake,188,1410,13.3
Unincorporated - Florence-Firestone,9108,45509,20
Unincorporated - Franklin Canyon,Unreliable Data,11,Unreliable Data
Unincorporated - Glendora,190,578,32.9
Unincorporated - Hacienda Heights,16633,46574,35.7
Unincorporated - Harbor Gateway,Unreliable Data,1,Unreliable Data
Unincorporated - Hawthorne,484,1856,26.1
Unincorporated - Hi Vista,132,852,15.5
Unincorporated - Kagel/Lopez Canyons,205,1057,19.4
Unincorporated - La Crescenta-Montrose,6055,16603,36.5
Unincorporated - La Habra Heights,103,595,17.3
Unincorporated - La Rambla,424,1643,25.8
Unincorporated - La Verne,614,1616,38
Unincorporated - Ladera Heights,2577,6058,42.5
Unincorporated - Lake Hughes,50,499,10
Unincorporated - Lake Los Angeles,1515,9635,15.7
Unincorporated - Lake Manor,386,1380,28
Unincorporated - Lakewood,29,104,27.9
Unincorporated - Lennox,3444,16313,21.1
Unincorporated - Leona Valley,280,1547,18.1
Unincorporated - Littlerock,467,3194,14.6
Unincorporated - Littlerock/Juniper Hills,288,1210,23.8
Unincorporated - Littlerock/Pearblossom,448,2757,16.2
Unincorporated - Llano,109,734,14.9
Unincorporated - Long Beach,501,1229,40.8
Unincorporated - Lynwood,Unreliable Data,0,Unreliable Data
Unincorporated - Marina del Rey,2656,8322,31.9
Unincorporated - Miracle Mile,Unreliable Data,3,Unreliable Data
Unincorporated - Monrovia,1084,3124,34.7
Unincorporated - Newhall,42,175,24
Unincorporated - North Lancaster,237,1021,23.2
Unincorporated - North Whittier,2288,6521,35.1
Unincorporated - Northeast San Gabriel,7001,19550,35.8
Unincorporated - Padua Hills,55,128,43
Unincorporated - Palmdale,59,589,10
Unincorporated - Palos Verdes Peninsula,204,547,37.3
Unincorporated - Pearblossom/Llano,158,1630,9.7
Unincorporated - Pellissier Village,144,454,31.7
Unincorporated - Placerita Canyon,38,335,11.3
Unincorporated - Pomona,133,1792,7.4
Unincorporated - Quartz Hill,2379,10420,22.8
Unincorporated - Rancho Dominguez,616,2239,27.5
Unincorporated - Roosevelt,113,701,16.1
Unincorporated - Rosewood,234,1027,22.8
Unincorporated - Rosewood/East Gardena,300,975,30.8
Unincorporated - Rosewood/West Rancho Dominguez,447,2572,17.4
Unincorporated - Rowland Heights,14237,42449,33.5
Unincorporated - San Clemente Island,Unreliable Data,4,Unreliable Data
Unincorporated - San Francisquito Canyon/Bouquet Canyon,73,137,53.3
Unincorporated - San Jose Hills,3819,15181,25.2
Unincorporated - San Pasqual,758,1605,47.2
Unincorporated - Sand Canyon,101,277,36.5
Unincorporated - Santa Catalina Island,25,247,10.1
Unincorporated - Santa Monica Mountains,5033,15724,32
Unincorporated - Saugus,121,133,91
Unincorporated - Saugus/Canyon Country,167,332,50.3
Unincorporated - South Antelope Valley,69,413,16.7
Unincorporated - South Edwards,Unreliable Data,0,Unreliable Data
Unincorporated - South El Monte,319,1340,23.8
Unincorporated - South San Gabriel,2814,7371,38.2
Unincorporated - South Whittier,12099,45651,26.5
Unincorporated - Southeast Antelope Valley,109,614,17.8
Unincorporated - Stevenson Ranch,5655,16712,33.8
Unincorporated - Sun Village,801,4525,17.7
Unincorporated - Sunrise Village,323,1022,31.6
Unincorporated - Twin Lakes/Oat Mountain,457,1362,33.6
Unincorporated - Universal City,8,0,
Unincorporated - Val Verde,604,2619,23.1
Unincorporated - Valencia,862,2192,39.3
Unincorporated - Valinda,5377,17856,30.1
Unincorporated - View Park/Windsor Hills,3765,9812,38.4
Unincorporated - Walnut,Unreliable Data,0,Unreliable Data
Unincorporated - Walnut Park,3142,12006,26.2
Unincorporated - West Antelope Valley,181,1318,13.7
Unincorporated - West Carson,6737,18052,37.3
Unincorporated - West Chatsworth,Unreliable Data,11,Unreliable Data
Unincorporated - West LA,141,868,16.2
Unincorporated - West Puente Valley,2281,7626,29.9
Unincorporated - West Rancho Dominguez,239,1056,22.6
Unincorporated - West Whittier/Los Nietos,6411,20804,30.8
Unincorporated - Westfield/Academy Hills,555,1121,49.5
Unincorporated - Westhills,312,751,41.5
Unincorporated - White Fence Farms,743,3272,22.7
Unincorporated - Whittier,1337,3155,42.4
Unincorporated - Whittier Narrows,Unreliable Data,10,Unreliable Data
Unincorporated - Willowbrook,4928,25308,19.5
Unincorporated - Wiseburn,1590,4721,33.7
