name,rsa,est_pop,est_latino,est_anglo,est_black,est_asian,est_total_single_units,est_total_seven_more_units,est_total_housing_units,median_house_income,est_latino_pct,est_anglo_pct,est_black_pct,est_asian_pct,est_total_seven_more_units_pct,est_total_single_units_pct
Long Beach,Harbor,466825.0,190193.0,137609.0,62771.0,60049.0,46503.0,6939.0,164750.0,56817.0,40.74,29.48,13.45,12.86,4.21,28.23
Santa Clarita,Northwest County,196572.0,58424.0,105794.0,7511.0,19217.0,12383.0,1847.0,65533.0,86748.0,29.72,53.82,3.82,9.78,2.82,18.9
Glendale,Verdugos,190870.0,33327.0,117671.0,2570.0,30955.0,17994.0,875.0,71998.0,70234.0,17.46,61.65,1.35,16.22,1.22,24.99
Palmdale,Antelope Valley,182000.0,102219.0,41514.0,27813.0,7113.0,6985.0,3709.0,50709.0,58521.0,56.16,22.81,15.28,3.91,7.31,13.77
Lancaster,Antelope Valley,153534.0,58140.0,53411.0,31142.0,6380.0,9664.0,2290.0,46813.0,55998.0,37.87,34.79,20.28,4.16,4.89,20.64
Torrance,South Bay,145094.0,23460.0,61314.0,3959.0,50164.0,14402.0,616.0,55827.0,77056.0,16.17,42.26,2.73,34.57,1.1,25.8
North Hollywood,San Fernando Valley,138165.0,74331.0,43996.0,6818.0,10336.0,13170.0,2127.0,47956.0,51079.0,53.8,31.84,4.93,7.48,4.44,27.46
Pasadena,Verdugos,136750.0,46223.0,52850.0,14709.0,19458.0,18830.0,1344.0,55153.0,84096.0,33.8,38.65,10.76,14.23,2.44,34.14
East Los Angeles,Eastside,125028.0,121273.0,1886.0,790.0,1249.0,3702.0,4076.0,30416.0,41620.0,97.0,1.51,0.63,1.0,13.4,12.17
El Monte,San Gabriel Valley,111876.0,76517.0,5191.0,844.0,29080.0,2959.0,3481.0,27332.0,48951.0,68.39,4.64,0.75,25.99,12.74,10.83
Downey,Southeast,111731.0,78964.0,19778.0,4329.0,7801.0,5721.0,1761.0,33925.0,59548.0,70.67,17.7,3.87,6.98,5.19,16.86
Inglewood,South Bay,111254.0,57111.0,3181.0,48054.0,1499.0,9407.0,1881.0,36790.0,48874.0,51.33,2.86,43.19,1.35,5.11,25.57
West Covina,San Gabriel Valley,106347.0,58150.0,16043.0,4495.0,26335.0,4516.0,1867.0,31046.0,69378.0,54.68,15.09,4.23,24.76,6.01,14.55
