year,geo_level,state,state_fips,data_item,value,ap_state,id,geometry
2017,State,Alabama,01,Lettuce - Acres Harvested,19,Ala.,01,POINT (817707.7269536654 -806908.9351499117)
2017,State,Alaska,02,Lettuce - Acres Harvested,81,Alaska,02,POINT (-2731552.813687381 3579656.88624642)
2017,State,Arizona,04,Lettuce - Acres Harvested,72411,Ariz.,04,POINT (-1363318.590858088 -558633.5621373978)
2017,State,Arkansas,05,Lettuce - Acres Harvested,30,Ark.,05,POINT (308210.2844055014 -593478.9994815285)
2017,State,California,06,Lettuce - Acres Harvested,250157,Calif.,06,POINT (-1948054.319689603 -87693.53718978408)
2017,State,Colorado,08,Lettuce - Acres Harvested,2397,Colo.,08,POINT (-778069.6689361609 -78831.65183789552)
2017,State,Connecticut,09,Lettuce - Acres Harvested,130,Conn.,09,POINT (1805299.738896478 414098.8122212611)
2017,State,Delaware,10,Lettuce - Acres Harvested,9,Del.,10,POINT (1661039.137852967 60196.69543214962)
2017,State,Florida,12,Lettuce - Acres Harvested,9309,Fla.,12,POINT (1273329.40278972 -1232473.889296071)
2017,State,Georgia,13,Lettuce - Acres Harvested,48,Ga.,13,POINT (1121052.348783652 -788525.2272075091)
2017,State,Hawaii,15,Lettuce - Acres Harvested,289,Hawaii,15,POINT (-5874597.339851265 -352953.3661641782)
2017,State,Idaho,16,Lettuce - Acres Harvested,76,Idaho,16,POINT (-1386343.85235355 650334.0512331605)
2017,State,Illinois,17,Lettuce - Acres Harvested,78,Ill.,17,POINT (546244.1949357728 24463.4443934585)
2017,State,Indiana,18,Lettuce - Acres Harvested,49,Ind.,18,POINT (781431.0357594542 28184.70123573356)
2017,State,Iowa,19,Lettuce - Acres Harvested,39,Iowa,19,POINT (194597.5297874469 248283.0899097721)
2017,State,Kansas,20,Lettuce - Acres Harvested,17,Kan.,20,POINT (-196277.5715787256 -173083.2445327787)
2017,State,Kentucky,21,Lettuce - Acres Harvested,93,Ky.,21,POINT (890669.7414635605 -240071.8049839349)
2017,State,Louisiana,22,Lettuce - Acres Harvested,16,La.,22,POINT (367913.6526065763 -1038607.80915841)
2017,State,Maine,23,Lettuce - Acres Harvested,150,Maine,23,POINT (1945615.87194822 910305.2125951363)
2017,State,Maryland,24,Lettuce - Acres Harvested,95,Md.,24,POINT (1557765.727478157 45906.55070400814)
2017,State,Massachusetts,25,Lettuce - Acres Harvested,351,Mass.,25,POINT (1853489.887988006 505339.4662437544)
2017,State,Michigan,26,Lettuce - Acres Harvested,1027,Mich.,26,POINT (795717.5891237197 553522.1336806082)
2017,State,Minnesota,27,Lettuce - Acres Harvested,97,Minn.,27,POINT (122661.4127084923 743849.3585558368)
2017,State,Mississippi,28,Lettuce - Acres Harvested,26,Miss.,28,POINT (565591.0578445771 -832537.6270513533)
2017,State,Missouri,29,Lettuce - Acres Harvested,66,Mo.,29,POINT (291865.9314369824 -187475.6746691181)
2017,State,Montana,30,Lettuce - Acres Harvested,23,Mont.,30,POINT (-972960.6378635429 902512.8513471531)
2017,State,Nebraska,31,Lettuce - Acres Harvested,12,Neb.,31,POINT (-298367.9526600214 188790.576220132)
2017,State,Nevada,32,Lettuce - Acres Harvested,6,Nev.,32,POINT (-1662124.051033641 102687.7688828845)
2017,State,New Hampshire,33,Lettuce - Acres Harvested,73,N.H.,33,POINT (1830492.942269351 671251.5703849267)
2017,State,New Jersey,34,Lettuce - Acres Harvested,1298,N.J.,34,POINT (1695571.279837596 213867.1913693933)
2017,State,New Mexico,35,Lettuce - Acres Harvested,829,N.M.,35,POINT (-881249.2845458003 -609085.0808445245)
2017,State,New York,36,Lettuce - Acres Harvested,1184,N.Y.,36,POINT (1560518.67099354 516792.8758093574)
2017,State,North Carolina,37,Lettuce - Acres Harvested,323,N.C.,37,POINT (1424183.937840953 -397452.7913289294)
2017,State,North Dakota,38,Lettuce - Acres Harvested,3,N.D.,38,POINT (-317559.0344314819 889980.8342986625)
2017,State,Ohio,39,Lettuce - Acres Harvested,429,Ohio,39,POINT (1053394.216714319 107905.2526153548)
2017,State,Oklahoma,40,Lettuce - Acres Harvested,5,Okla.,40,POINT (-127862.2713504353 -516605.1770077461)
2017,State,Oregon,41,Lettuce - Acres Harvested,412,Ore.,41,POINT (-1833191.402236208 703293.6691339839)
2017,State,Pennsylvania,42,Lettuce - Acres Harvested,327,Pa.,42,POINT (1434089.394888561 242428.7772925007)
2017,State,Rhode Island,44,Lettuce - Acres Harvested,30,R.I.,44,POINT (1891059.185086122 444656.291146969)
2017,State,South Carolina,45,Lettuce - Acres Harvested,32,S.C.,45,POINT (1323162.558093428 -610089.6565760449)
2017,State,South Dakota,46,Lettuce - Acres Harvested,9,S.D.,46,POINT (-316417.3367915895 533427.093145017)
2017,State,Tennessee,47,Lettuce - Acres Harvested,73,Tenn.,47,POINT (823546.730286257 -445242.2561770929)
2017,State,Texas,48,Lettuce - Acres Harvested,142,Texas,48,POINT (-302555.4923805132 -991503.7677999283)
2017,State,Utah,49,Lettuce - Acres Harvested,11,Utah,49,POINT (-1267094.15649566 23744.40337853073)
2017,State,Vermont,50,Lettuce - Acres Harvested,149,Vt.,50,POINT (1739807.323894902 695874.3872401697)
2017,State,Virginia,51,Lettuce - Acres Harvested,102,Va.,51,POINT (1427485.376091332 -161839.2344954783)
2017,State,Washington,53,Lettuce - Acres Harvested,223,Wash.,53,POINT (-1721423.777978731 1095030.220414636)
2017,State,West Virginia,54,Lettuce - Acres Harvested,32,W.Va.,54,POINT (1256190.16133182 -58594.52454268008)
2017,State,Wisconsin,55,Lettuce - Acres Harvested,174,Wis.,55,POINT (447653.0192573299 560073.6667883932)
2017,State,Wyoming,56,Lettuce - Acres Harvested,4,Wyo.,56,POINT (-883221.3980403561 407739.1407951718)
