store_number,name,address,city,zip,state,website,phone,latitude,longitude
9017905,Essex Square Market Place,2 McFarland Blvd,Northport,35476,AL,https://store.tcby.com/home/essexsquaremarketplace,(205) 758-6855,33.2361582,-87.5523731
9017906,Meadowbrook,2304 McFarland Blvd E,Tuscaloosa,35404,AL,https://store.tcby.com/home/meadowbrook,(205) 349-4661,33.1889321,-87.526194
9291601,Corner Village,300 N Dean Rd,Auburn,36830,AL,https://store.tcby.com/home/auburntcby,(334) 826-8828,32.6100321,-85.4648807
9237207,Gulf Shores,1301 Gulf Shores Pkwy,Gulf Shores,36542,AL,https://store.tcby.com/home/gulfshoresal,(251) 968-8229,30.2629312,-87.688844
9448510,Merchants Walk,1919 28th Ave S,Birmingham,35209,AL,https://store.tcby.com/home/merchantswalk,(205) 870-8229,33.480864,-86.7882114
9438102,Dimond Center,800 East Dimond Ctr,Anchorage,99515,AK,https://store.tcby.com/home/,(907) 522-2560,61.1456649,-149.8716301
9411601,Lakewood Village,2600 Lakewood Village Pl,North Little Rock,72116,AR,https://store.tcby.com/home/lakewoodvillage,(501) 753-5572,34.7977281,-92.2331152
9448001,Promenade Pointe,2005 Promenade Pointe Blvd,Rogers,72758,AR,https://store.tcby.com/home/,(479) 636-8229,36.3116465,-94.178592
9448101,LakeView Plaza,570 E. Centerton Blvd.,Centerton,72719,AR,https://store.tcby.com/home/,(479) 379-0500,36.3593083,-94.276242
9448401,Harrison,1313 Hwy  65 N,Harrison,72601,AR,https://store.tcby.com/home/,(870) 741-9554,35.5764717,-92.4513993
9437101,Stockton Subway,5308 Pacific Ave,Stockton,95207,CA,https://store.tcby.com/home/,(209) 951-2524,37.9989377,-121.3137241
9405601,Stockton Subway,3201 W Benjamin Holt Dr,Stockton,95219,CA,https://store.tcby.com/home/stocktonsubway,(209) 952-8873,38.0062349,-121.3551526
9412801,Plaza West Covina,603 Plaza Dr,West Covina,91790,CA,https://store.tcby.com/home/plazawestcovina,(626) 960-7011,34.0698435,-117.9272576
9427101,The Shops at Palm Desert,72840 Highway 111,Palm Desert,92260,CA,https://store.tcby.com/home/westfieldshoppingtown,(760) 346-4598,33.7216277,-116.3941345
9293502,Galleria at Roseville,1151 Galleria Blvd Spc,Roseville,95678,CA,https://store.tcby.com/home/galleriaatroseville,(916) 878-5418,38.7734419,-121.2692846
9400801,Grewal Business Center,72363 Baker Blvd,Baker,92309,CA,https://store.tcby.com/home/grewalbusinesscenter,(760) 733-4505,35.2684544,-116.0690303
9430501,Northridge Mall,9301 Tampa Ave,Northridge,91324,CA,https://store.tcby.com/home/northridgemall,(818) 407-0404,34.2391367,-118.5536313
9445801,Valley Plaza,2701 Ming Ave,Bakersfield,93304,CA,https://store.tcby.com/home/valleyplaza,(661) 832-8166,35.3353129,-119.0366279
9445901,Great Mall of Bay Area,112 Great Mall Dr,Milpitas,95035,CA,https://store.tcby.com/home/,(408) 649-3258,37.4181228,-121.9012663
9455001,Glendale Galleria,100 W Broadway #G002,Glendale,91210,CA,https://store.tcby.com/home/glendalegalleria,(818) 919-9691,34.1468059,-118.2721141
9426001,Center Place,4530 Center Place Dr,Greeley,80634,CO,https://store.tcby.com/home/centerplace,(970) 673-8193,40.3941183,-104.7516384
9431701,HighPointe Park,9645 Washington St,Thornton,80229,CO,https://store.tcby.com/home/highpointepark,(720) 872-6459,39.8718221,-104.9782794
9426002,Troutman Parkway,100 W Troutman Unit B,Fort Collins,80525,CO,https://store.tcby.com/home/troutman,(970) 223-4851,40.5290143,-105.07757
9383002,Christiana Mall,1531 Christiana Mall,Newark,19702,DE,https://store.tcby.com/home/christianamall,(302) 283-1346,39.678266,-75.649932
9434801,Miami Subway TCBY,2720 S Dixie Hwy,Miami,33133,FL,https://store.tcby.com/home/,(305) 441-2613,25.739011,-80.2395219
9446901,Shops at Pembroke Pines,14543 SW 5th Street,Pembroke Pines,33027,FL,https://store.tcby.com/home/shopsatpembrokegardens,(954) 432-5900,26.0043427,-80.3360752
9354901,Fountain Oaks Shopping Center,4920 Roswell Rd NW,Atlanta,30342,GA,https://store.tcby.com/home/fountainoaksshoppingcenter,(404) 252-7437,33.8897521,-84.3831892
9357701,Valdosta Mall,1700 Norman Dr,Valdosta,31601,GA,https://store.tcby.com/home/valdostamall,(229) 293-0093,30.8436408,-83.3208622
9432101,Westside Plaza,807 West Ave,Cartersville,30120,GA,https://store.tcby.com/home/westsideplaza,(770) 334-2151,34.1576654,-84.8161983
9447001,Braelinn Village Shopping Center,532 Crosstown Dr,Peachtree city,30269,GA,https://store.tcby.com/home/BraelinnVillageShoppingCenter,(770) 631-9803,33.3776179,-84.5637294
9343701,Fred Meyer Plaza,1800 N Locust Grove,Meridian,83646,ID,https://store.tcby.com/home/meridiantcby,(208) 884-8366,43.6215781,-116.3739787
9434203,Oak Lawn,6760 West 95th St,Oak Lawn,60453,IL,https://store.tcby.com/home/,(708) 233-9000,41.71996,-87.7890812
9025804,Quincy,1735 State St,Quincy,62301,IL,https://store.tcby.com/home/quincy,(217) 228-2292,39.926515,-91.387482
9150124,O'Hare Int'l Airport - Circular Bldg.,Circular Bldg #6 O'Hare Field,Chicago,60666,IL,https://store.tcby.com/home/ohareintlairport,(312) 686-6124,41.9849481,-87.9089623
9428201,Old Farm,1731 W Kirby Ave,Champaign,61821,IL,https://store.tcby.com/home/oldfarm,(217) 607-5090,40.0982286,-88.2741589
9423801,Shorewood Crossings,930 Brook Forest Ave,Shorewood,60404,IL,https://store.tcby.com/home/shorewoodcrossings,(815) 577-8229,41.5372937,-88.19932
9433301,New Lenox,2356 E Lincoln Hwy,New Lenox,60451,IL,https://store.tcby.com/home/newlenox,(815) 687-8229,41.5094,-87.9213643
9433401,Oswego,2840 Route 34,Oswego,60543,IL,https://store.tcby.com/home/Oswego,(630) 554-6443,41.699155,-88.3170041
9439903,The Pride of Hinsdale,149 E Ogden Ave,Hinsdale,60521,IL,https://store.tcby.com/home/ThePRIDEofhinsdale,(630) 455-5841,41.8167288,-87.9262521
9439901,The Pride of Aurora,1395 Butterfield Rd,Aurora,60502,IL,https://store.tcby.com/home/theprideofaurora,(630) 851-5585,41.8123756,-88.2804791
9439902,The Pride of Geneva,1166 E State St,Geneva,60134,IL,https://store.tcby.com/home/ThePRIDEofgeneva,(630) 845-9300,41.887098,-88.283623
9439904,The Pride of Elgin,1700 N State Rd Rte 31,Elgin,60123,IL,https://store.tcby.com/home/ThePRIDEofelgin,(847) 741-5784,42.0671098,-88.291559
9439905,The Pride of Wheaton,25W420 Geneva Rd,Wheaton,60189,IL,https://store.tcby.com/home/ThePRIDEofwheaton,(630) 462-1300,41.8880117,-88.1118399
7000013,The Pride of Chicago,1221 South Wabash Ave,Chicago,60605,IL,https://store.tcby.com/home/,(000) 000-0000,41.8669968,-87.6254637
7000014,The Pride of Cicero,3100 South Cicero,Cicero,60804,IL,https://store.tcby.com/home/,(000) 000-0000,41.8362609,-87.7444611
7000019,The Pride of West Chicago,1905 Franciscan Way,West Chicago,60185,IL,https://store.tcby.com/home/,(630) 520-0009,41.9164761,-88.2097099
7000020,The Pride of Batavia,200 N Randall Rd,Batavia,60510,IL,https://store.tcby.com/home/a,(000) 000-0000,41.8548201,-88.3398509
9439907,The Pride of Naperville,1503 N Aurora Rd,Naperville,60563,IL,https://store.tcby.com/home/,(630) 995-3243,41.780804,-88.1850801
9445201,Chicago Premium Outlets,1650 Premium Outlets Rd,Aurora,60504,IL,https://store.tcby.com/home/,(630) 898-9909,41.8003339,-88.2739325
9439908,The Pride of Palatine,1400 W Algonquin Rd,Palatine,60067,IL,https://store.tcby.com/home/,(847) 907-9479,42.0792508,-88.0783564
9447901,Woodfield Mall,G119 Woodfield Mall,Schaumburg,60173,IL,https://store.tcby.com/home/woodfieldmall,(224) 520-8471,42.0472189,-88.0381905
7000024,The Pride of Lake County,2095 Quentin Rd,Kildeer,60047,IL,https://store.tcby.com/home/,(847) 550-8392,42.1506247,-88.0629208
9449301,Gurnee Mills Mall,Gurnee Mills Mall  6170 W. Grand Ave.,Gurnee,60031,IL,https://store.tcby.com/home/gurneemills,(847) 929-1111,42.3882428,-87.9574507
9449101,Chicago Ridge Mall,444 Chicago Ridge Mall Dr,Chicago Ridge,60415,IL,https://store.tcby.com/home/chicagoridgemall,(708) 422-0123,41.7155304,-87.7835773
9449501,North Riverside Park Mall,7501 W Cermak Rd,North Riverside,60546,IL,https://store.tcby.com/home/northriversidepark,(708) 447-5938,41.8462524,-87.8108905
9261701,Georgetown Square,6422 E State Blvd,Fort Wayne,46815,IN,https://store.tcby.com/home/georgetownsquare,(260) 493-2795,41.1019607,-85.0579772
9382801,Galleria Retail,425 US Route 30,Dyer,46311,IN,https://store.tcby.com/home/galleriaretail,(219) 865-2240,41.3092524,-97.6780789
7000023,The Pride of Dyer,3 Joliet St,Dyer,46311,IN,https://store.tcby.com/home/,(000) 000-0000,41.4949193,-87.525347
9299901,Council Bluffs Subway,208 E Broadway,Council Bluffs,51501,IA,https://store.tcby.com/home/councilbluffssubway,(712) 322-4114,41.2645208,-95.8424962
9237202,Old Metairie Village,701 Metairie Rd Ste.23101,Metairie,70005,LA,https://store.tcby.com/home/oldmetairievillage,(504) 835-2983,29.9881619,-90.1310351
9374701,Shreveport,1704 East Bert Kouns Loop Industrial Dr,Shreveport,71105,LA,https://store.tcby.com/home/shreveport,(318) 797-8229,32.433919,-93.707274
9421301,Highway 59,1680 Highway 59,Mandeville,70448,LA,https://store.tcby.com/home/highway59,(985) 626-4770,30.373816,-90.055508
9421302,Flowers Center,"70488 Hwy 21, #650",Covington,70433,LA,https://store.tcby.com/home/flowerscenter,(985) 892-9000,30.4592439,-90.1237167
9237206,Camellia Square,1736 Gause Blvd East,Slidell,70461,LA,https://store.tcby.com/home/camelliasquare,(985) 288-0340,30.2868334,-89.7385145
9453000,Arlington Creek Center,636 Arlington Creek Center Blvd. Unit D,Baton Rouge,70820,LA,https://store.tcby.com/home/arlingtoncreek,(225) 256-1427,30.3900835,-91.1629635
9420905,Timonium TCBY,2080 York Rd,Timonium,21093,MD,https://store.tcby.com/home/timoniumtcby,(410) 252-9554,39.4398384,-76.626805
9447201,Snowden River,9400 Snowden River Pkwy,Columbia,21045,MD,https://store.tcby.com/home/snowdenriver,(410) 309-0380,39.1767209,-76.8372743
9448201,Greenway Center,7531 Greenbelt Road,Greenbelt,20770,MD,https://store.tcby.com/home/greenwaycenter,(240) 241-4919,38.9922138,-76.8783679
9393801,North Hill Plaza,1421 N Rochester Rd,Rochester Hills,48307,MI,https://store.tcby.com/home/,(248) 650-2161,42.6922591,-83.1342522
9448512,Grosse Pointe,17045 Kercheval Ave,Grosse Pointe,48230,MI,https://store.tcby.com/home/inthevillage,(313) 885-0384,42.3904301,-82.9161605
9449303,Grosse Pointe,20385 Mack Ave,Grosse Pointe Woods,48236,MI,https://store.tcby.com/home/mackave,(313) 881-5608,42.4387227,-82.9082369
9438401,Sunny Shell LLC 2,1206 Luckney Rd,Flowood,39232,MS,https://store.tcby.com/home/sunnyshellllc2,(769) 243-7143,32.3493551,-90.0535491
9143701,Chaney's Pharmacy,501 Bramlett Blvd,Oxford,38655,MS,https://store.tcby.com/home/chaneyspharmacy,(662) 234-7221,34.3644214,-89.5106617
9221501,Laurel Chevron,Macs Mini Mart,Laurel,39440,MS,https://store.tcby.com/home/laurelchevron,(601) 425-5900,31.6940509,-89.1306124
9445701,Wedgewood Commons,5070 Goodman Rd,Olive Branch,38654,MS,https://store.tcby.com/home/wedgewoodcommons,(662) 420-7823,34.9633768,-89.8993769
9448509,"Midwest Travel Plaza - Cuba, MO",5922 Highway 19,Cuba,65453,MO,https://store.tcby.com/home/,(573) 885-3229,38.0759238,-91.4095403
9263801,McCook Subway,216 Westview Plaza,Mc Cook,69001,NE,https://store.tcby.com/home/mccooksubway,(308) 345-2322,40.2021386,-100.6462224
9426601,Omaha - West Maple,14615 W Maple Rd,Omaha,68116,NE,https://store.tcby.com/home/omaha-westmaple,(402) 496-3981,41.29134,-96.142233
