name,pct_week_15,total_pop
Los Angeles - Westlake,22.88,60472
Los Angeles - Florence-Firestone,22.81,48257
Los Angeles - Vernon Central,22.51,50398
Los Angeles - South Park,22.28,38139
Los Angeles - Central,22.14,39023
Los Angeles - Century Palms/Cove,21.88,33488
Unincorporated - Littlerock/Pearblossom,21.74,6786
Los Angeles - Watts,21.42,42990
Los Angeles - Vermont Vista,20.7,41212
Unincorporated - Lake Los Angeles,19.11,13389
