name_clean,change_week9_to_15
Agoura Hills,116.0
Bellflower,144.0
Beverly Hills,61.0
Burbank,152.0
Calabasas,89.0
Carson,99.0
Cerritos,92.0
Cerritos,92.0
Claremont,96.0
Claremont,96.0
Commerce,183.0
Compton,197.0
Hollywood Hills,182.0
Hyde Park,176.0
Jefferson Park,213.0
Koreatown,197.0
Lake Balboa,165.0
Lakeview Terrace,132.0
Leimert Park,164.0
Lincoln Heights,185.0
Little Armenia,167.0
Little Bangladesh,205.0
Los Feliz,189.0
Manchester Square,158.0
Mar Vista,141.0
Melrose,172.0
Mid-city,187.0
Miracle Mile,173.0
Miracle Mile,173.0
Mission Hills,125.0
Mt. Washington,157.0
North Hills,123.0
North Hollywood,195.0
Northridge,111.0
Pacific Palisades,85.0
Pacoima,154.0
Palms,189.0
Panorama City,128.0
Park La Brea,178.0
Pico-Union,148.0
Playa Vista,133.0
Porter Ranch,87.0
Rancho Park,111.0
Reseda,125.0
San Pedro,129.0
Sherman Oaks,133.0
Silverlake,191.0
South Carthay,117.0
South Park,229.0
Studio City,142.0
Sun Valley,148.0
Sunland,102.0
Sylmar,144.0
Tarzana,82.0
Temple-Beaudry,189.0
Thai Town,288.0
Toluca Lake,178.0
Tujunga,106.0
University Park,289.0
Valley Glen,153.0
Valley Village,151.0
Van Nuys,161.0
Venice,191.0
Vermont Knolls,192.0
Vermont Square,212.0
Vermont Vista,232.0
Vernon Central,245.0
Victoria Park,202.0
Watts,194.0
West Adams,148.0
West Hills,106.0
West Los Angeles,136.0
West Vernon,204.0
Westchester,156.0
Westlake,155.0
Westwood,81.0
Wholesale District,183.0
Wilmington,175.0
Wilshire Center,178.0
Winnetka,139.0
Woodland Hills,106.0
Lynwood,211.0
Lynwood,211.0
Malibu,104.0
Manhattan Beach,114.0
Maywood,221.0
Montebello,149.0
Alhambra,141.0
Covina,136.0
Covina,158.0
Covina,136.0
Covina,158.0
Cudahy,265.0
Culver City,132.0
Downey,151.0
Duarte,101.0
Duarte,101.0
El Monte,184.0
El Monte,184.0
El Segundo,173.0
Gardena,115.0
Glendale,101.0
Monterey Park,137.0
Norwalk,153.0
Palmdale,203.0
Palmdale,203.0
Palos Verdes Estates,76.0
Paramount,183.0
Pasadena,115.0
Pico Rivera,155.0
Rancho Palos Verdes,81.0
Redondo Beach,147.0
Rolling Hills Estates,78.0
Rosemead,188.0
San Dimas,103.0
San Fernando,173.0
San Gabriel,165.0
San Marino,88.0
Santa Clarita,114.0
Santa Fe Springs,167.0
Santa Monica,124.0
Sierra Madre,97.0
Signal Hill,128.0
South El Monte,206.0
South El Monte,206.0
South Gate,213.0
South Pasadena,122.0
Temple City,143.0
Torrance,115.0
Walnut,116.0
Walnut,116.0
West Covina,134.0
West Hollywood,202.0
Westlake Village,119.0
Whittier,105.0
Whittier,150.0
Whittier,105.0
Whittier,150.0
Acton,131.0
Agua Dulce,100.0
Altadena,117.0
Arcadia,120.0
Arcadia,122.0
Arcadia,120.0
Arcadia,122.0
Athens-Westmont,187.0
Avocado Heights,186.0
Azusa,150.0
Azusa,174.0
Azusa,150.0
Azusa,174.0
Bassett,164.0
Canyon Country,117.0
Castaic,145.0
Covina (Charter Oak),146.0
Del Rey,155.0
Del Rey,155.0
East La Mirada,153.0
East Los Angeles,184.0
East Pasadena,108.0
East Rancho Dominguez,220.0
El Camino Village,107.0
Florence-Firestone,246.0
Florence-Firestone,275.0
Florence-Firestone,246.0
Florence-Firestone,275.0
Glendora,104.0
Glendora,104.0
Hacienda Heights,144.0
Harbor Gateway,157.0
Harbor Gateway,157.0
Hawthorne,172.0
Hawthorne,172.0
La Crescenta-Montrose,124.0
La Habra Heights,126.0
La Habra Heights,126.0
La Verne,100.0
La Verne,100.0
Ladera Heights,84.0
Lake Los Angeles,226.0
Lakewood,128.0
Lakewood,128.0
Lennox,273.0
Littlerock/Pearblossom,289.0
Artesia,103.0
Hawaiian Gardens,212.0
Hermosa Beach,155.0
