date,bones_nobones,weekday,month,weekend
2021-12-06,No bones,Monday,December,False
2021-12-04,No bones,Saturday,December,True
2021-12-03,Bones!,Friday,December,False
2021-12-02,Bones!,Thursday,December,False
2021-11-30,No bones,Tuesday,November,False
2021-11-29,No bones,Monday,November,False
2021-11-27,No bones,Saturday,November,True
2021-11-25,Bones!,Thursday,November,False
2021-11-24,Bones!,Wednesday,November,False
2021-11-23,No bones,Tuesday,November,False
2021-11-22,Bones!,Monday,November,False
2021-11-21,Bones!,Sunday,November,True
2021-11-19,No bones,Friday,November,False
2021-11-18,Bones!,Thursday,November,False
2021-11-16,Bones!,Tuesday,November,False
2021-11-15,Bones!,Monday,November,False
2021-11-12,No bones,Friday,November,False
2021-11-11,No bones,Thursday,November,False
2021-11-09,Bones!,Tuesday,November,False
2021-11-08,Bones!,Monday,November,False
2021-11-07,No bones,Sunday,November,True
2021-11-05,Bones!,Friday,November,False
2021-11-04,Bones!,Thursday,November,False
2021-11-03,Bones!,Wednesday,November,False
2021-11-02,No bones,Tuesday,November,False
2021-11-01,No bones,Monday,November,False
2021-10-31,Bones!,Sunday,October,True
2021-10-28,Bones!,Thursday,October,False
2021-10-26,No bones,Tuesday,October,False
2021-10-25,Bones!,Monday,October,False
2021-10-23,Bones!,Saturday,October,True
2021-10-22,No bones,Friday,October,False
2021-10-21,No bones,Thursday,October,False
2021-10-20,Bones!,Wednesday,October,False
2021-10-19,No bones,Tuesday,October,False
2021-10-18,Bones!,Monday,October,False
2021-10-17,No bones,Sunday,October,True
2021-10-16,Bones!,Saturday,October,True
2021-10-15,Bones!,Friday,October,False
2021-10-14,No bones,Thursday,October,False
2021-10-13,No bones,Wednesday,October,False
2021-10-11,Bones!,Monday,October,False
2021-10-09,No bones,Saturday,October,True
2021-10-07,Bones!,Thursday,October,False
2021-10-04,No bones,Monday,October,False
2021-10-01,Bones!,Friday,October,False
2021-09-29,No bones,Wednesday,September,False
2021-09-22,No bones,Wednesday,September,False
2021-09-14,Bones!,Tuesday,September,False
2021-09-05,No bones,Sunday,September,True
2021-08-21,No bones,Saturday,August,True
2021-08-13,No bones,Friday,August,False
2021-03-11,No bones,Thursday,March,False
2021-09-01,No video,Wednesday,September,False
2021-09-02,No video,Thursday,September,False
2021-09-03,No video,Friday,September,False
2021-09-04,No video,Saturday,September,True
2021-09-06,No video,Monday,September,False
2021-09-07,No video,Tuesday,September,False
2021-09-08,No video,Wednesday,September,False
2021-09-09,No video,Thursday,September,False
2021-09-10,No video,Friday,September,False
2021-09-11,No video,Saturday,September,True
2021-09-12,No video,Sunday,September,True
2021-09-13,No video,Monday,September,False
2021-09-15,No video,Wednesday,September,False
2021-09-16,No video,Thursday,September,False
2021-09-17,No video,Friday,September,False
2021-09-18,No video,Saturday,September,True
2021-09-19,No video,Sunday,September,True
2021-09-20,No video,Monday,September,False
2021-09-21,No video,Tuesday,September,False
2021-09-23,No video,Thursday,September,False
2021-09-24,No video,Friday,September,False
2021-09-25,No video,Saturday,September,True
2021-09-26,No video,Sunday,September,True
2021-09-27,No video,Monday,September,False
2021-09-28,No video,Tuesday,September,False
2021-09-30,No video,Thursday,September,False
2021-10-02,No video,Saturday,October,True
2021-10-03,No video,Sunday,October,True
2021-10-05,No video,Tuesday,October,False
2021-10-06,No video,Wednesday,October,False
2021-10-08,No video,Friday,October,False
2021-10-10,No video,Sunday,October,True
2021-10-12,No video,Tuesday,October,False
2021-10-24,No video,Sunday,October,True
2021-10-27,No video,Wednesday,October,False
2021-10-29,No video,Friday,October,False
2021-10-30,No video,Saturday,October,True
2021-11-06,No video,Saturday,November,True
2021-11-10,No video,Wednesday,November,False
2021-11-13,No video,Saturday,November,True
2021-11-14,No video,Sunday,November,True
2021-11-17,No video,Wednesday,November,False
2021-11-20,No video,Saturday,November,True
2021-11-26,No video,Friday,November,False
2021-11-28,No video,Sunday,November,True
2021-12-01,No video,Wednesday,December,False
2021-12-05,No video,Sunday,December,True
