officer_name,title,department_name,state_abbreviation,cause,eow_date,eow_year,eow_weekday,police_dog,url,photo_url
W. D. Turner,Constable,Lauderdale County Constable's Office,TN,Gunfire,1900-01-09,1900,Tuesday,False,https://www.odmp.org/officer/17920-constable-w-d-turner,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Marvin Durham,Deputy,Lauderdale County Constable's Office,TN,Gunfire,1900-01-09,1900,Tuesday,False,https://www.odmp.org/officer/17921-deputy-constable-marvin-durham,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
"Alfred ""Alf"" Henry",Jailer,Howell County Sheriff's Office,MO,Assault,1900-01-17,1900,Wednesday,False,https://www.odmp.org/officer/19272-jailer-alfred-alf-henry,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Night  William C. Rooney,Captain,Colorado Department of Corrections,CO,Stabbed,1900-01-22,1900,Monday,False,https://www.odmp.org/officer/11496-night-captain-william-c-rooney,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
George W. McCammon,Deputy,Pennsylvania State Constable - Washington County,PA,Gunfire,1900-01-22,1900,Monday,False,https://www.odmp.org/officer/18478-deputy-constable-george-w-mccammon,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Herman Barnickol,Sheriff,St. Clair County Sheriff's Department,IL,Gunfire,1900-01-27,1900,Saturday,False,https://www.odmp.org/officer/19729-sheriff-herman-barnickol,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
William S. Wright,Deputy,Letcher County Sheriff's Office,KY,Gunfire,1900-01-30,1900,Tuesday,False,https://www.odmp.org/officer/19797-deputy-sheriff-william-s-wright,https://www.odmp.org/media/image/officer/19797/125/19797.jpg
City  Marion Thomas,Marshal,Empire City Marshal's Office,KS,Gunfire,1900-02-06,1900,Tuesday,False,https://www.odmp.org/officer/21493-city-marshal-marion-thomas,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Lowell Pew,Policeman,Louisiana Police Department,MO,Gunfire,1900-02-14,1900,Wednesday,False,https://www.odmp.org/officer/19513-policeman-lowell-pew,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Newton Stewart,Patrolman,El Paso Police Department,TX,Gunfire,1900-02-17,1900,Saturday,False,https://www.odmp.org/officer/12820-patrolman-newton-stewart,https://www.odmp.org/media/image/officer/12820/125/12820.jpg
Sam Payne,Deputy,McDowell County Sheriff's Office,WV,Gunfire,1900-02-21,1900,Wednesday,False,https://www.odmp.org/officer/19461-deputy-sheriff-sam-payne,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
City  Levi Neal,Deputy,Bryan Police Department,TX,Gunfire,1900-02-24,1900,Saturday,False,https://www.odmp.org/officer/9870-deputy-city-marshal-levi-neal,https://www.odmp.org/media/image/officer/9870/125/levi_neal.jpg
Justice of the  John W. Saunders,Peace,Greensville County Circuit Court,VA,Gunfire,1900-03-22,1900,Thursday,False,https://www.odmp.org/officer/19058-justice-of-the-peace-john-w-saunders,https://www.odmp.org/media/image/officer/19058/125/c9426_justice-of-the-peace-john-saunders.jpg
Joseph Welton,Deputy,Greensville County Sheriff's Office,VA,Gunfire,1900-03-22,1900,Thursday,False,https://www.odmp.org/officer/19059-deputy-sheriff-joseph-welton,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
City  William Hennecke,Assistant,Boonville Police Department,MO,Gunfire,1900-03-27,1900,Tuesday,False,https://www.odmp.org/officer/19514-assistant-city-marshal-william-hennecke,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
George W. Kirkley,Police,Birmingham Police Department,AL,Gunfire,1900-03-28,1900,Wednesday,False,https://www.odmp.org/officer/7584-police-officer-george-w-kirkley,https://www.odmp.org/media/image/officer/7584/125/7584.jpg
J. Wafe Adams,Police,Birmingham Police Department,AL,Gunfire,1900-03-28,1900,Wednesday,False,https://www.odmp.org/officer/1057-police-officer-j-wafe-adams,https://www.odmp.org/media/image/officer/1057/125/1057.jpg
James A. Mynderse,Patrolman,Schenectady Police Department,NY,Struck by train,1900-03-31,1900,Saturday,False,https://www.odmp.org/officer/9842-patrolman-james-a-mynderse,https://www.odmp.org/media/image/officer/9842/125/9842.jpg
Charles Hartsell Smelser,Policeman,Hot Springs Police Department,NC,Gunfire,1900-04-01,1900,Sunday,False,https://www.odmp.org/officer/22110-policeman-charles-hartsell-smelser,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
"Nathaniel Thomas Holt, Jr.",Police,Philadelphia Police Department,PA,Gunfire,1900-04-09,1900,Monday,False,https://www.odmp.org/officer/23583-police-officer-nathaniel-thomas-holt-jr,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Paul W. Hilton,Officer,Monroe Police Department,LA,Automobile crash,1900-04-10,1900,Tuesday,False,https://www.odmp.org/officer/6520-officer-paul-w-hilton,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
John F. McDermott,Patrolman,Chicago Police Department,IL,Gunfire (Inadvertent),1900-04-11,1900,Wednesday,False,https://www.odmp.org/officer/8903-patrolman-john-f-mcdermott,https://www.odmp.org/media/image/officer/8903/125/8903.jpg
George W. Wall,Sheriff,San Augustine County Sheriff's Office,TX,Gunfire,1900-04-21,1900,Saturday,False,https://www.odmp.org/officer/18676-sheriff-george-w-wall,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
George W. Hoffman,Deputy,Windsor County Sheriff's Office,VT,Gunfire,1900-04-29,1900,Sunday,False,https://www.odmp.org/officer/17002-deputy-sheriff-george-w-hoffman,https://www.odmp.org/media/image/officer/17002/125/hoffman%2C-george-cropped.jpg
Desk  Timothy S. O'Connell,Sergeant,Chicago Police Department,IL,Gunfire,1900-05-03,1900,Thursday,False,https://www.odmp.org/officer/10091-desk-sergeant-timothy-s-oconnell,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
"City  George Houston ""Hugh"" Myers",Marshal,Davis Police Department,OK,Gunfire,1900-05-05,1900,Saturday,False,https://www.odmp.org/officer/20589-city-marshal-george-houston-hugh-myers,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
John Shipp,Patrolman,Cleveland Division of Police,OH,Gunfire,1900-05-06,1900,Sunday,False,https://www.odmp.org/officer/12181-patrolman-john-shipp,https://www.odmp.org/media/image/officer/12181/125/12181.jpg
Michael Hanley,Patrolman,New Orleans Police Department,LA,Assault,1900-05-10,1900,Thursday,False,https://www.odmp.org/officer/6019-patrolman-michael-hanley,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Town  A. J. Boyd,Marshal,Langston Police Department,OK,Gunfire,1900-05-11,1900,Friday,False,https://www.odmp.org/officer/24680-town-marshal-a-j-boyd,https://www.odmp.org/media/image/officer/24680/125/c_a-j-boyd-grave-marker-2.jpg
Deputized  James Edward Roberts,Civilian,Morris County Sheriff's Office,KS,Gunfire,1900-05-12,1900,Saturday,False,https://www.odmp.org/officer/16914-deputized-civilian-james-edward-roberts,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Felix Davidson,Deputy,Clay County Sheriff's Office,KY,Gunfire,1900-05-25,1900,Friday,False,https://www.odmp.org/officer/19367-deputy-sheriff-felix-davidson,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Samuel Jenkins,Deputy,Grand County Sheriff's Department,UT,Gunfire,1900-05-26,1900,Saturday,False,https://www.odmp.org/officer/7094-deputy-sheriff-samuel-jenkins,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Jesse Tyler,Sheriff,Grand County Sheriff's Department,UT,Gunfire,1900-05-26,1900,Saturday,False,https://www.odmp.org/officer/13524-sheriff-jesse-tyler,https://www.odmp.org/media/image/officer/13524/125/13524.jpg
Dennis D. Crane,Police,St. Louis Metropolitan Police Department,MO,Gunfire,1900-06-01,1900,Friday,False,https://www.odmp.org/officer/3579-police-officer-dennis-d-crane,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Reuben T. Mattox,Deputy,Wood County Sheriff's Office,TX,Gunfire,1900-06-02,1900,Saturday,False,https://www.odmp.org/officer/18600-deputy-sheriff-reuben-t-mattox,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
of  Benjamin H. Crider,Chief,Carrollton Police Department,GA,Gunfire,1900-06-08,1900,Friday,False,https://www.odmp.org/officer/19457-chief-of-police-benjamin-h-crider,https://www.odmp.org/media/image/officer/19457/125/c_benjamin_h_crider.jpg
William Frank Carey,Deputy,Carmel Police Department,IN,Gunfire,1900-06-08,1900,Friday,False,https://www.odmp.org/officer/2781-deputy-constable-william-frank-carey,https://www.odmp.org/media/image/officer/2781/125/2781.jpg
"William ""Mox"" McQuery",Patrolman,Covington Police Department,KY,Gunfire,1900-06-12,1900,Tuesday,False,https://www.odmp.org/officer/9139-patrolman-william-mox-mcquery,https://www.odmp.org/media/image/officer/9139/125/c_mox-mcquery.png
Zeb B. Lancaster,Constable,Pikeville Police Department,NC,Gunfire,1900-06-13,1900,Wednesday,False,https://www.odmp.org/officer/18941-constable-zeb-b-lancaster,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Benjamin Tobias Thornton,Detective,Indianapolis Police Department,IN,Duty related illness,1900-06-18,1900,Monday,False,https://www.odmp.org/officer/26815-detective-benjamin-tobias-thornton,https://www.odmp.org/media/image/officer/26815/125/c_benjamin_thornton.jpg
City  Milford Parker,Marshal,Galena Police Department,KS,Electrocuted,1900-06-19,1900,Tuesday,False,https://www.odmp.org/officer/19437-city-marshal-milford-parker,https://www.odmp.org/media/image/officer/19437/125/c_parker_headstone.jpg
"George William ""Will"" Hardin",Deputy,Hunt County Constable's Office - Precinct 1,TX,Gunfire,1900-07-02,1900,Monday,False,https://www.odmp.org/officer/19469-deputy-constable-george-william-will-hardin,https://www.odmp.org/media/image/officer/19469/125/19469.jpg
Archibald McNeill,Deputy,Duval County Sheriff's Office,TX,Gunfire,1900-07-03,1900,Tuesday,False,https://www.odmp.org/officer/23327-deputy-sheriff-archibald-mcneill,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
U.S.  Howard Wilson,Deputy,United States Department of Justice - United States Marshals Service,US,Gunfire,1900-07-08,1900,Sunday,False,https://www.odmp.org/officer/21023-deputy-us-marshal-howard-wilson,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Richard Jarrett,Sheriff,McDonald County Sheriff's Office,MO,Gunfire,1900-07-16,1900,Monday,False,https://www.odmp.org/officer/7060-sheriff-richard-jarrett,https://www.odmp.org/media/image/officer/7060/125/7060.jpg
Joseph A. Perkins,Detective,Memphis Police Department,TN,Gunfire,1900-07-17,1900,Tuesday,False,https://www.odmp.org/officer/17310-detective-joseph-a-perkins,https://www.odmp.org/media/image/officer/17310/125/17310.jpg
Peter J. Lamb,Patrolman,New Orleans Police Department,LA,Gunfire,1900-07-24,1900,Tuesday,False,https://www.odmp.org/officer/7827-patrolman-peter-j-lamb,https://www.odmp.org/media/image/officer/7827/125/patrolman-peter-lamb.jpg
John Day,Captain,New Orleans Police Department,LA,Gunfire,1900-07-24,1900,Tuesday,False,https://www.odmp.org/officer/3918-captain-john-day,https://www.odmp.org/media/image/officer/3918/125/3918.jpg
John F. Lally,Corporal,New Orleans Police Department,LA,Gunfire,1900-07-27,1900,Friday,False,https://www.odmp.org/officer/7818-corporal-john-f-lally,https://www.odmp.org/media/image/officer/7818/125/7818.jpg
Andrew Van Kuren,Keeper,New Orleans Police Department,LA,Gunfire,1900-07-27,1900,Friday,False,https://www.odmp.org/officer/23405-keeper-andrew-van-kuren,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Gabriel J. Porteous,Sergeant,New Orleans Police Department,LA,Gunfire,1900-07-28,1900,Saturday,False,https://www.odmp.org/officer/10764-sergeant-gabriel-j-porteous,https://www.odmp.org/media/image/officer/10764/125/10764.jpg
John Lamb,Deputy,Hancock County Sheriff's Office,TN,Gunfire,1900-08-02,1900,Thursday,False,https://www.odmp.org/officer/21873-deputy-sheriff-john-lamb,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
David W. Lewis,Patrolman,Pittsburgh Bureau of Police,PA,Assault,1900-08-07,1900,Tuesday,False,https://www.odmp.org/officer/22014-patrolman-david-w-lewis,https://www.odmp.org/media/image/officer/22014/125/david-lewis.jpg
William Melton Mears,Constable,Screven County Constable's Office,GA,Gunfire,1900-08-09,1900,Thursday,False,https://www.odmp.org/officer/20402-constable-william-melton-mears,https://www.odmp.org/media/image/officer/20402/125/20402.jpg
"Herbert ""Hub"" Haynes",Policeman,Clayton Police Department,DE,Gunfire,1900-08-10,1900,Friday,False,https://www.odmp.org/officer/24826-policeman-herbert-hub-haynes,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Night  James T. Martin,Policeman,Carrollton Police Department,KY,Gunfire,1900-08-10,1900,Friday,False,https://www.odmp.org/officer/24897-night-policeman-james-t-martin,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
