FireYear,GISAcres,acres_per_day
1953,15320.06,41.97276712328767
1955,2746.13,7.523643835616439
1957,2290.77,6.276082191780822
1962,4822.24,13.211616438356163
1971,9501.85,26.03246575342466
1972,32274.36,88.42290410958904
1973,7081.18,19.400493150684934
1974,18058.67,49.47580821917808
1977,385.2,1.0553424657534247
1982,274.86,0.753041095890411
1983,947.2,2.595068493150685
1984,2309.2,6.326575342465753
1985,8623.56,23.626191780821916
1986,364.48,0.9985753424657535
1987,7101.67,19.456630136986302
1988,1618.84,4.435178082191781
1989,116.11,0.3181095890410959
1990,2599.49,7.121890410958904
1991,15949.05,43.69602739726027
1992,308.48,0.8451506849315069
1993,588.79,1.6131232876712327
1994,569.56,1.5604383561643833
1997,1485.15,4.068904109589042
2000,12127.57,33.22621917808219
2002,24578.6,67.3386301369863
2003,25.39,0.06956164383561644
2004,612.78,1.678849315068493
2005,3385.45,9.275205479452055
2006,4016.64,11.004493150684931
2007,7290.73,19.974602739726027
2008,1114.48,3.0533698630136987
2010,10216.29,27.98983561643836
2012,163.88,0.448986301369863
2013,1364.66,3.7387945205479456
2014,2621.9,7.183287671232877
2015,285735.26,782.8363287671233
2016,16000.86,43.837972602739725
2017,47691.96,130.66290410958905
2018,472.54,1.2946301369863014
2019,5304.46,14.532767123287671
2020,114526.17,313.77032876712326
2021,3293.05,9.022054794520548
2022,267439.0,1437.8440860215053
