year,week_by_week_ranking
2000,46
2001,46
2002,44
2003,46
2004,37
2005,31
2007,29
2008,45
2009,46
2010,46
2011,8
2012,37
2013,46
2014,46
2015,46
2016,46
2017,23
2019,30
2020,21
2021,16
