week,week_by_week_ranking,date,year,week_number,ordinal,decade
"May 14, 2007",11,2007-05-14,2007,20,11th,2000s
"May 7, 2007",12,2007-05-07,2007,19,12th,2000s
"Apr 30, 2007",12,2007-04-30,2007,18,12th,2000s
"Apr 23, 2007",12,2007-04-23,2007,17,12th,2000s
"Apr 16, 2007",12,2007-04-16,2007,16,12th,2000s
"Apr 9, 2007",11,2007-04-09,2007,15,11th,2000s
"Apr 2, 2007",11,2007-04-02,2007,14,11th,2000s
"Mar 19, 2007",18,2007-03-19,2007,12,18th,2000s
"Mar 5, 2007",15,2007-03-05,2007,10,15th,2000s
"Feb 26, 2007",15,2007-02-26,2007,9,15th,2000s
"Feb 19, 2007",15,2007-02-19,2007,8,15th,2000s
"Feb 12, 2007",15,2007-02-12,2007,7,15th,2000s
"Feb 5, 2007",15,2007-02-05,2007,6,15th,2000s
"Jan 29, 2007",14,2007-01-29,2007,5,14th,2000s
"Jan 15, 2007",81,2007-01-15,2007,3,81st,2000s
"Jan 8, 2007",94,2007-01-08,2007,2,94th,2000s
"Dec 18, 2006",95,2006-12-18,2006,51,95th,2000s
"Dec 11, 2006",95,2006-12-11,2006,50,95th,2000s
"Dec 4, 2006",95,2006-12-04,2006,49,95th,2000s
"Nov 27, 2006",93,2006-11-27,2006,48,93rd,2000s
"Nov 20, 2006",93,2006-11-20,2006,47,93rd,2000s
"Nov 13, 2006",95,2006-11-13,2006,46,95th,2000s
"Nov 6, 2006",95,2006-11-06,2006,45,95th,2000s
"Oct 30, 2006",95,2006-10-30,2006,44,95th,2000s
"Oct 23, 2006",97,2006-10-23,2006,43,97th,2000s
"Oct 16, 2006",95,2006-10-16,2006,42,95th,2000s
"Oct 9, 2006",90,2006-10-09,2006,41,90th,2000s
"Oct 2, 2006",87,2006-10-02,2006,40,87th,2000s
"Sep 25, 2006",88,2006-09-25,2006,39,88th,2000s
"Sep 18, 2006",93,2006-09-18,2006,38,93rd,2000s
"Sep 11, 2006",94,2006-09-11,2006,37,94th,2000s
"Aug 28, 2006",91,2006-08-28,2006,35,91st,2000s
"Aug 21, 2006",90,2006-08-21,2006,34,90th,2000s
"Aug 14, 2006",79,2006-08-14,2006,33,79th,2000s
"Apr 3, 2006",88,2006-04-03,2006,14,88th,2000s
"Mar 20, 2006",61,2006-03-20,2006,12,61st,2000s
"Mar 6, 2006",58,2006-03-06,2006,10,58th,2000s
"Feb 27, 2006",46,2006-02-27,2006,9,46th,2000s
"Feb 20, 2006",44,2006-02-20,2006,8,44th,2000s
"Feb 13, 2006",44,2006-02-13,2006,7,44th,2000s
"Feb 6, 2006",37,2006-02-06,2006,6,37th,2000s
"Jan 30, 2006",39,2006-01-30,2006,5,39th,2000s
"Jan 16, 2006",15,2006-01-16,2006,3,15th,2000s
"Jan 9, 2006",13,2006-01-09,2006,2,13th,2000s
"Dec 19, 2005",11,2005-12-19,2005,51,11th,2000s
"Dec 12, 2005",11,2005-12-12,2005,50,11th,2000s
"Dec 5, 2005",11,2005-12-05,2005,49,11th,2000s
"Nov 28, 2005",11,2005-11-28,2005,48,11th,2000s
"Nov 21, 2005",11,2005-11-21,2005,47,11th,2000s
"Nov 14, 2005",11,2005-11-14,2005,46,11th,2000s
"Nov 7, 2005",11,2005-11-07,2005,45,11th,2000s
"Oct 31, 2005",11,2005-10-31,2005,44,11th,2000s
"Oct 24, 2005",11,2005-10-24,2005,43,11th,2000s
"Oct 17, 2005",11,2005-10-17,2005,42,11th,2000s
"Oct 10, 2005",11,2005-10-10,2005,41,11th,2000s
"Oct 3, 2005",11,2005-10-03,2005,40,11th,2000s
"Sep 26, 2005",11,2005-09-26,2005,39,11th,2000s
"Sep 19, 2005",9,2005-09-19,2005,38,9th,2000s
"Sep 12, 2005",9,2005-09-12,2005,37,9th,2000s
"Aug 29, 2005",8,2005-08-29,2005,35,8th,2000s
"Aug 22, 2005",8,2005-08-22,2005,34,8th,2000s
"Aug 15, 2005",7,2005-08-15,2005,33,7th,2000s
"Aug 8, 2005",7,2005-08-08,2005,32,7th,2000s
"Aug 1, 2005",7,2005-08-01,2005,31,7th,2000s
"Jul 25, 2005",7,2005-07-25,2005,30,7th,2000s
"Jul 18, 2005",6,2005-07-18,2005,29,6th,2000s
"Jul 11, 2005",6,2005-07-11,2005,28,6th,2000s
"Jul 4, 2005",6,2005-07-04,2005,27,6th,2000s
"Jun 20, 2005",4,2005-06-20,2005,25,4th,2000s
"Jun 13, 2005",4,2005-06-13,2005,24,4th,2000s
"Jun 6, 2005",4,2005-06-06,2005,23,4th,2000s
"May 23, 2005",4,2005-05-23,2005,21,4th,2000s
"May 16, 2005",4,2005-05-16,2005,20,4th,2000s
"May 9, 2005",4,2005-05-09,2005,19,4th,2000s
"May 2, 2005",4,2005-05-02,2005,18,4th,2000s
"Apr 25, 2005",4,2005-04-25,2005,17,4th,2000s
"Apr 18, 2005",4,2005-04-18,2005,16,4th,2000s
"Apr 11, 2005",4,2005-04-11,2005,15,4th,2000s
"Apr 4, 2005",4,2005-04-04,2005,14,4th,2000s
"Mar 21, 2005",4,2005-03-21,2005,12,4th,2000s
"Mar 7, 2005",4,2005-03-07,2005,10,4th,2000s
"Feb 28, 2005",4,2005-02-28,2005,9,4th,2000s
"Feb 21, 2005",3,2005-02-21,2005,8,3rd,2000s
"Feb 14, 2005",3,2005-02-14,2005,7,3rd,2000s
"Feb 7, 2005",2,2005-02-07,2005,6,2nd,2000s
"Jan 31, 2005",2,2005-01-31,2005,5,2nd,2000s
"Jan 17, 2005",7,2005-01-17,2005,3,7th,2000s
"Jan 10, 2005",7,2005-01-10,2005,2,7th,2000s
"Dec 27, 2004",7,2004-12-27,2004,53,7th,2000s
"Dec 20, 2004",7,2004-12-20,2004,52,7th,2000s
"Dec 13, 2004",7,2004-12-13,2004,51,7th,2000s
"Dec 6, 2004",7,2004-12-06,2004,50,7th,2000s
"Nov 29, 2004",7,2004-11-29,2004,49,7th,2000s
"Nov 22, 2004",7,2004-11-22,2004,48,7th,2000s
"Nov 15, 2004",7,2004-11-15,2004,47,7th,2000s
"Nov 8, 2004",8,2004-11-08,2004,46,8th,2000s
"Nov 1, 2004",8,2004-11-01,2004,45,8th,2000s
"Oct 25, 2004",9,2004-10-25,2004,44,9th,2000s
"Oct 18, 2004",9,2004-10-18,2004,43,9th,2000s
"Oct 11, 2004",9,2004-10-11,2004,42,9th,2000s
"Oct 4, 2004",9,2004-10-04,2004,41,9th,2000s
"Sep 27, 2004",10,2004-09-27,2004,40,10th,2000s
"Sep 20, 2004",10,2004-09-20,2004,39,10th,2000s
"Sep 13, 2004",10,2004-09-13,2004,38,10th,2000s
"Aug 30, 2004",11,2004-08-30,2004,36,11th,2000s
"Aug 23, 2004",11,2004-08-23,2004,35,11th,2000s
"Aug 16, 2004",11,2004-08-16,2004,34,11th,2000s
"Aug 9, 2004",11,2004-08-09,2004,33,11th,2000s
"Aug 2, 2004",10,2004-08-02,2004,32,10th,2000s
"Jul 26, 2004",14,2004-07-26,2004,31,14th,2000s
"Jul 19, 2004",16,2004-07-19,2004,30,16th,2000s
"Jul 12, 2004",14,2004-07-12,2004,29,14th,2000s
"Jul 5, 2004",14,2004-07-05,2004,28,14th,2000s
"Jun 21, 2004",10,2004-06-21,2004,26,10th,2000s
"Jun 14, 2004",10,2004-06-14,2004,25,10th,2000s
"Jun 7, 2004",11,2004-06-07,2004,24,11th,2000s
"May 24, 2004",7,2004-05-24,2004,22,7th,2000s
"May 17, 2004",7,2004-05-17,2004,21,7th,2000s
"May 10, 2004",7,2004-05-10,2004,20,7th,2000s
"May 3, 2004",7,2004-05-03,2004,19,7th,2000s
"Apr 26, 2004",7,2004-04-26,2004,18,7th,2000s
"Apr 19, 2004",7,2004-04-19,2004,17,7th,2000s
"Apr 12, 2004",9,2004-04-12,2004,16,9th,2000s
"Apr 5, 2004",7,2004-04-05,2004,15,7th,2000s
"Mar 22, 2004",6,2004-03-22,2004,13,6th,2000s
"Mar 8, 2004",7,2004-03-08,2004,11,7th,2000s
"Mar 1, 2004",6,2004-03-01,2004,10,6th,2000s
"Feb 23, 2004",6,2004-02-23,2004,9,6th,2000s
"Feb 16, 2004",6,2004-02-16,2004,8,6th,2000s
"Feb 9, 2004",7,2004-02-09,2004,7,7th,2000s
"Feb 2, 2004",4,2004-02-02,2004,6,4th,2000s
"Jan 19, 2004",3,2004-01-19,2004,4,3rd,2000s
"Jan 12, 2004",3,2004-01-12,2004,3,3rd,2000s
"Jan 5, 2004",3,2004-01-05,2004,2,3rd,2000s
"Dec 29, 2003",3,2003-12-29,2003,1,3rd,2000s
"Dec 22, 2003",3,2003-12-22,2003,52,3rd,2000s
"Dec 15, 2003",3,2003-12-15,2003,51,3rd,2000s
"Dec 8, 2003",3,2003-12-08,2003,50,3rd,2000s
"Dec 1, 2003",3,2003-12-01,2003,49,3rd,2000s
"Nov 24, 2003",3,2003-11-24,2003,48,3rd,2000s
"Nov 17, 2003",3,2003-11-17,2003,47,3rd,2000s
"Nov 10, 2003",3,2003-11-10,2003,46,3rd,2000s
"Nov 3, 2003",3,2003-11-03,2003,45,3rd,2000s
"Oct 27, 2003",3,2003-10-27,2003,44,3rd,2000s
"Oct 20, 2003",3,2003-10-20,2003,43,3rd,2000s
"Oct 13, 2003",3,2003-10-13,2003,42,3rd,2000s
"Oct 6, 2003",3,2003-10-06,2003,41,3rd,2000s
"Sep 29, 2003",3,2003-09-29,2003,40,3rd,2000s
"Sep 22, 2003",3,2003-09-22,2003,39,3rd,2000s
"Sep 15, 2003",3,2003-09-15,2003,38,3rd,2000s
"Sep 8, 2003",3,2003-09-08,2003,37,3rd,2000s
"Aug 25, 2003",2,2003-08-25,2003,35,2nd,2000s
"Aug 18, 2003",2,2003-08-18,2003,34,2nd,2000s
"Aug 11, 2003",2,2003-08-11,2003,33,2nd,2000s
"Aug 4, 2003",1,2003-08-04,2003,32,1st,2000s
"Jul 28, 2003",1,2003-07-28,2003,31,1st,2000s
"Jul 21, 2003",1,2003-07-21,2003,30,1st,2000s
"Jul 14, 2003",1,2003-07-14,2003,29,1st,2000s
"Jul 7, 2003",1,2003-07-07,2003,28,1st,2000s
"Jun 23, 2003",1,2003-06-23,2003,26,1st,2000s
"Jun 16, 2003",1,2003-06-16,2003,25,1st,2000s
"Jun 9, 2003",1,2003-06-09,2003,24,1st,2000s
"May 26, 2003",1,2003-05-26,2003,22,1st,2000s
"May 19, 2003",1,2003-05-19,2003,21,1st,2000s
"May 12, 2003",1,2003-05-12,2003,20,1st,2000s
"May 5, 2003",1,2003-05-05,2003,19,1st,2000s
"Apr 28, 2003",1,2003-04-28,2003,18,1st,2000s
"Apr 21, 2003",1,2003-04-21,2003,17,1st,2000s
"Apr 14, 2003",1,2003-04-14,2003,16,1st,2000s
"Apr 7, 2003",1,2003-04-07,2003,15,1st,2000s
"Mar 31, 2003",1,2003-03-31,2003,14,1st,2000s
"Mar 17, 2003",1,2003-03-17,2003,12,1st,2000s
"Mar 3, 2003",1,2003-03-03,2003,10,1st,2000s
"Feb 24, 2003",1,2003-02-24,2003,9,1st,2000s
"Feb 17, 2003",1,2003-02-17,2003,8,1st,2000s
"Feb 10, 2003",1,2003-02-10,2003,7,1st,2000s
"Feb 3, 2003",1,2003-02-03,2003,6,1st,2000s
"Jan 27, 2003",1,2003-01-27,2003,5,1st,2000s
"Jan 13, 2003",1,2003-01-13,2003,3,1st,2000s
"Jan 6, 2003",1,2003-01-06,2003,2,1st,2000s
"Dec 16, 2002",1,2002-12-16,2002,51,1st,2000s
"Dec 9, 2002",1,2002-12-09,2002,50,1st,2000s
"Dec 2, 2002",1,2002-12-02,2002,49,1st,2000s
"Nov 25, 2002",1,2002-11-25,2002,48,1st,2000s
"Nov 18, 2002",1,2002-11-18,2002,47,1st,2000s
"Nov 11, 2002",1,2002-11-11,2002,46,1st,2000s
"Nov 4, 2002",1,2002-11-04,2002,45,1st,2000s
"Oct 28, 2002",1,2002-10-28,2002,44,1st,2000s
"Oct 21, 2002",1,2002-10-21,2002,43,1st,2000s
"Oct 14, 2002",1,2002-10-14,2002,42,1st,2000s
"Oct 7, 2002",1,2002-10-07,2002,41,1st,2000s
"Sep 30, 2002",1,2002-09-30,2002,40,1st,2000s
"Sep 23, 2002",1,2002-09-23,2002,39,1st,2000s
"Sep 16, 2002",1,2002-09-16,2002,38,1st,2000s
"Sep 9, 2002",1,2002-09-09,2002,37,1st,2000s
"Aug 26, 2002",1,2002-08-26,2002,35,1st,2000s
"Aug 19, 2002",1,2002-08-19,2002,34,1st,2000s
"Aug 12, 2002",1,2002-08-12,2002,33,1st,2000s
"Aug 5, 2002",1,2002-08-05,2002,32,1st,2000s
"Jul 29, 2002",1,2002-07-29,2002,31,1st,2000s
"Jul 22, 2002",1,2002-07-22,2002,30,1st,2000s
"Jul 15, 2002",1,2002-07-15,2002,29,1st,2000s
"Jul 8, 2002",1,2002-07-08,2002,28,1st,2000s
"Jun 24, 2002",2,2002-06-24,2002,26,2nd,2000s
"Jun 17, 2002",2,2002-06-17,2002,25,2nd,2000s
"Jun 10, 2002",2,2002-06-10,2002,24,2nd,2000s
"May 27, 2002",3,2002-05-27,2002,22,3rd,2000s
"May 20, 2002",3,2002-05-20,2002,21,3rd,2000s
"May 13, 2002",4,2002-05-13,2002,20,4th,2000s
"May 6, 2002",5,2002-05-06,2002,19,5th,2000s
"Apr 29, 2002",5,2002-04-29,2002,18,5th,2000s
"Apr 22, 2002",5,2002-04-22,2002,17,5th,2000s
"Apr 15, 2002",7,2002-04-15,2002,16,7th,2000s
"Apr 8, 2002",7,2002-04-08,2002,15,7th,2000s
"Apr 1, 2002",7,2002-04-01,2002,14,7th,2000s
"Mar 18, 2002",9,2002-03-18,2002,12,9th,2000s
"Mar 4, 2002",6,2002-03-04,2002,10,6th,2000s
"Feb 25, 2002",9,2002-02-25,2002,9,9th,2000s
"Feb 18, 2002",9,2002-02-18,2002,8,9th,2000s
"Feb 11, 2002",8,2002-02-11,2002,7,8th,2000s
"Feb 4, 2002",6,2002-02-04,2002,6,6th,2000s
"Jan 28, 2002",6,2002-01-28,2002,5,6th,2000s
"Jan 14, 2002",6,2002-01-14,2002,3,6th,2000s
"Jan 7, 2002",6,2002-01-07,2002,2,6th,2000s
"Dec 24, 2001",6,2001-12-24,2001,52,6th,2000s
"Dec 17, 2001",6,2001-12-17,2001,51,6th,2000s
"Dec 10, 2001",6,2001-12-10,2001,50,6th,2000s
"Dec 3, 2001",6,2001-12-03,2001,49,6th,2000s
"Nov 26, 2001",6,2001-11-26,2001,48,6th,2000s
"Nov 19, 2001",6,2001-11-19,2001,47,6th,2000s
"Nov 12, 2001",6,2001-11-12,2001,46,6th,2000s
"Nov 5, 2001",6,2001-11-05,2001,45,6th,2000s
"Oct 29, 2001",10,2001-10-29,2001,44,10th,2000s
"Oct 22, 2001",10,2001-10-22,2001,43,10th,2000s
"Oct 15, 2001",9,2001-10-15,2001,42,9th,2000s
"Oct 8, 2001",9,2001-10-08,2001,41,9th,2000s
"Oct 1, 2001",7,2001-10-01,2001,40,7th,2000s
"Sep 24, 2001",7,2001-09-24,2001,39,7th,2000s
"Sep 17, 2001",7,2001-09-17,2001,38,7th,2000s
"Sep 10, 2001",7,2001-09-10,2001,37,7th,2000s
"Aug 27, 2001",10,2001-08-27,2001,35,10th,2000s
"Aug 20, 2001",10,2001-08-20,2001,34,10th,2000s
"Aug 13, 2001",10,2001-08-13,2001,33,10th,2000s
"Aug 6, 2001",8,2001-08-06,2001,32,8th,2000s
"Jul 30, 2001",8,2001-07-30,2001,31,8th,2000s
"Jul 23, 2001",8,2001-07-23,2001,30,8th,2000s
"Jul 16, 2001",8,2001-07-16,2001,29,8th,2000s
"Jul 9, 2001",8,2001-07-09,2001,28,8th,2000s
"Jun 25, 2001",5,2001-06-25,2001,26,5th,2000s
"Jun 18, 2001",5,2001-06-18,2001,25,5th,2000s
"Jun 11, 2001",5,2001-06-11,2001,24,5th,2000s
"May 28, 2001",7,2001-05-28,2001,22,7th,2000s
"May 21, 2001",7,2001-05-21,2001,21,7th,2000s
"May 14, 2001",7,2001-05-14,2001,20,7th,2000s
"May 7, 2001",6,2001-05-07,2001,19,6th,2000s
"Apr 30, 2001",6,2001-04-30,2001,18,6th,2000s
"Apr 23, 2001",6,2001-04-23,2001,17,6th,2000s
"Apr 16, 2001",6,2001-04-16,2001,16,6th,2000s
"Apr 9, 2001",6,2001-04-09,2001,15,6th,2000s
"Apr 2, 2001",6,2001-04-02,2001,14,6th,2000s
"Mar 19, 2001",7,2001-03-19,2001,12,7th,2000s
"Mar 5, 2001",10,2001-03-05,2001,10,10th,2000s
"Feb 26, 2001",9,2001-02-26,2001,9,9th,2000s
"Feb 19, 2001",9,2001-02-19,2001,8,9th,2000s
"Feb 12, 2001",7,2001-02-12,2001,7,7th,2000s
"Feb 5, 2001",5,2001-02-05,2001,6,5th,2000s
"Jan 29, 2001",5,2001-01-29,2001,5,5th,2000s
"Jan 15, 2001",6,2001-01-15,2001,3,6th,2000s
"Jan 8, 2001",6,2001-01-08,2001,2,6th,2000s
"Jan 1, 2001",6,2001-01-01,2001,1,6th,2000s
"Dec 25, 2000",6,2000-12-25,2000,52,6th,2000s
"Dec 18, 2000",6,2000-12-18,2000,51,6th,2000s
"Dec 11, 2000",6,2000-12-11,2000,50,6th,2000s
"Dec 4, 2000",6,2000-12-04,2000,49,6th,2000s
"Nov 27, 2000",6,2000-11-27,2000,48,6th,2000s
"Nov 20, 2000",6,2000-11-20,2000,47,6th,2000s
"Nov 13, 2000",6,2000-11-13,2000,46,6th,2000s
"Nov 6, 2000",6,2000-11-06,2000,45,6th,2000s
"Oct 30, 2000",7,2000-10-30,2000,44,7th,2000s
"Oct 23, 2000",7,2000-10-23,2000,43,7th,2000s
"Oct 16, 2000",8,2000-10-16,2000,42,8th,2000s
"Oct 9, 2000",8,2000-10-09,2000,41,8th,2000s
"Oct 2, 2000",8,2000-10-02,2000,40,8th,2000s
"Sep 25, 2000",8,2000-09-25,2000,39,8th,2000s
"Sep 18, 2000",8,2000-09-18,2000,38,8th,2000s
"Sep 11, 2000",8,2000-09-11,2000,37,8th,2000s
"Aug 28, 2000",6,2000-08-28,2000,35,6th,2000s
"Aug 21, 2000",5,2000-08-21,2000,34,5th,2000s
"Aug 14, 2000",7,2000-08-14,2000,33,7th,2000s
"Aug 7, 2000",7,2000-08-07,2000,32,7th,2000s
"Jul 31, 2000",7,2000-07-31,2000,31,7th,2000s
"Jul 24, 2000",7,2000-07-24,2000,30,7th,2000s
"Jul 17, 2000",7,2000-07-17,2000,29,7th,2000s
"Jul 10, 2000",7,2000-07-10,2000,28,7th,2000s
"Jun 26, 2000",8,2000-06-26,2000,26,8th,2000s
"Jun 19, 2000",8,2000-06-19,2000,25,8th,2000s
"Jun 12, 2000",8,2000-06-12,2000,24,8th,2000s
"May 29, 2000",8,2000-05-29,2000,22,8th,2000s
"May 22, 2000",8,2000-05-22,2000,21,8th,2000s
"May 15, 2000",8,2000-05-15,2000,20,8th,2000s
"May 8, 2000",6,2000-05-08,2000,19,6th,2000s
"May 1, 2000",6,2000-05-01,2000,18,6th,2000s
"Apr 24, 2000",6,2000-04-24,2000,17,6th,2000s
"Apr 17, 2000",6,2000-04-17,2000,16,6th,2000s
"Apr 10, 2000",6,2000-04-10,2000,15,6th,2000s
"Apr 3, 2000",6,2000-04-03,2000,14,6th,2000s
"Mar 20, 2000",6,2000-03-20,2000,12,6th,2000s
"Mar 6, 2000",4,2000-03-06,2000,10,4th,2000s
"Feb 28, 2000",4,2000-02-28,2000,9,4th,2000s
"Feb 21, 2000",4,2000-02-21,2000,8,4th,2000s
"Feb 14, 2000",4,2000-02-14,2000,7,4th,2000s
"Feb 7, 2000",4,2000-02-07,2000,6,4th,2000s
"Jan 31, 2000",4,2000-01-31,2000,5,4th,2000s
"Jan 17, 2000",4,2000-01-17,2000,3,4th,2000s
"Jan 10, 2000",4,2000-01-10,2000,2,4th,2000s
"Jan 3, 2000",4,2000-01-03,2000,1,4th,2000s
