County Code,Perm ID,Facility Name,City,Building Nbr,Building Name,Building Status,SPC Rating *,Building URL,Height (ft),Stories,Building Code,Building Code Year,Year Completed,Latitude,Longitude,Count
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-01278,Original Hospital,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=26HIS&capID2=00000&capID3=00002&agencyCode=OSHPD,44.17,4,Unknown,,1926,37.7626572,-122.2538986,1
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-01279,Stephens Wing,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=56HIS&capID2=00000&capID3=00012&agencyCode=OSHPD,35,3,1952 Uniform Building Code (UBC),1952,1956,37.7626572,-122.2538986,1
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-01280,West Wing,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=68HIS&capID2=00000&capID3=00036&agencyCode=OSHPD,,2,1964 Uniform Building Code (UBC),1964,1968,37.7626572,-122.2538986,1
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-01281,South Wing,In Service,3s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=83HIS&capID2=00000&capID3=00027&agencyCode=OSHPD,,3,1976 California Building Code (CBC),1976,1983,37.7626572,-122.2538986,1
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-01282,Radiology Addition,In Service,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00031&agencyCode=OSHPD,,2,1985 California Building Code (CBC),1985,1995,37.7626572,-122.2538986,1
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-01283,Medical Gas Storage,In Service,3s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00032&agencyCode=OSHPD,,1,1985 California Building Code (CBC),1985,1995,37.7626572,-122.2538986,1
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-02630,Compactor Shed,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=83HIS&capID2=00000&capID3=00048&agencyCode=OSHPD,,1,1976 California Building Code (CBC),1976,1983,37.7626572,-122.2538986,1
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-03120,Emergency Room Relocation,In Service,3s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=87HIS&capID2=00000&capID3=00045&agencyCode=OSHPD,,1,1979 California Building Code (CBC),1979,1988,37.7626572,-122.2538986,1
01 - Alameda,11210,Alameda Hospital,Alameda,BLD-05597,LOX Tank,Under Construction,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=13CAP&capID2=00000&capID3=003TM&agencyCode=OSHPD,,,2010 California Building Code (CBC),2010,,37.7626572,-122.2538986,1
01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00695,Ehman Building,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=37HIS&capID2=00000&capID3=00001&agencyCode=OSHPD,49.75,4,1927 Uniform Building Code (UBC),1927,1937,37.8208094,-122.2630806,1
