county,fips,city,population,zcta_id,zcta_name
Marin,041,Alto,714,,
Marin,041,Belvedere,1901,,
Marin,041,Bolinas,1110,,
Marin,041,Corte Madera,9326,,
Marin,041,Dillon Beach,70,,
Marin,041,Fairfax,7490,,
Marin,041,Inverness,1381,,
Marin,041,Kentfield,6534,,
Marin,041,Lagunitas-Forest Knolls,2010,,
Marin,041,Larkspur,11937,,
Marin,041,Marin City,2702,,
Marin,041,Mill Valley,13962,,
Marin,041,Muir Beach,286,,
Marin,041,Nicasio,38,,
Marin,041,Novato: Zip Code 94945,17167,,
Marin,041,Novato: Zip Code 94947,24283,,
Marin,041,Novato: Zip Code 94949,17202,,
Marin,041,Point Reyes Station,927,,
Marin,041,Ross,2123,,
Marin,041,San Anselmo,12341,,
Marin,041,San Geronimo,391,,
Marin,041,San Quentin,5094,,
Marin,041,San Rafael: Zip Code 94901,41157,,
Marin,041,San Rafael: Zip Code 94903,29040,,
Marin,041,Sausalito,7006,,
Marin,041,Sleepy Hollow,2580,,
Marin,041,Stinson Beach,516,,
Marin,041,Strawberry,5427,,
Marin,041,Tamalpais-Homestead Valley,10387,,
Marin,041,Tiburon,8992,,
Marin,041,Tomales,128,,
Marin,041,Woodacre,1669,,
Contra Costa,013,Alamo,14750,,
Contra Costa,013,Antioch,112520,,
Contra Costa,013,Bay Point,22639,,
Contra Costa,013,Bethel Island,2137,,
Contra Costa,013,Brentwood,65118,,
Contra Costa,013,Byron,1325,,
Contra Costa,013,Clayton,11337,,
Contra Costa,013,Concord,130143,,
Contra Costa,013,Crockett,3044,,
Contra Costa,013,Danville,43876,,
Contra Costa,013,Discovery Bay,13352,,
Contra Costa,013,El Cerrito,24953,,
Contra Costa,013,El Sobrante,12669,,
Contra Costa,013,Hercules,25530,,
Contra Costa,013,Lafayette,25604,,
Contra Costa,013,Martinez,37106,,
Contra Costa,013,Moraga,16946,,
Contra Costa,013,Oakley,42461,,
Contra Costa,013,Orinda,19009,,
Contra Costa,013,Pacheco,3685,,
Contra Costa,013,Pinole,19505,,
Contra Costa,013,Pittsburg,74321,,
Contra Costa,013,Pleasant Hill,34267,,
Contra Costa,013,Richmond,111217,,
Contra Costa,013,Rodeo,8679,,
Contra Costa,013,San Pablo,31413,,
Contra Costa,013,San Ramon,83118,,
Contra Costa,013,Walnut Creek,70860,,
Calaveras,009,District 1,9394,,
Calaveras,009,District 2,8245,,
Calaveras,009,District 3,9729,,
Calaveras,009,District 4,9605,,
Calaveras,009,District 5,8605,,
Madera,039,Reporting Area A,40623,,
Madera,039,Reporting Area B,25062,,
Madera,039,Reporting Area C,49168,,
Madera,039,Reporting Area D,40031,,
Mono,051,South County Region,3464,,
Mono,051,North and Central Region,2498,,
Mono,051,Mammoth Lakes Region,8240,,
Los Angeles,037,City of Agoura Hills,20883,,
Los Angeles,037,City of Alhambra,86724,,
Los Angeles,037,City of Arcadia,57754,,
Los Angeles,037,City of Artesia,16795,,
Los Angeles,037,City of Avalon,3869,,
Los Angeles,037,City of Azusa,50040,,
Los Angeles,037,City of Baldwin Park,76769,,
Los Angeles,037,City of Bell,36332,,
Los Angeles,037,City of Bell Gardens,43071,,
Los Angeles,037,City of Bellflower,77735,,
Los Angeles,037,City of Beverly Hills,34520,,
Los Angeles,037,City of Bradbury,1069,,
Los Angeles,037,City of Burbank,107180,,
Los Angeles,037,City of Calabasas,24323,,
Los Angeles,037,City of Carson,93846,,
Los Angeles,037,City of Cerritos,50067,,
Los Angeles,037,City of Claremont,36484,,
Los Angeles,037,City of Commerce,13069,,
Los Angeles,037,City of Compton,99904,,
Los Angeles,037,City of Covina,49032,,
Los Angeles,037,City of Cudahy,24347,,
Los Angeles,037,City of Culver City,39865,,
Los Angeles,037,City of Diamond Bar,57515,,
Los Angeles,037,City of Downey,114263,,
Los Angeles,037,City of Duarte,22016,,
Los Angeles,037,City of El Monte,117269,,
Los Angeles,037,City of El Segundo,16786,,
Los Angeles,037,City of Gardena,61310,,
Los Angeles,037,City of Glendale,206493,,
Los Angeles,037,City of Glendora,52764,,
Los Angeles,037,City of Hawaiian Gardens,14676,,
Los Angeles,037,City of Hawthorne,88787,,
Los Angeles,037,City of Hermosa Beach,19670,,
Los Angeles,037,City of Hidden Hills,1890,,
Los Angeles,037,City of Huntington Park,59484,,
Los Angeles,037,City of Industry,437,,
Los Angeles,037,City of Inglewood,113582,,
Los Angeles,037,City of Irwindale,1459,,
Los Angeles,037,City of La Canada Flintridge,20693,,
Los Angeles,037,City of La Habra Heights,5455,,
Los Angeles,037,City of La Mirada,49599,,
Los Angeles,037,City of La Puente,40697,,
Los Angeles,037,City of La Verne,33282,,
Los Angeles,037,City of Lakewood,80362,,
Los Angeles,037,City of Lancaster,161570,,
Los Angeles,037,City of Lawndale,33614,,
Los Angeles,037,City of Lomita,20729,,
Los Angeles,037,City of Lynwood,72047,,
Los Angeles,037,City of Malibu,12961,,
Los Angeles,037,City of Manhattan Beach,35999,,
Los Angeles,037,City of Maywood,28049,,
Los Angeles,037,City of Monrovia,38800,,
Los Angeles,037,City of Montebello,64375,,
Los Angeles,037,City of Monterey Park,62262,,
Los Angeles,037,City of Norwalk,107622,,
Los Angeles,037,City of Palmdale,158968,,
Los Angeles,037,City of Palos Verdes Estates,13522,,
Los Angeles,037,City of Paramount,56023,,
Los Angeles,037,City of Pico Rivera,64284,,
Los Angeles,037,City of Pomona,155931,,
Los Angeles,037,City of Rancho Palos Verdes,42747,,
Los Angeles,037,City of Redondo Beach,68697,,
Los Angeles,037,City of Rolling Hills,1940,,
Los Angeles,037,City of Rolling Hills Estates,8113,,
Los Angeles,037,City of Rosemead,55350,,
Los Angeles,037,City of San Dimas,34516,,
Los Angeles,037,City of San Fernando,24612,,
Los Angeles,037,City of San Gabriel,40954,,
Los Angeles,037,City of San Marino,13277,,
Los Angeles,037,City of Santa Clarita,220424,,
Los Angeles,037,City of Santa Fe Springs,18364,,
Los Angeles,037,City of Santa Monica,92446,,
Los Angeles,037,City of Sierra Madre,10989,,
Los Angeles,037,City of Signal Hill,11797,,
Los Angeles,037,City of South El Monte,20885,,
Los Angeles,037,City of South Gate,98155,,
Los Angeles,037,City of South Pasadena,26053,,
Los Angeles,037,City of Temple City,36455,,
Los Angeles,037,City of Torrance,149268,,
Los Angeles,037,City of Vernon,209,,
Los Angeles,037,City of Walnut,30532,,
Los Angeles,037,City of West Covina,108235,,
Los Angeles,037,City of West Hollywood,36951,,
Los Angeles,037,City of Westlake Village,8360,,
Los Angeles,037,City of Whittier,87432,,
Los Angeles,037,Los Angeles - Adams-Normandie,8202,,
Los Angeles,037,Los Angeles - Alsace,12445,,
Los Angeles,037,Los Angeles - Angeles National Forest,40,,
Los Angeles,037,Los Angeles - Angelino Heights,2502,,
Los Angeles,037,Los Angeles - Arleta,34370,,
Los Angeles,037,Los Angeles - Atwater Village,14666,,
Los Angeles,037,Los Angeles - Baldwin Hills,31125,,
Los Angeles,037,Los Angeles - Bel Air,8429,,
Los Angeles,037,Los Angeles - Beverly Crest,12525,,
Los Angeles,037,Los Angeles - Beverlywood,13173,,
Los Angeles,037,Los Angeles - Boyle Heights,86884,,
Los Angeles,037,Los Angeles - Brentwood,30955,,
Los Angeles,037,Los Angeles - Brookside,581,,
