county,fips,population,type,has_scraper,caveat,url,source,region,has_polygons,has_recoveries,include_new_deaths,include_averages,include_map,include_places_timeseries,include_places_percapita,include_hospital_patients,include_icu_beds
Shasta,089,"179,085",cities and regions,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/shasta-county/,manual,Northern California,False,True,True,True,True,True,True,True,True
Sierra,091,"2,930",,,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/sierra-county/,,Greater Sacramento,False,True,False,False,False,False,False,False,False
Siskiyou,093,"43,540",regions,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/siskiyou-county/,automatic,Northern California,False,True,False,False,True,True,True,True,True
Solano,095,"438,530",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/solano-county/,automatic,Bay Area,False,True,True,True,True,True,True,True,True
Sonoma,097,"501,317",ZIP Codes,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/sonoma-county/,automatic,Bay Area,False,True,True,True,True,True,True,True,True
Stanislaus,099,"539,301",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/stanislaus-county/,manual,San Joaquin Valley,False,True,True,True,True,False,True,True,True
Sutter,101,"95,872",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/sutter-county/,automatic,Greater Sacramento,False,True,False,False,True,True,True,False,False
Tehama,103,"63,373",,,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/tehama-county/,,Northern California,False,True,False,False,False,False,False,False,False
Trinity,105,"12,862",regions,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/trinity-county/,automatic,Northern California,False,True,False,False,True,False,True,False,False
Tulare,107,"460,477",ZIP Codes,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/tulare-county/,automatic,San Joaquin Valley,False,True,True,True,True,True,True,True,True
Tuolumne,109,"53,932",,,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/tuolumne-county/,,San Joaquin Valley,False,True,False,False,False,False,False,False,False
Ventura,111,"848,112",ZIP Codes,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/ventura-county/,automatic,Southern California,True,True,True,True,True,True,True,True,True
Yolo,113,"214,977",cities and regions,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/yolo-county/,automatic,Greater Sacramento,False,True,True,True,True,True,True,True,True
Yuba,115,"75,493",cities and communities,True,,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/yuba-county/,automatic,Greater Sacramento,False,True,False,True,True,True,True,True,True
