adm1_name,affected_killed,oblast
Black Sea,0,Black Sea Oblast
Cherkasy,1,Cherkasy Oblast
Chernihiv,349,Chernihiv Oblast
Crimea,0,Crimea Oblast
Dnipropetrovsk,1,Dnipropetrovsk Oblast
Donetsk,91,Donetsk Oblast
Ivano-Frankivsk,0,Ivano-Frankivsk Oblast
Kharkiv,278,Kharkiv Oblast
Kherson,69,Kherson Oblast
Khmelnytskyi,2,Khmelnytskyi Oblast
Kirovograd,0,Kirovograd Oblast
Kyiv,230,Kyiv Oblast
Kyiv City,48,Kyiv City Oblast
Luhansk,134,Luhansk Oblast
Lviv,0,Lviv Oblast
Mykolaiv,132,Mykolaiv Oblast
Odesa,1,Odesa Oblast
Poltava,0,Poltava Oblast
Rivne,0,Rivne Oblast
Sumy,197,Sumy Oblast
Vinnytsia,9,Vinnytsia Oblast
Volyn,4,Volyn Oblast
Zaporizhia,26,Zaporizhia Oblast
Zhytomyr,44,Zhytomyr Oblast
