observation,size,sum
Explosion,1119,8121.0
Projectile,289,1304.0
Burst,93,1975.0
Shot,59,1578.0
Muzzle flash,48,168.0
Illumination flare,32,36.0
Shots and bursts,4,152.0
Outgoing,1,1.0
