,attackdate,count
0,2022-02-24,2
1,2022-02-25,5
2,2022-02-26,4
3,2022-02-27,4
4,2022-02-28,2
5,2022-03-01,6
6,2022-03-02,4
7,2022-03-03,6
8,2022-03-04,4
9,2022-03-05,2
10,2022-03-06,2
11,2022-03-07,4
12,2022-03-08,5
13,2022-03-09,6
14,2022-03-10,2
15,2022-03-11,5
16,2022-03-12,10
17,2022-03-13,1
18,2022-03-14,2
19,2022-03-15,1
20,2022-03-16,1
21,2022-03-17,2
22,2022-03-18,4
23,2022-03-20,2
24,2022-03-21,2
25,2022-03-22,1
26,2022-03-24,1
27,2022-03-25,3
28,2022-03-26,1
29,2022-03-27,2
30,2022-03-28,1
31,2022-03-29,2
32,2022-03-30,3
33,2022-03-31,6
34,2022-04-01,5
35,2022-04-02,4
36,2022-04-03,2
37,2022-04-04,2
38,2022-04-07,1
