date_clean,Burst,Explosion,Illumination flare,Muzzle flash,Outgoing,Projectile,Shot,Shots and bursts
2022-01-16,0.0,4.0,0.0,2.0,0.0,33.0,0.0,0.0
2022-01-17,7.0,10.0,0.0,1.0,0.0,4.0,179.0,0.0
2022-01-18,7.0,3.0,1.0,3.0,0.0,44.0,43.0,0.0
2022-01-19,0.0,10.0,0.0,4.0,0.0,29.0,0.0,0.0
2022-01-20,150.0,203.0,0.0,0.0,0.0,54.0,10.0,0.0
2022-01-25,0.0,3.0,1.0,0.0,0.0,9.0,0.0,0.0
2022-01-26,198.0,17.0,0.0,0.0,0.0,51.0,237.0,0.0
2022-02-02,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,0.0,3.0,0.0,1.0,0.0,20.0,0.0,0.0
2022-02-07,35.0,71.0,0.0,0.0,0.0,9.0,5.0,0.0
2022-02-08,163.0,30.0,0.0,0.0,0.0,0.0,69.0,0.0
2022-02-09,103.0,35.0,0.0,8.0,0.0,292.0,16.0,0.0
2022-02-10,254.0,142.0,1.0,3.0,0.0,22.0,19.0,0.0
2022-02-11,77.0,97.0,0.0,0.0,0.0,5.0,180.0,0.0
2022-02-13,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-14,22.0,32.0,0.0,3.0,0.0,11.0,105.0,0.0
2022-02-15,63.0,189.0,0.0,0.0,0.0,18.0,0.0,152.0
2022-02-16,89.0,215.0,1.0,7.0,0.0,2.0,68.0,0.0
2022-02-17,55.0,1011.0,5.0,2.0,0.0,57.0,53.0,0.0
2022-02-18,38.0,1107.0,3.0,0.0,0.0,0.0,32.0,0.0
2022-02-19,525.0,1317.0,9.0,13.0,0.0,64.0,552.0,0.0
2022-02-20,4.0,1247.0,9.0,6.0,0.0,140.0,3.0,0.0
2022-02-21,119.0,923.0,6.0,18.0,0.0,379.0,0.0,0.0
2022-02-22,66.0,1420.0,0.0,20.0,1.0,61.0,7.0,0.0
