country,id,longitude,latitude,date,month,year,individuals,numChildren,share,display_date,total
Poland,10781,19.4013,52.1224,2022-06-07,6,2022,3817564,0,52.5,Jun. 7 ,7270939
Russian Federation,12002,38.1556078125,51.488850139616,2022-06-07,6,2022,1116387,1,15.35,Jun. 7 ,7270939
Hungary,10783,19.4131,47.1672,2022-06-07,6,2022,731098,0,10.06,Jun. 7 ,7270939
Romania,10782,25.3,45.8667,2022-06-07,6,2022,613435,0,8.44,Jun. 7 ,7270939
Republic of Moldova,10784,28.4646,47.1976,2022-06-07,6,2022,491144,0,6.75,Jun. 7 ,7270939
Slovakia,10785,19.4864,48.7062,2022-06-07,6,2022,484661,0,6.67,Jun. 7 ,7270939
Belarus,10786,28.0463,53.5384,2022-06-07,6,2022,16650,0,0.23,Jun. 7 ,7270939
