date,individuals,cumsum
2022-02-24,79209,79209
2022-02-25,100391,179600
2022-02-26,143310,322910
2022-02-27,167748,490658
2022-02-28,162087,652745
2022-03-01,166391,819136
2022-03-02,170874,990010
2022-03-03,184205,1174215
2022-03-04,170175,1344390
2022-03-05,196748,1541138
2022-03-06,202599,1743737
2022-03-07,206079,1949816
2022-03-08,183873,2133689
2022-03-09,168532,2302221
2022-03-10,132387,2434608
2022-03-11,119293,2553901
2022-03-12,113455,2667356
2022-03-13,123339,2790695
2022-03-14,110946,2901641
2022-03-15,107304,3008945
2022-03-16,100961,3109906
2022-03-17,83588,3193494
2022-03-18,78911,3272405
2022-03-19,72754,3345159
2022-03-20,58318,3403477
2022-03-21,58828,3462305
2022-03-22,64207,3526512
2022-03-23,62451,3588963
2022-03-24,66573,3655536
2022-03-25,62764,3718300
2022-03-26,60997,3779297
2022-03-27,53971,3833268
2022-03-28,48194,3881462
2022-03-29,42488,3923950
2022-03-30,51414,3975364
2022-03-31,53187,4028551
2022-04-01,48974,4077525
2022-04-02,51068,4128593
2022-04-03,47588,4176181
2022-04-04,44803,4220984
2022-04-05,49220,4270204
2022-04-06,55071,4325275
2022-04-07,55537,4380812
2022-04-08,59415,4440227
2022-04-09,62374,4502601
2022-04-10,55177,4557778
2022-04-11,53775,4611553
2022-04-12,55066,4666619
2022-04-13,55667,4722286
2022-04-14,58565,4780851
2022-04-15,54284,4835135
2022-04-16,45465,4880600
2022-04-17,38391,4918991
2022-04-18,44838,4963829
2022-04-19,53822,5017651
2022-04-20,50309,5067960
2022-04-21,48393,5116353
2022-04-22,42377,5158730
2022-04-23,35728,5194458
2022-04-24,22152,5216610
2022-04-25,32006,5248616
2022-04-26,48562,5297178
2022-04-27,54684,5351862
2022-04-28,56446,5408308
2022-04-29,54308,5462616
2022-04-30,53244,5515860
2022-05-01,40408,5556268
2022-05-02,37166,5593434
2022-05-03,41325,5634759
2022-05-04,50102,5684861
2022-05-05,48597,5733458
2022-05-06,51550,5785008
2022-05-07,54632,5839640
2022-05-08,46742,5886382
2022-05-09,31116,5917498
2022-05-10,37321,5954819
2022-05-11,47801,6002620
2022-05-12,50171,6052791
2022-05-13,47963,6100754
2022-05-14,46970,6147724
2022-05-15,41590,6189314
2022-05-16,42705,6232019
2022-05-17,45061,6277080
2022-05-18,48461,6325541
2022-05-19,47803,6373344
2022-05-20,52127,6425471
2022-05-21,48800,6474271
2022-05-22,41307,6515578
2022-05-23,42359,6557937
2022-05-24,46619,6604556
2022-05-25,48454,6653010
2022-05-26,48322,6701332
2022-05-27,51130,6752462
2022-05-28,51840,6804302
2022-05-29,44164,6848466
2022-05-30,47013,6895479
2022-05-31,49266,6944745
2022-06-01,48328,6993073
2022-06-02,48872,7041945
2022-06-03,49975,7091920
2022-06-04,49860,7141780
2022-06-05,42353,7184133
2022-06-06,45343,7229476
2022-06-07,49187,7278663
