date_occurred,affected_killed,cumsum
2022-02-24,78,78
2022-02-25,36,114
2022-02-26,106,220
2022-02-27,59,279
2022-02-28,116,395
2022-03-01,84,479
2022-03-02,267,746
2022-03-03,125,871
2022-03-04,76,947
2022-03-05,114,1061
2022-03-06,97,1158
2022-03-07,134,1292
2022-03-08,169,1461
2022-03-09,87,1548
2022-03-10,60,1608
2022-03-11,44,1652
2022-03-12,48,1700
2022-03-13,93,1793
2022-03-14,232,2025
2022-03-15,55,2080
2022-03-16,60,2140
2022-03-17,67,2207
2022-03-18,80,2287
