affected_date_refugees,affected_refugees,date,cumsum
2022-02-24,84681,2022-02-24,84681
2022-02-25,108301,2022-02-25,192982
2022-02-26,148319,2022-02-26,341301
2022-02-27,168364,2022-02-27,509665
2022-02-28,162474,2022-02-28,672139
2022-03-01,168157,2022-03-01,840296
2022-03-02,173491,2022-03-02,1013787
2022-03-03,166326,2022-03-03,1180113
2022-03-04,171999,2022-03-04,1352112
2022-03-05,197520,2022-03-05,1549632
2022-03-06,206340,2022-03-06,1755972
2022-03-07,206472,2022-03-07,1962444
2022-03-08,184089,2022-03-08,2146533
2022-03-09,169968,2022-03-09,2316501
2022-03-10,133942,2022-03-10,2450443
2022-03-11,119256,2022-03-11,2569699
2022-03-12,115822,2022-03-12,2685521
2022-03-13,157176,2022-03-13,2842697
2022-03-14,114117,2022-03-14,2956814
2022-03-15,111259,2022-03-15,3068073
2022-03-16,104673,2022-03-16,3172746
2022-03-17,94214,2022-03-17,3266960
2022-03-18,82655,2022-03-18,3349615
2022-03-19,76757,2022-03-19,3426372
2022-03-20,67393,2022-03-20,3493765
2022-03-21,64677,2022-03-21,3558442
2022-03-22,68104,2022-03-22,3626546
