date_clean,number
2022-01-16,39.0
2022-01-17,201.0
2022-01-18,101.0
2022-01-19,43.0
2022-01-20,417.0
2022-01-25,13.0
2022-01-26,503.0
2022-02-02,16.0
2022-02-06,24.0
2022-02-07,120.0
2022-02-08,262.0
2022-02-09,454.0
2022-02-10,441.0
2022-02-11,359.0
2022-02-13,16.0
2022-02-14,173.0
2022-02-15,422.0
2022-02-16,382.0
2022-02-17,1183.0
2022-02-18,1180.0
2022-02-19,2480.0
2022-02-20,1409.0
2022-02-21,1445.0
2022-02-22,1575.0
