loc_name,geo_lat,geo_lon,count
Abakumov Mine,47.9947,37.6314,2
Adamivka,48.9430,37.4481,48
Alchevsk,48.4729,38.8027,13
Anatolivka,46.8103,31.2050,2
Andriivka,47.1761,33.0463,51
Andriivka,47.4625,37.6528,5
Andriivka,47.9019,36.1916,1
Andriivka,48.0216,37.0568,2
Andriivka,49.5451,36.6125,9
Andriivka,50.5510,29.8318,3
Andriivka,51.1286,34.8243,1
Andriivka,51.3994,31.0150,1
Andriyivka,47.9973,35.1691,2
Antonivka,46.6799,32.6925,23
Antonivka,47.8815,37.3570,3
Antopil,50.5998,26.4405,1
Anyskyne,50.2107,37.5212,1
Apostolove,47.6600,33.7137,28
Arbuzynka,47.9097,31.3196,1
Arkhanhelivka,48.9360,36.9365,2
Arkhanhelske,47.4320,33.4056,16
Arkhanhelske,48.2685,37.6398,2
Artemivka,49.9282,37.0805,1
Artilne,50.2449,37.6206,1
Artsyz,45.9919,29.4182,2
Asiivka,49.3639,36.6842,7
Atynske,51.2311,34.2763,11
Avdiivka,48.1394,37.7497,202
Azovske,46.2644,34.8637,1
Babai,49.8999,36.1917,2
Babyntsi,50.6422,30.0286,2
Bachivsk,51.8450,34.2775,19
Bahatyr,47.9931,36.9391,2
Bairak,48.3162,38.1320,29
Bairak,50.1507,36.7289,16
Bakhchysarai,44.7507,33.8642,1
Bakhmach,51.2009,32.7745,1
Bakhmut,48.5956,37.9999,146
Bakhmutivka,48.8703,39.0497,1
Bakhmutka,48.4332,38.0191,4
Bakhmutske,48.6642,38.0949,70
Bakhtyn,49.3218,37.5295,1
Baklanova Muraviika,51.4131,31.4415,1
Balabyne,47.7421,35.2202,1
Balakliia,49.4606,36.8527,43
Balovne,47.0520,31.8840,3
Barabashivka,49.1168,37.0548,1
Baranivka,50.3797,35.9663,10
Baranivka,51.9219,34.1846,2
Barbovo,48.3415,22.7708,1
Barvinkove,48.9025,37.0189,47
Barvinok,46.8085,32.4529,4
Baryshivka,50.3610,31.3217,4
Bashtanka,47.4072,32.4387,29
Basivka,51.1856,35.0877,3
Basove,50.3944,35.8948,3
Baturyn,51.3274,32.8919,1
Bayrak,50.0434,36.4369,16
Bazaliyivka,49.8278,36.9910,30
Bazarivka,51.2579,28.7165,1
Bazaryanka,45.8874,30.1378,1
Bazylivka,50.9985,33.4965,1
Bekhtery,46.2465,32.2925,1
Belbek Airfield,44.6915,33.5758,1
Berdiansk,46.7586,36.7845,31
Berdyanske,47.0896,37.7840,1
Berdychi,48.1936,37.6405,11
Berdychiv,49.8993,28.6023,3
Berestove,48.7561,38.2518,83
Berezan,50.3112,31.4671,1
Berezivka,47.2043,30.9078,1
Berezivka,50.4289,30.0029,1
Berezivske,48.6712,38.6027,7
Bereznehuvate,47.3078,32.8499,54
Berezove,47.7672,37.5801,3
Berezove,47.8753,36.4931,1
Beryslav,46.8415,33.4284,32
Betmanove,48.1932,37.9169,11
Bezimenne,47.1020,33.1157,17
