,attackdate,victimstotalinjured,victimstotaldeath
0,2022-02-27,15,9
1,2022-03-06,8,4
2,2022-03-13,17,61
3,2022-03-20,5,2
4,2022-03-27,1,2
5,2022-04-03,10,8
6,2022-04-10,0,0
7,2022-04-17,1,0
8,2022-04-24,0,0
9,2022-05-01,1,1
10,2022-05-08,0,2
11,2022-05-15,2,0
12,2022-05-22,0,0
13,2022-05-29,0,0
14,2022-06-05,0,0
15,2022-06-12,0,1
16,2022-06-19,0,0
17,2022-06-26,0,3
18,2022-07-03,25,1
19,2022-07-10,0,0
20,2022-07-17,9,6
21,2022-07-24,0,0
22,2022-07-31,0,0
23,2022-08-07,0,0
24,2022-08-14,0,0
25,2022-08-21,0,0
26,2022-08-28,0,0
27,2022-09-04,0,0
28,2022-09-11,0,0
29,2022-09-18,0,0
30,2022-09-25,0,0
31,2022-10-02,0,0
32,2022-10-09,0,0
33,2022-10-16,0,0
